dataset,target,encoder,encoder_setting,model,input_features,output_features,fit_encoder_time,score_encoder_time,fit_model_time,score_model_time,test_matthews,train_matthews,test_auc,train_auc,test_brier,train_brier
audiology.arff,class,BackwardDifferenceEncoder,"{'return_df': True, 'drop_invariant': False, 'drop_cols': [], 'verbose': 0, 'mapping': None, 'handle_unknown': 'value', 'handle_missing': 'value', 'cols': None, 'ordinal_encoder': None, '_dim': None, 'feature_names': None}",SGDClassifier,69,91,1.2259930610656737,0.3737964153289795,0.008406472206115723,0.00018100738525390626,0.8508660703400505,0.9895867210076015,0.9028431372549021,0.9941742081447964,0.05733107472237908,0.003566074622800427
audiology.arff,class,BackwardDifferenceEncoder,"{'return_df': True, 'drop_invariant': False, 'drop_cols': [], 'verbose': 0, 'mapping': None, 'handle_unknown': 'value', 'handle_missing': 'value', 'cols': None, 'ordinal_encoder': None, '_dim': None, 'feature_names': None}",LogisticRegression,69,91,1.2259930610656737,0.3737964153289795,0.010810184478759765,0.00015277862548828124,0.8581924540000985,1.0,0.9823529411764707,1.0,0.04194611269115507,0.0025656076408842455
audiology.arff,class,BackwardDifferenceEncoder,"{'return_df': True, 'drop_invariant': False, 'drop_cols': [], 'verbose': 0, 'mapping': None, 'handle_unknown': 'value', 'handle_missing': 'value', 'cols': None, 'ordinal_encoder': None, '_dim': None, 'feature_names': None}",SVC,69,91,1.2259930610656737,0.3737964153289795,0.016070175170898437,0.0003258466720581055,0.8672962082055357,1.0,0.987450980392157,1.0,0.031775199482831556,0.0011089708847835905
audiology.arff,class,BackwardDifferenceEncoder,"{'return_df': True, 'drop_invariant': False, 'drop_cols': [], 'verbose': 0, 'mapping': None, 'handle_unknown': 'value', 'handle_missing': 'value', 'cols': None, 'ordinal_encoder': None, '_dim': None, 'feature_names': None}",KNeighborsClassifier,69,91,1.2259930610656737,0.3737964153289795,0.005521440505981445,0.001177501678466797,0.6666091151007705,0.7544266468462976,0.9115073529411765,0.9768064403561694,0.1250702051571617,0.07693506112285117
audiology.arff,class,BackwardDifferenceEncoder,"{'return_df': True, 'drop_invariant': False, 'drop_cols': [], 'verbose': 0, 'mapping': None, 'handle_unknown': 'value', 'handle_missing': 'value', 'cols': None, 'ordinal_encoder': None, '_dim': None, 'feature_names': None}",GaussianNB,69,91,1.2259930610656737,0.3737964153289795,0.006581664085388184,0.0006319522857666015,0.8251880896314724,0.8938202913927276,0.9238235294117647,0.9700894392844857,0.07885375494071147,0.0447288402324765
audiology.arff,class,BackwardDifferenceEncoder,"{'return_df': True, 'drop_invariant': False, 'drop_cols': [], 'verbose': 0, 'mapping': None, 'handle_unknown': 'value', 'handle_missing': 'value', 'cols': None, 'ordinal_encoder': None, '_dim': None, 'feature_names': None}",DecisionTreeClassifier,69,91,1.2259930610656737,0.3737964153289795,0.005489659309387207,0.00012810230255126952,0.8388327573828402,0.9702829419928405,0.9303921568627451,0.9945637271440291,0.05573376646587861,0.010516184642994895
audiology.arff,class,BackwardDifferenceEncoder,"{'return_df': True, 'drop_invariant': False, 'drop_cols': [], 'verbose': 0, 'mapping': None, 'handle_unknown': 'value', 'handle_missing': 'value', 'cols': None, 'ordinal_encoder': None, '_dim': None, 'feature_names': None}",GradientBoostingClassifier,69,91,1.2259930610656737,0.3737964153289795,0.4506758451461792,0.0009041070938110351,0.8859472865235396,1.0,0.9952941176470589,1.0,0.031700969577895824,2.642316625204509e-07
audiology.arff,class,BackwardDifferenceEncoder,"{'return_df': True, 'drop_invariant': False, 'drop_cols': [], 'verbose': 0, 'mapping': None, 'handle_unknown': 'value', 'handle_missing': 'value', 'cols': None, 'ordinal_encoder': None, '_dim': None, 'feature_names': None}",RandomForestClassifier,69,91,1.2259930610656737,0.3737964153289795,0.8629002809524536,0.0704697847366333,0.8936156592022286,1.0,0.9970588235294118,1.0,0.02825197549407114,0.0037188392826870025
audiology.arff,class,BackwardDifferenceEncoder,"{'return_df': True, 'drop_invariant': False, 'drop_cols': [], 'verbose': 0, 'mapping': None, 'handle_unknown': 'value', 'handle_missing': 'value', 'cols': None, 'ordinal_encoder': None, '_dim': None, 'feature_names': None}",MLPClassifier,69,91,1.2259930610656737,0.3737964153289795,0.33627188205718994,0.0003606319427490234,0.8243681880029923,0.9793264825280146,0.9671813725490196,0.999820311052896,0.05134346005600001,0.010544107319880067
audiology.arff,class,BaseNEncoder,"{'return_df': True, 'drop_invariant': False, 'drop_cols': [], 'verbose': 0, 'handle_unknown': 'value', 'handle_missing': 'value', 'cols': None, 'mapping': None, 'ordinal_encoder': None, '_dim': None, 'base': 2, '_encoded_columns': None, 'feature_names': None}",SGDClassifier,69,149,1.0042242527008056,0.3092256307601929,0.006068015098571777,0.00013616085052490235,0.8454366299763594,0.985714510372637,0.8991176470588236,0.9893288084464554,0.05713344626388104,0.005399448257015169
