%
% Maze Data
%

@RELATION maze

@ATTRIBUTE time REAL
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE th REAL
@ATTRIBUTE left_motor REAL
@ATTRIBUTE right_motor REAL
@ATTRIBUTE sonar1 REAL
@ATTRIBUTE sonar2 REAL
@ATTRIBUTE sonar3 REAL
@ATTRIBUTE sonar4 REAL
@ATTRIBUTE sonar5 REAL
@ATTRIBUTE sonar6 REAL
@ATTRIBUTE sonar7 REAL
@ATTRIBUTE sonar8 REAL
@ATTRIBUTE sonar9 REAL
@ATTRIBUTE sonar10 REAL
@ATTRIBUTE sonar11 REAL
@ATTRIBUTE sonar12 REAL
@ATTRIBUTE sonar13 REAL
@ATTRIBUTE sonar14 REAL
@ATTRIBUTE sonar15 REAL
@ATTRIBUTE sonar16 REAL

@DATA
0.203, 7.760, 0.000, 0.0000, 51.00, 51.00, 3124, 1777, 5000, 4682, 4451, 1524, 967, 1104, 1104, 680, 1004, 637, 861, 999, 1368, 2864
0.303, 14.550, 0.000, 0.0000, 76.00, 76.00, 3124, 1777, 5000, 4678, 4452, 1524, 967, 1104, 1104, 680, 1006, 642, 866, 1005, 1376, 2864
0.404, 25.705, 0.000, 0.0000, 102.00, 102.00, 3124, 1777, 5000, 4669, 4452, 1564, 967, 1104, 1104, 680, 1014, 650, 874, 1014, 1411, 2864
0.504, 38.800, 0.000, 0.0000, 128.00, 128.00, 3124, 1777, 5000, 4659, 4452, 1564, 1385, 1104, 1104, 680, 1026, 651, 884, 1026, 1411, 2864
0.605, 53.835, 0.000, 0.0000, 154.00, 154.00, 3144, 1777, 5000, 4646, 4452, 1564, 3310, 1104, 1104, 680, 1040, 653, 897, 1041, 1424, 2904
0.706, 92.635, 0.000, 0.0000, 205.00, 205.00, 3124, 1803, 5000, 4612, 4567, 1604, 3258, 1104, 1104, 680, 1084, 687, 931, 1079, 1507, 3104
0.806, 115.915, 0.000, 0.0000, 230.00, 230.00, 3124, 1803, 5000, 4592, 4551, 1644, 1204, 1104, 1104, 680, 1103, 708, 952, 1103, 1539, 3104
0.957, 141.620, 0.000, 0.0000, 256.00, 256.00, 3124, 1803, 5000, 4569, 4528, 1644, 1168, 1104, 1104, 680, 1152, 731, 975, 1129, 1543, 3104
1.057, 201.760, 0.000, 0.0000, 308.00, 308.00, 3124, 1803, 5000, 4514, 4432, 1604, 1124, 1104, 1104, 680, 1191, 786, 1029, 1192, 1568, 3124
1.157, 234.740, 0.000, 0.0000, 333.00, 333.00, 3124, 1803, 5000, 4483, 4401, 1746, 1379, 1104, 1104, 680, 1244, 817, 1061, 1227, 1542, 3124
