%
% As used by Kilpatrick, D. & Cameron-Jones, M. (1998). Numeric prediction
% using instance-based learning with encoding length selection. In Progress
% in Connectionist-Based Information Systems. Singapore: Springer-Verlag.
%
@relation 'pwLinear'
@attribute a1 real
@attribute a2 real
@attribute a3 real
@attribute a4 real
@attribute a5 real
@attribute a6 real
@attribute a7 real
@attribute a8 real
@attribute a9 real
@attribute a10 real
@attribute class real
@data
-1,-1,-1,0,0,-1,0,0,0,1,-0.62
1,-1,-1,0,0,-1,1,1,1,0,-5.92
1,-1,-1,1,0,1,0,-1,-1,1,0.51
-1,1,-1,0,0,1,-1,1,-1,0,3.33
1,-1,-1,0,0,-1,0,-1,1,0,-7.83
1,-1,-1,1,1,0,1,1,-1,-1,1.88
-1,-1,1,-1,1,-1,1,1,1,0,3.64
-1,-1,0,0,1,0,-1,-1,0,1,1.94
1,1,1,0,-1,1,-1,-1,-1,1,-5.6
1,0,-1,-1,1,0,0,-1,1,0,-0.9
-1,-1,0,-1,0,1,0,-1,1,-1,-0.89
-1,0,0,1,1,1,0,-1,1,-1,6.44
-1,0,0,0,1,-1,1,0,1,-1,4.7
1,0,0,-1,0,0,0,1,-1,-1,-4.5
-1,1,1,0,1,-1,1,0,0,1,9.78
1,0,1,-1,1,0,0,0,1,-1,-0.76
-1,-1,-1,-1,-1,0,1,1,-1,0,-3.18
-1,1,1,0,-1,0,0,-1,1,1,7.18
1,0,-1,1,-1,1,-1,1,-1,-1,-5.66
-1,-1,-1,-1,-1,0,-1,0,0,1,-1.54
-1,-1,-1,1,0,1,1,0,-1,0,0.39
-1,0,-1,0,-1,0,1,0,-1,-1,-1.57
1,-1,0,-1,0,1,0,1,0,-1,0.88
1,-1,-1,0,0,0,1,-1,1,-1,-2.88
-1,0,1,1,-1,1,0,0,-1,0,5.45
1,-1,1,0,-1,1,1,1,1,0,-3.3
1,-1,1,1,1,-1,1,1,-1,0,1.15
-1,1,0,-1,-1,1,1,1,1,1,4.61
1,0,0,0,-1,-1,0,-1,0,1,-7.39
-1,0,0,-1,1,-1,0,0,-1,1,3.49
1,0,1,-1,-1,0,-1,0,0,0,-4.94
-1,0,-1,1,1,1,0,0,0,1,0.13
-1,0,-1,-1,0,1,-1,0,-1,-1,-0.5
1,1,1,-1,0,1,-1,-1,1,-1,-3.36
