% Data from StatLib (ftp stat.cmu.edu/datasets)
% 
% This is the pollution data so loved by writers of papers on ridge regression.
% Source: McDonald, G.C. and Schwing, R.C. (1973) 'Instabilities of regression
% estimates relating air pollution to mortality', Technometrics, vol.15, 463-
% 482.
% Variables in order:
% PREC   Average annual precipitation in inches
% JANT   Average January temperature in degrees F
% JULT   Same for July
% OVR65  % of 1960 SMSA population aged 65 or older
% POPN   Average household size
% EDUC   Median school years completed by those over 22
% HOUS   % of housing units which are sound & with all facilities
% DENS   Population per sq. mile in urbanized areas, 1960
% NONW   % non-white population in urbanized areas, 1960
% WWDRK  % employed in white collar occupations
% POOR   % of families with income < $3000
% HC     Relative hydrocarbon pollution potential
% NOX    Same for nitric oxides
% SO@    Same for sulphur dioxide
% HUMID  Annual average % relative humidity at 1pm
% MORT   Total age-adjusted mortality rate per 100,000

@relation pollution

@attribute PREC real
@attribute JANT real
@attribute JULT real
@attribute OVR65 real
@attribute POPN real
@attribute EDUC real
@attribute HOUS real
@attribute DENS real
@attribute NONW real
@attribute WWDRK real
@attribute POOR real
@attribute HC real
@attribute NOX real
@attribute SO@ real
@attribute HUMID real
@attribute MORT real

@data
36.0,27.0,71.0,8.1,3.34,11.4,81.5,3243.0,8.8,42.6,11.7,21.0,15.0,59.0,59.0,921.870
35.0,23.0,72.0,11.1,3.14,11.0,78.8,4281.0,3.5,50.7,14.4,8.0,10.0,39.0,57.0,997.875
44.0,29.0,74.0,10.4,3.21,9.8,81.6,4260.0,0.8,39.4,12.4,6.0,6.0,33.0,54.0,962.354
47.0,45.0,79.0,6.5,3.41,11.1,77.5,3125.0,27.1,50.2,20.6,18.0,8.0,24.0,56.0,982.291
43.0,35.0,77.0,7.6,3.44,9.6,84.6,6441.0,24.4,43.7,14.3,43.0,38.0,206.0,55.0,1071.289
53.0,45.0,80.0,7.7,3.45,10.2,66.8,3325.0,38.5,43.1,25.5,30.0,32.0,72.0,54.0,1030.380
43.0,30.0,74.0,10.9,3.23,12.1,83.9,4679.0,3.5,49.2,11.3,21.0,32.0,62.0,56.0,934.700
45.0,30.0,73.0,9.3,3.29,10.6,86.0,2140.0,5.3,40.4,10.5,6.0,4.0,4.0,56.0,899.529
36.0,24.0,70.0,9.0,3.31,10.5,83.2,6582.0,8.1,42.5,12.6,18.0,12.0,37.0,61.0,1001.902
36.0,27.0,72.0,9.5,3.36,10.7,79.3,4213.0,6.7,41.0,13.2,12.0,7.0,20.0,59.0,912.347
52.0,42.0,79.0,7.7,3.39,9.6,69.2,2302.0,22.2,41.3,24.2,18.0,8.0,27.0,56.0,1017.613
