% Dataset from Smoothing Methods in Statistics 
% (ftp stat.cmu.edu/datasets)
%
% Simonoff, J.S. (1996). Smoothing Methods in Statistics. New York: Springer-Verlag.
%

@relation schlvote

@attribute vote {0, 1}
@attribute tax_rate real
@attribute budget integer
@attribute budget_change real
@attribute tax_rate_change real
@attribute wealth_per_student integer

@data
1,47.18,47532280,4.0,6.30,378682
1,21.64,11637417,3.3,4.10,444942
1,24.05,59856099,3.4,2.50,380638
1,20.93,26926416,9.4,7.50,330938
1,19.32,11686005,11.1,5.20,436638
1,26.20,38641360,4.5,-0.23,915370
1,20.09,13882048,4.7,1.70,412631
0,42.16,40298680,5.9,4.90,618933
1,29.11,35400375,3.0,3.50,1189569
0,45.96,30314067,3.8,3.70,532515
1,21.56,15418131,1.9,3.80,420457
1,15.55,11997930,6.6,8.10,606997
1,23.77,17130165,6.0,8.10,354447
1,27.64,10502721,4.8,7.50,307885
0,28.12,33616668,8.9,7.70,1110801
0,36.74,53999209,3.6,5.30,507388
1,40.48,48119900,0.0,1.90,513339
1,21.83,68400604,5.5,4.00,413879
1,20.05,15919780,8.3,10.40,386680
1,20.86,9499412,4.4,4.50,454498
1,19.99,12635368,2.9,3.50,556642
1,11.74,2862323,4.3,4.40,6872670
1,17.71,5670720,4.9,3.60,3713600
1,6.35,76466312,1.9,4.60,298552
1,41.79,7649906,4.2,4.50,834036
1,28.25,13926965,5.0,6.20,804981
0,36.18,13162830,4.6,5.90,966718
1,80.70,23056816,4.8,6.60,198842
0,99.56,23640880,7.4,8.60,179912
0,87.97,85184456,9.9,29.30,166707
1,71.57,20281917,-0.2,-0.20,707046
1,87.53,25719696,4.0,3.80,202826
1,5.07,866746,18.9,1.60,?
1,7.71,36263806,3.5,4.90,243989
1,15.49,4606127,5.9,17.50,2981029
1,13.40,21729978,6.6,4.70,2106643
1,28.07,8785345,4.8,3.80,1238269
0,30.23,7543792,9.6,7.00,1209936
