% Dataset from Smoothing Methods in Statistics 
% (ftp stat.cmu.edu/datasets)
%
% Simonoff, J.S. (1996). Smoothing Methods in Statistics. New York: Springer-Verlag.
%

@relation mbagrade

@attribute sex {0, 1}
@attribute GMAT integer
@attribute grade_point_average real

@data
0,590,3.252
0,550,3.329
1,680,3.319
0,520,3.133
0,560,2.986
0,540,3.505
1,500,2.648
1,600,3.090
0,440,3.205
0,680,3.876
0,520,3.376
0,610,3.667
0,490,3.195
0,620,2.957
0,580,3.114
0,600,2.968
1,420,2.533
0,590,3.324
0,570,3.681
0,640,3.757
0,540,3.481
0,530,3.457
0,660,3.890
0,540,3.586
0,570,3.433
0,710,3.613
0,450,2.733
1,480,2.755
0,650,2.643
0,580,3.535
1,630,3.256
0,590,3.557
1,550,2.985
1,590,3.100
1,610,3.238
0,490,3.235
0,600,3.633
0,570,3.225
0,580,3.225
0,520,3.376
0,610,3.379
0,620,3.393
0,530,3.224
0,670,3.776
0,550,3.367
0,530,3.148
1,500,3.267
0,570,3.905
0,570,2.829
1,640,3.338
0,600,3.329
0,550,3.381
0,720,3.476
1,570,3.005
0,570,2.819
1,610,3.362
0,530,2.976
0,720,3.720
0,580,3.409
0,610,2.835
0,470,3.905
