% 1. Title of Database: Blocks Classification
% 2. Sources:
%    (a) Donato Malerba
%        Dipartimento di Informatica
%        University of Bari
%        via Orabona 4
%        70126 Bari - Italy
%        phone: +39 - 80 - 5443269
%        fax: +39 - 80 - 5443196
%        malerbad@vm.csata.it
%    (b) Donor: Donato Malerba
%    (c) Date: July 1995
% 3. Past Usage:
%    This data set have been used to try different simplification methods
%    for decision trees. A summary of the results can be found in:
% 
%    Malerba, D., Esposito, F., and Semeraro, G.
%    "A Further Comparison of Simplification Methods for Decision-Tree Induction."
%    In D. Fisher and H. Lenz (Eds.), "Learning  from Data: 
%    Artificial Intelligence and Statistics V", Lecture Notes in Statistics,
%    Springer Verlag, Berlin, 1995.
% 
%    The problem consists in classifying all the blocks of the page
%    layout of a document that has been detected by a segmentation
%    process. This is an essential step in document analysis
%    in order to separate text from graphic areas. Indeed, 
%    the five classes are: text (1), horizontal line (2),
%    picture (3), vertical line (4) and graphic (5).
%    For a detailed presentation of the problem see:
% 
%     Esposito F., Malerba D., & Semeraro G.
%   Multistrategy Learning for Document Recognition
%          Applied Artificial Intelligence, 8, pp. 33-84, 1994
% 
%    All instances have been personally checked so that
%    low noise is present in the data.
% 
% 4. Relevant Information Paragraph:
% 
%    The 5473 examples comes from 54 distinct documents. 
%    Each observation concerns one block. 
%    All attributes are numeric.
%    Data are in a format readable by C4.5.
% 
% 5. Number of Instances: 5473.
% 
% 6. Number of Attributes 
% 
%    height:   integer.         | Height of the block.
%    lenght:   integer.     | Length of the block. 
%    area:     integer.    | Area of the block (height * lenght);
%    eccen:    continuous.  | Eccentricity of the block (lenght / height);
%    p_black:  continuous.  | Percentage of black pixels within the block (blackpix / area);
%    p_and:    continuous.        | Percentage of black pixels after the application of the Run Length Smoothing Algorithm (RLSA) (blackand / area);
%    mean_tr:  continuous.      | Mean number of white-black transitions (blackpix / wb_trans);
%    blackpix: integer.    | Total number of black pixels in the original bitmap of the block.
%    blackand: integer.        | Total number of black pixels in the bitmap of the block after the RLSA.
%    wb_trans: integer.          | Number of white-black transitions in the original bitmap of the block.
% 
% 
% 
% 7. Missing Attribute Values:  No missing value.
% 
% 8. Class Distribution: 
% 
%                                            Valid    Cum
%    Class               Frequency  Percent  Percent  Percent
%  
% text                      4913     89.8     89.8     89.8
% horiz. line                329      6.0      6.0     95.8
% graphic                     28       .5       .5     96.3
% vert. line                  88      1.6      1.6     97.9
% picture                    115      2.1      2.1    100.0
%                                 -------  -------  -------
%                         TOTAL      5473    100.0    100.0
% 
% Summary Statistics:
% 
% Variable      Mean    Std Dev   Minimum   Maximum   Correlation 
% 
% HEIGHT       10.47      18.96         1       804         .3510
% LENGTH       89.57     114.72         1       553        -.0045
% AREA       1198.41    4849.38         7    143993         .2343
% ECCEN        13.75      30.70      .007    537.00         .0992
% P_BLACK        .37        .18      .052      1.00         .2130
% P_AND          .79        .17      .062      1.00        -.1771
% MEAN_TR       6.22      69.08      1.00   4955.00         .0723
% BLACKPIX    365.93    1270.33         7     33017         .1656
% BLACKAND    741.11    1881.50         7     46133         .1565
% WB_TRANS    106.66     167.31         1      3212         .0337
% 
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation page-blocks

@attribute height INTEGER
@attribute lenght INTEGER
@attribute area INTEGER
@attribute eccen REAL
@attribute p_black REAL
@attribute p_and REAL
@attribute mean_tr REAL
@attribute blackpix INTEGER
@attribute blackand INTEGER
@attribute wb_trans INTEGER
@attribute class {1,2,3,4,5}

@data
5,7,35,1.400,.400,.657,2.33,14,23,6,1
6,7,42,1.167,.429,.881,3.60,18,37,5,1
6,18,108,3.000,.287,.741,4.43,31,80,7,1
5,7,35,1.400,.371,.743,4.33,13,26,3,1
6,3,18,.500,.500,.944,2.25,9,17,4,1
5,8,40,1.600,.550,1.00,2.44,22,40,9,1
6,4,24,.667,.417,.708,2.50,10,17,4,1
5,6,30,1.200,.333,.333,10.00,10,10,1,1
5,5,25,1.000,.400,.520,10.00,10,13,1,1
5,7,35,1.400,.486,.914,8.50,17,32,2,1
5,2,10,.400,.800,1.00,8.00,8,10,1,1
5,3,15,.600,.533,.733,8.00,8,11,1,1
5,6,30,1.200,.433,.733,13.00,13,22,1,1
5,7,35,1.400,.429,.857,5.00,15,30,3,1
6,7,42,1.167,.405,.881,4.25,17,37,4,1
5,8,40,1.600,.375,.475,15.00,15,19,1,1
6,7,42,1.167,.405,.952,4.25,17,40,4,1
5,19,95,3.800,.232,.400,5.50,22,38,4,1
5,5,25,1.000,.400,.560,5.00,10,14,2,1
4,6,24,1.500,.417,.500,10.00,10,12,1,1
4,6,24,1.500,.458,.792,5.50,11,19,2,1
4,18,72,4.500,.250,.528,2.57,18,38,7,1
6,7,42,1.167,.357,.548,7.50,15,23,2,1
5,7,35,1.400,.429,.886,2.50,15,31,6,1
5,4,20,.800,.500,.800,10.00,10,16,1,1
13,25,325,1.923,.234,.286,10.86,76,93,7,1
13,25,325,1.923,.351,.680,6.00,114,221,19,1
7,16,112,2.286,.321,.643,2.57,36,72,14,1
7,103,721,14.714,.295,.691,1.76,213,498,121,1
11,9,99,.818,.343,.626,3.40,34,62,10,1
11,8,88,.727,.580,1.00,5.10,51,88,10,1
11,8,88,.727,.409,.477,36.00,36,42,1,1
11,8,88,.727,.602,1.00,5.89,53,88,9,1
11,35,385,3.182,.382,.657,6.13,147,253,24,1
3,113,339,37.667,.410,.472,13.90,139,160,10,2
3,59,177,19.667,.475,.475,84.00,84,84,1,2
2,20,40,10.000,.675,.675,27.00,27,27,1,2
2,101,202,50.500,.540,.743,10.90,109,150,10,2
10,38,380,3.800,.426,.947,3.12,162,360,52,1
9,21,189,2.333,.429,.772,3.00,81,146,27,1
9,37,333,4.111,.532,.913,3.22,177,304,55,1
10,98,980,9.800,.379,.835,2.22,371,818,167,1
9,50,450,5.556,.496,.958,2.69,223,431,83,1
4,194,776,48.500,.263,.273,34.00,204,212,6,2
2,18,36,9.000,.667,.694,24.00,24,25,1,2
2,22,44,11.000,.750,.750,33.00,33,33,1,2
2,18,36,9.000,.806,.833,29.00,29,30,1,2
2,22,44,11.000,.705,.864,15.50,31,38,2,2
10,66,660,6.600,.273,.661,1.94,180,436,93,1
9,90,810,10.000,.260,.786,2.18,211,637,97,1
9,22,198,2.444,.288,.818,2.48,57,162,23,1
9,92,828,10.222,.286,.885,1.93,237,733,123,1
9,12,108,1.333,.444,.981,1.71,48,106,28,1
9,51,459,5.667,.296,.786,2.34,136,361,58,1
9,34,306,3.778,.320,.886,1.56,98,271,63,1
9,80,720,8.889,.333,.878,2.02,240,632,119,1
8,95,760,11.875,.303,.937,1.77,230,712,130,1
11,99,1089,9.000,.230,.601,2.14,250,654,117,1
10,12,120,1.200,.367,1.00,1.69,44,120,26,1
10,53,530,5.300,.294,.819,1.79,156,434,87,1
9,92,828,10.222,.292,.843,2.05,242,698,118,1
11,85,935,7.727,.257,.894,1.67,240,836,144,1
9,83,747,9.222,.284,.849,1.91,212,634,111,1
