% 1. Title: Pittsburgh bridges
% 
% 2. Sources:
%    -- Yoram Reich & Steven J. Fenves
%       Department of Civil Engineering
%       and
%       Engineering Design Research Center
%       Carnegie Mellon University
%       Pittsburgh, PA 15213
% 
%       Compiled from various sources.
% 
%    -- Donor: Yoram Reich (yoram.reich@cs.cmu.edu)
%    -- Date: 1 August 1990
% 
% 3. Past Usage:
% 
%    -- Reich & Fenves (1989). Incremental Learning for Capturing Design 
%       Expertise. Technical Report: EDRC 12-34-89, Engineering Design
%       Research Center, Carnegie Mellon University, Pittsburgh, PA.
%       -- Qualitative results and runs with original ordering of examples.
%          using COBWEB.
% 
%    -- Reich (1989). Converging to ``Ideal'' Design Knowledge by Learning,
%       Proceedings of the First International Workshop on Formal Methods in
%       Engineering Design, pp: 330-349, Colorado Springs, CO, January 1990.
%       -- Describes a new design method with Bridger (variant of COBWEB) using
% 	 this domain. (Also an EDRC report: 12-35-89)
% 
%    -- Reich (1989) Combining Nominal and Continuous Properties in an 
%       Incremental Learning System for Design. Technical Report: EDRC 12-33-89.
%       -- Comparison of performance of Bridger when running on both versions
% 	 (V1 and V2) of the database
% 
%    -- Reich (1989) Incremental Concept Formation with Mixed Property Types
%       Unpublished Manuscript.
%       -- Results using 10 random 10-fold cross-validation test with Bridger
% 	 (relative error rate):
% 	 Version V1 of the database: 
% 	 MATERIAL 18.4%, REL-L 38.7%, SPAN 42.7%, T-OR-D 14.7%, TYPE 47.6%.
% 	 Version V2 of the database:
% 	 MATERIAL 24.2%, REL-L 41.7%, SPAN 39.9%, T-OR-D 14.7%, TYPE 56.5%.
% 
%    -- Quinlan (1989) Personal communication. 
%       -- Results of a 10-fold cross-validation test with C4.5, and with
%          a separate decision tree for each design property obtained the 
% 	 following error rates on version V1 of the database:
% 	 MATERIAL 15%, REL-L 32%, SPAN 32%, T-OR-D 15%, TYPE 44%.
% 
% 4. Number of instances: 108
% 
% 5. Relevant Information:
%    
%    There are two versions to the database: 
%       V1 contains the original examples and 
%       V2 contains descriptions after discretizing numeric properties.
% 
%    There are no ``classes'' in the domain. Rather this is a DESIGN domain where
%    5 properties (design description) need to be predicted based on 7 
%    specification properties.
% 
% 6. Number of Attributes: 13: 7 specifications, 5 design description, and 1
%    identifier (not used for the classification)
% 
% 7. Attribute Information:  
% 
%    The type field state whether a property is continuous/integer (c) 
% 						      or nominal (n).
%    For properties with c,n type, the range of continuous numbers is given 
%    first and the possible values of the nominal follow the semi-colon.
% 
% 
%        name     type    possible values		comments
%    ------------------------------------------------------------------------
%    1.  IDENTIF	-	-			identifier of the examples
%    2.  RIVER	n	A, M, O
%    3.  LOCATION	n       1 to 52
%    4.  ERECTED	c,n	1818-1986 ; CRAFTS, EMERGING, MATURE, MODERN
%    5.  PURPOSE	n	WALK, AQUEDUCT, RR, HIGHWAY
%    6.  LENGTH	c,n	804-4558 ; SHORT, MEDIUM, LONG
%    7.  LANES	c,n	1, 2, 4, 6 ; 1, 2, 4, 6
%    8.  CLEAR-G	n	N, G
%    9.  T-OR-D	n	THROUGH, DECK
%    10. MATERIAL	n	WOOD, IRON, STEEL
%    11. SPAN	n	SHORT, MEDUIM, LONG
%    12. REL-L	n	S, S-F, F
%    13. TYPE	n	WOOD, SUSPEN, SIMPLE-T, ARCH, CANTILEV, CONT-T
% 
% 
% 8. More complicated attributes:
% 
%    One can use a hierarchical structure for the Type property. There are two
%    options.
% 
% 	option 1 (use examples without modification)
%         --------
% 
% 			Type 
% 	     /      /	     \     \
% 	   /       /	      \	     \
% 	wood	suspen		arch	truss
% 				       /  |    \
% 				     /    |      \
% 				cantilev  cont-t   simple
% 
% 
% 	option 2 (requires changes in the Type property - specified bellow)
% 	--------
% 
% 				Type 
% 
% 		 /     	/        |	    	    \	
% 	   	/     /	         |   		     \
% 	    wood   suspen	arch		      truss
% 				/ \	    	   /  |  \    \
% 			      /	    \	  	 /    |   \	\
% 			tied-a    not-tied  cantilev cont-t simple arch-t
% 
% 
% 	Change the Type  property of the following examples (in both V1 and V2):
% 		E28   ->  arch-t
% 		E91,E90,E84,E83,E73  -> tied-a
% 		E97,E78,E77,E75,E66,E64,E43  -> not-tied
% 
% 
% 9. Missing Attribute Values:
%    Attribute #: 	# instances with missing values:
%     2			 1
%     6			27
%     7			16
%     8			 2
%     9			 6
%    10			 2
%    11			16
%    12			 5
%    13			 3
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: no
%

@relation bridges-version2

@attribute IDENTIF {E1,E10,E100,E101,E102,E103,E105,E107,E107N,E108,E109,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E3,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E4,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E5,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E6,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E7,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E8,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E9,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99}
@attribute RIVER {A,M,O,Y}
@attribute LOCATION {1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,38.5,39,39.5,39.7,4,40,41,42,43,44,45,46,47,48,49,5,51,52,6,7,8,9}
@attribute ERECTED {CRAFTS,EMERGING,MATURE,MODERN}
@attribute PURPOSE {WALK,AQUEDUCT,RR,HIGHWAY}
@attribute LENGTH {SHORT,MEDIUM,LONG}
@attribute LANES {1,2,4,6}
@attribute CLEAR-G {N,G}
@attribute T-OR-D {THROUGH,DECK}
@attribute MATERIAL {WOOD,IRON,STEEL}
@attribute SPAN {SHORT,MEDIUM,LONG}
@attribute REL-L {S,S-F,F}
@attribute TYPE {WOOD,SUSPEN,SIMPLE-T,ARCH,CANTILEV,CONT-T}

@data
E1,M,3,CRAFTS,HIGHWAY,?,2,N,THROUGH,WOOD,SHORT,S,WOOD
E2,A,25,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,SHORT,S,WOOD
E3,A,39,CRAFTS,AQUEDUCT,?,1,N,THROUGH,WOOD,?,S,WOOD
E5,A,29,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,SHORT,S,WOOD
E6,M,23,CRAFTS,HIGHWAY,?,2,N,THROUGH,WOOD,?,S,WOOD
E7,A,27,CRAFTS,HIGHWAY,SHORT,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
E8,A,28,CRAFTS,AQUEDUCT,MEDIUM,1,N,THROUGH,IRON,SHORT,S,SUSPEN
E9,M,3,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,IRON,SHORT,S,SUSPEN
E10,A,39,CRAFTS,AQUEDUCT,?,1,N,DECK,WOOD,?,S,WOOD
E11,A,29,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
E12,A,39,CRAFTS,RR,?,2,N,DECK,WOOD,?,S,WOOD
E14,M,6,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
E13,A,33,CRAFTS,HIGHWAY,?,2,N,THROUGH,WOOD,?,S,WOOD
E15,A,28,CRAFTS,RR,?,2,N,THROUGH,WOOD,?,S,WOOD
E16,A,25,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,IRON,MEDIUM,S-F,SUSPEN
E17,M,4,CRAFTS,RR,MEDIUM,2,N,THROUGH,IRON,MEDIUM,?,SIMPLE-T
E18,A,28,CRAFTS,RR,MEDIUM,2,N,THROUGH,IRON,SHORT,S,SIMPLE-T
E19,A,29,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
E20,A,32,EMERGING,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
E21,M,16,EMERGING,RR,?,2,?,THROUGH,IRON,?,?,SIMPLE-T
E23,M,1,EMERGING,HIGHWAY,MEDIUM,?,?,THROUGH,STEEL,LONG,F,SUSPEN
E22,A,24,EMERGING,HIGHWAY,MEDIUM,4,G,THROUGH,WOOD,SHORT,S,WOOD
E24,O,45,EMERGING,RR,?,2,G,?,STEEL,?,?,SIMPLE-T
E25,M,10,EMERGING,RR,?,2,G,?,STEEL,?,?,SIMPLE-T
E27,A,39,EMERGING,RR,?,2,G,THROUGH,STEEL,?,F,SIMPLE-T
E26,M,12,EMERGING,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E30,A,31,EMERGING,RR,?,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E29,A,26,EMERGING,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,?,SUSPEN
E28,M,3,EMERGING,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,ARCH
E32,A,30,EMERGING,HIGHWAY,?,2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E31,M,8,EMERGING,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E34,O,41,EMERGING,RR,LONG,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E33,M,19,EMERGING,HIGHWAY,MEDIUM,?,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E36,O,45,MATURE,HIGHWAY,?,2,G,THROUGH,IRON,SHORT,F,SIMPLE-T
E35,A,27,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E38,M,17,MATURE,HIGHWAY,?,2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E37,M,18,MATURE,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E39,A,25,MATURE,HIGHWAY,?,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E4,A,27,MATURE,AQUEDUCT,MEDIUM,1,N,THROUGH,WOOD,SHORT,S,WOOD
E40,M,22,MATURE,HIGHWAY,?,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E41,M,11,MATURE,HIGHWAY,?,2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E42,M,9,MATURE,HIGHWAY,LONG,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E44,O,48,MATURE,HIGHWAY,?,2,G,THROUGH,STEEL,LONG,F,SUSPEN
E43,M,7,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,LONG,F,ARCH
E46,A,37,MATURE,RR,LONG,2,G,DECK,STEEL,LONG,F,SIMPLE-T
E45,M,14,MATURE,RR,LONG,?,G,THROUGH,STEEL,?,F,SIMPLE-T
E47,M,15,MATURE,RR,LONG,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E58,A,33,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E48,A,38,MATURE,HIGHWAY,LONG,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E94,M,13,MATURE,RR,?,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E49,A,34,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,F,CANTILEV
E95,M,16,MATURE,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E87,A,35,MATURE,RR,LONG,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E51,M,6,MATURE,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E50,M,21,MATURE,RR,MEDIUM,?,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E89,M,4,MATURE,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
