% 
% This contains most of the data and all of the large
% data sets from "Log-Linear Models and Logistic Regression"
% by Ronald Christensen (1997, Second Edition, Springer-Verlag).
% The individual files correspond to either data files described 
% in the book or to numbered tables in the book.  
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@stat.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: tab4-16.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-llm-tab4-16

@attribute col_1 INTEGER
@attribute col_2 {1,2}
@attribute col_3 INTEGER
@attribute col_4 INTEGER

@data
1,1,1,9
1,2,0,106
2,1,4,26
2,2,5,164
3,1,25,29
3,2,21,138
4,1,42,27
4,2,34,139
5,1,19,18
5,2,36,88
6,1,5,0
6,2,8,31
