% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-election2000

@attribute County {Alachua,Baker,Bay,Bradford,Brevard,Broward,Calhoun,Charlotte,Citrus,Clay,Collier,Columbia,Dade,DeSoto,Dixie,Duval,Escambia,Flagler,Franklin,Gadsden,Gilchrist,Glades,Gulf,Hamilton,Hardee,Hendry,Hernando,Highlands,Hillsborough,Holmes,Indian_River,Jackson,Jefferson,Lafayette,Lake,Lee,Leon,Levy,Liberty,Madison,Manatee,Marion,Martin,Monroe,Nassau,Okaloosa,Okeechobee,Orange,Osceola,Palm_Beach,Pasco,Pinellas,Polk,Putnam,Santa_Rosa,Sarasota,Seminole,St_Johns,St_Lucie,Sumter,Suwannee,Taylor,Union,Volusia,Wakulla,Walton,Washington}
@attribute Gore00 INTEGER
@attribute Bush00 INTEGER
@attribute Buchanan00 INTEGER
@attribute Nader00 INTEGER
@attribute Browne00 INTEGER
@attribute Hagelin00 INTEGER
@attribute Harris00 INTEGER
@attribute McReynolds00 INTEGER
@attribute Moorehead00 INTEGER
@attribute Phillips00 INTEGER
@attribute Total00 INTEGER
@attribute Clinton96 INTEGER
@attribute Dole96 INTEGER
@attribute Perot96 INTEGER
@attribute Total96 INTEGER

@data
Alachua,47300,34062,262,3215,658,42,4,658,21,20,86242,40144,25303,8072,74484
Baker,2392,5610,73,53,17,3,0,0,3,3,8154,2273,3684,667,6634
Bay,18850,38637,248,828,171,18,5,3,37,18,58815,17020,28290,5922,51566
Bradford,3072,5413,65,84,28,2,0,0,3,2,8669,3356,4038,819,8247
Brevard,97318,115185,570,4470,643,39,11,11,76,72,218395,80416,87980,25249,195055
Broward,386518,177279,789,7099,1212,128,49,35,123,74,573306,320736,142834,38964,505105
Calhoun,2155,2873,90,39,10,1,0,1,3,2,5174,1794,1717,630,4158
Charlotte,29641,35419,182,1461,127,15,6,3,12,19,66885,27121,27836,7783,63014
Citrus,25501,29744,270,1378,194,16,5,0,28,18,57154,22042,20114,7244,49585
Clay,14630,41745,186,562,204,14,1,3,9,6,57360,13246,30332,3281,47035
Collier,29905,60426,122,1400,185,34,7,4,29,10,92122,23182,42590,6320,72511
Columbia,7047,10964,89,258,127,7,1,2,5,8,18508,6691,7588,1970,16326
Dade,328702,289456,561,5355,759,119,88,36,124,69,625269,317378,209634,24722,553491
DeSoto,3322,4256,36,157,23,0,0,3,2,8,7807,3219,3272,965,7485
Dixie,1825,2698,29,75,32,2,0,0,2,3,4666,1731,1398,652,3795
Duval,107680,152082,650,2752,954,160,36,16,41,57,264428,112258,126857,13844,253943
Escambia,40958,73029,504,1729,297,24,6,3,20,110,116680,37768,60839,8587,107687
Flagler,13891,12608,83,435,60,4,1,3,12,3,27100,9583,8232,2185,20075
Franklin,2042,2448,33,85,17,3,1,0,2,3,4634,2095,1563,878,4569
Gadsden,9565,4750,39,139,24,4,7,3,12,6,14549,9405,3813,938,14193
Gilchrist,1910,3300,29,97,52,1,0,0,4,2,5395,1985,1939,841,4795
Glades,1420,1840,9,56,12,3,0,1,1,0,3342,1530,1361,521,3431
Gulf,2389,3546,71,86,21,4,2,2,9,2,6132,2480,2424,1054,5986
Hamilton,1718,2153,24,39,11,2,6,9,4,7,3973,1734,1518,406,3670
Hardee,2341,3764,30,75,17,2,0,0,3,2,6234,2417,2926,851,6204
Hendry,3239,4743,22,103,11,1,3,2,2,7,8133,3882,3855,1135,8896
Hernando,32644,30646,242,1501,116,26,8,4,22,10,65219,28520,22039,7272,58055
Highlands,14152,20196,99,409,51,14,5,3,7,5,34941,14244,15608,3739,33699
Hillsborough,166581,176967,836,7348,1104,215,35,29,150,66,353331,144223,136621,25154,308190
Holmes,2154,4985,76,91,18,7,1,3,2,6,7343,2310,3248,1208,6801
Indian_River,19769,28627,105,950,123,13,4,2,10,13,49616,16373,22709,4635,43963
Jackson,6868,9138,102,138,40,2,0,1,7,4,16300,6665,7187,1602,15509
Jefferson,3038,2481,29,76,14,1,2,1,0,0,5642,2543,1851,393,4808
Lafayette,788,1669,10,26,6,0,3,1,0,1,2504,829,1166,316,2322
Lake,36555,49963,289,1459,203,36,4,1,14,21,88545,25750,35089,8813,73911
Lee,73560,106141,305,3587,538,81,30,5,96,34,184377,65692,80882,18389,165923
Leon,61425,39053,282,1932,330,28,9,7,31,16,103113,50058,33914,6672,91685
Levy,5403,6860,67,284,92,1,1,1,11,10,12730,4938,4299,1774,11065
Liberty,1011,1316,39,19,12,3,0,0,2,1,2403,868,913,376,2164
Madison,3011,3038,29,54,18,2,0,1,5,1,6159,2791,2195,578,5584
Manatee,49169,57948,272,2489,243,35,5,3,26,19,110209,41835,44059,10360,96741
Marion,44648,55135,563,1810,361,26,14,6,49,22,102634,37033,41397,11340,90146
Martin,26619,33864,108,1075,105,29,13,8,12,19,61852,20851,28516,5005,54646
