%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%

@relation arsenic-male-bladder

@attribute group {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43}
@attribute conc INTEGER
@attribute age REAL
@attribute at.risk INTEGER
@attribute events INTEGER

@data
1,0,22.5,2956638,2
1,0,27.5,2175046,3
1,0,32.5,1580019,2
1,0,37.5,1320637,6
1,0,42.5,1327866,18
1,0,47.5,1334769,34
1,0,52.5,1214443,52
1,0,57.5,977820,61
1,0,62.5,739460,103
1,0,67.5,520965,126
1,0,72.5,320158,130
1,0,77.5,158750,88
1,0,82.5,63236,32
2,10,22.5,1128,0
2,10,27.5,634,0
2,10,32.5,389,0
2,10,37.5,313,0
2,10,42.5,364,0
2,10,47.5,410,0
2,10,52.5,325,0
2,10,57.5,227,1
2,10,62.5,141,0
2,10,67.5,104,0
2,10,72.5,63,0
2,10,77.5,39,0
2,10,82.5,22,0
3,11,22.5,904,0
3,11,27.5,545,0
3,11,32.5,270,0
3,11,37.5,283,0
3,11,42.5,241,0
3,11,47.5,298,0
3,11,52.5,280,0
3,11,57.5,218,0
3,11,62.5,168,0
3,11,67.5,138,0
3,11,72.5,124,0
3,11,77.5,33,0
3,11,82.5,27,0
4,30,22.5,1187,0
4,30,27.5,782,0
4,30,32.5,549,0
4,30,37.5,472,0
4,30,42.5,469,0
4,30,47.5,421,0
4,30,52.5,379,0
4,30,57.5,323,2
4,30,62.5,312,0
4,30,67.5,232,0
4,30,72.5,157,0
4,30,77.5,60,0
4,30,82.5,45,1
5,32,22.5,1792,0
5,32,27.5,1217,0
5,32,32.5,854,0
5,32,37.5,745,0
5,32,42.5,733,1
5,32,47.5,671,0
5,32,52.5,570,0
5,32,57.5,463,0
5,32,62.5,317,0
5,32,67.5,220,0
5,32,72.5,159,0
5,32,77.5,59,2
5,32,82.5,51,0
6,32,22.5,584,0
6,32,27.5,393,0
6,32,32.5,237,0
6,32,37.5,222,0
6,32,42.5,232,0
6,32,47.5,216,0
6,32,52.5,194,0
6,32,57.5,162,0
6,32,62.5,173,1
6,32,67.5,122,0
6,32,72.5,88,1
6,32,77.5,38,2
6,32,82.5,28,0
7,42,22.5,2188,0
7,42,27.5,1509,0
7,42,32.5,1065,0
7,42,37.5,1036,0
7,42,42.5,1051,0
7,42,47.5,951,0
7,42,52.5,820,0
7,42,57.5,637,0
7,42,62.5,511,0
7,42,67.5,408,0
7,42,72.5,247,0
7,42,77.5,122,0
7,42,82.5,84,0
8,45,22.5,1981,0
8,45,27.5,1203,0
8,45,32.5,719,0
8,45,37.5,574,0
8,45,42.5,644,0
8,45,47.5,709,0
8,45,52.5,637,0
8,45,57.5,458,0
8,45,62.5,282,0
8,45,67.5,157,0
8,45,72.5,155,0
8,45,77.5,122,0
8,45,82.5,75,0
9,50,22.5,1468,0
9,50,27.5,807,0
9,50,32.5,553,0
9,50,37.5,508,0
9,50,42.5,619,0
9,50,47.5,621,0
9,50,52.5,485,0
9,50,57.5,359,0
9,50,62.5,325,0
9,50,67.5,247,1
9,50,72.5,235,0
9,50,77.5,155,0
9,50,82.5,119,0
10,56,22.5,1543,0
10,56,27.5,777,0
10,56,32.5,464,0
10,56,37.5,499,0
10,56,42.5,617,0
10,56,47.5,898,0
10,56,52.5,460,0
10,56,57.5,373,0
10,56,62.5,244,0
10,56,67.5,174,1
10,56,72.5,97,1
10,56,77.5,41,1
10,56,82.5,51,0
11,60,22.5,2527,0
11,60,27.5,1443,0
11,60,32.5,816,0
11,60,37.5,747,0
11,60,42.5,902,0
11,60,47.5,944,0
11,60,52.5,810,0
11,60,57.5,607,0
11,60,62.5,475,0
11,60,67.5,381,0
11,60,72.5,249,0
11,60,77.5,146,0
11,60,82.5,60,1
12,65,22.5,1563,0
12,65,27.5,944,0
12,65,32.5,592,0
12,65,37.5,498,0
12,65,42.5,583,0
12,65,47.5,512,0
12,65,52.5,426,0
12,65,57.5,382,0
12,65,62.5,377,0
12,65,67.5,314,0
12,65,72.5,183,0
12,65,77.5,120,0
12,65,82.5,80,0
13,73,22.5,2796,0
13,73,27.5,1759,0
13,73,32.5,1302,0
13,73,37.5,1289,0
13,73,42.5,1401,0
13,73,47.5,1066,0
13,73,52.5,864,0
13,73,57.5,653,0
13,73,62.5,550,0
13,73,67.5,442,0
13,73,72.5,350,0
13,73,77.5,214,0
13,73,82.5,81,0
14,80,22.5,2477,0
14,80,27.5,1667,0
14,80,32.5,939,0
14,80,37.5,782,0
14,80,42.5,878,0
14,80,47.5,1028,0
14,80,52.5,1147,0
14,80,57.5,1030,0
14,80,62.5,589,0
14,80,67.5,348,0
14,80,72.5,223,0
14,80,77.5,113,0
14,80,82.5,86,1
15,100,22.5,1613,0
15,100,27.5,1042,0
15,100,32.5,638,0
15,100,37.5,510,0
15,100,42.5,624,0
15,100,47.5,628,0
15,100,52.5,513,0
15,100,57.5,405,0
15,100,62.5,326,0
15,100,67.5,252,0
15,100,72.5,169,0
15,100,77.5,107,0
15,100,82.5,68,0
16,110,22.5,1508,0
16,110,27.5,809,0
16,110,32.5,522,0
16,110,37.5,582,0
16,110,42.5,519,0
16,110,47.5,506,0
16,110,52.5,404,2
16,110,57.5,316,0
16,110,62.5,243,1
16,110,67.5,170,2
16,110,72.5,113,0
16,110,77.5,39,0
16,110,82.5,22,1
17,110,22.5,1044,0
17,110,27.5,639,0
17,110,32.5,363,0
17,110,37.5,390,0
17,110,42.5,392,0
17,110,47.5,408,0
17,110,52.5,295,0
17,110,57.5,238,0
17,110,62.5,205,0
17,110,67.5,116,0
17,110,72.5,101,0
17,110,77.5,41,0
17,110,82.5,17,0
18,123,22.5,1022,0
18,123,27.5,682,0
18,123,32.5,429,0
18,123,37.5,492,0
18,123,42.5,454,0
18,123,47.5,394,0
18,123,52.5,286,0
18,123,57.5,266,0
18,123,62.5,252,0
18,123,67.5,192,0
18,123,72.5,101,0
18,123,77.5,90,0
18,123,82.5,49,0
19,126,22.5,1616,0
19,126,27.5,897,0
19,126,32.5,516,0
19,126,37.5,485,0
19,126,42.5,588,0
19,126,47.5,555,0
19,126,52.5,474,0
19,126,57.5,411,0
19,126,62.5,345,0
19,126,67.5,285,0
19,126,72.5,184,0
19,126,77.5,104,0
19,126,82.5,48,0
20,256,22.5,2506,0
20,256,27.5,1455,0
20,256,32.5,923,0
20,256,37.5,796,0
20,256,42.5,929,0
20,256,47.5,853,0
20,256,52.5,708,0
20,256,57.5,510,0
20,256,62.5,392,0
20,256,67.5,275,0
20,256,72.5,202,0
20,256,77.5,111,0
20,256,82.5,42,0
21,256,22.5,1036,0
21,256,27.5,511,0
21,256,32.5,249,0
21,256,37.5,277,0
21,256,42.5,255,0
21,256,47.5,281,0
21,256,52.5,353,0
21,256,57.5,226,0
21,256,62.5,204,0
21,256,67.5,201,1
21,256,72.5,153,0
21,256,77.5,83,0
21,256,82.5,43,0
22,259,22.5,1425,0
22,259,27.5,773,0
22,259,32.5,468,0
22,259,37.5,379,0
22,259,42.5,457,0
22,259,47.5,439,0
22,259,52.5,403,0
22,259,57.5,374,0
22,259,62.5,346,1
22,259,67.5,237,0
22,259,72.5,143,0
22,259,77.5,75,0
22,259,82.5,61,1
23,307,22.5,733,0
23,307,27.5,398,0
23,307,32.5,202,0
23,307,37.5,213,0
23,307,42.5,272,0
23,307,47.5,292,0
23,307,52.5,239,0
23,307,57.5,154,0
23,307,62.5,169,0
23,307,67.5,140,0
23,307,72.5,85,1
23,307,77.5,32,0
23,307,82.5,24,0
24,307,22.5,1231,0
24,307,27.5,740,0
24,307,32.5,501,0
24,307,37.5,514,0
24,307,42.5,563,0
24,307,47.5,539,1
24,307,52.5,440,0
24,307,57.5,300,0
24,307,62.5,212,0
24,307,67.5,131,0
24,307,72.5,90,0
24,307,77.5,66,2
24,307,82.5,37,0
25,350,22.5,1024,0
25,350,27.5,551,0
25,350,32.5,346,0
25,350,37.5,291,0
25,350,42.5,351,0
25,350,47.5,334,0
25,350,52.5,259,0
25,350,57.5,204,0
25,350,62.5,143,0
25,350,67.5,176,0
25,350,72.5,122,0
25,350,77.5,55,0
25,350,82.5,56,0
26,398,22.5,745,0
26,398,27.5,380,0
26,398,32.5,269,0
26,398,37.5,218,0
26,398,42.5,250,0
26,398,47.5,327,0
26,398,52.5,294,0
26,398,57.5,224,0
26,398,62.5,167,0
26,398,67.5,103,0
26,398,72.5,60,1
26,398,77.5,19,0
26,398,82.5,13,0
27,406,22.5,1203,0
27,406,27.5,570,0
27,406,32.5,311,0
27,406,37.5,342,0
27,406,42.5,341,0
27,406,47.5,442,0
27,406,52.5,336,0
27,406,57.5,319,0
27,406,62.5,249,1
27,406,67.5,201,0
27,406,72.5,104,0
27,406,77.5,36,0
27,406,82.5,28,1
28,448,22.5,1164,0
28,448,27.5,592,0
28,448,32.5,379,0
28,448,37.5,374,0
28,448,42.5,415,0
28,448,47.5,364,0
28,448,52.5,339,0
28,448,57.5,287,0
28,448,62.5,220,1
28,448,67.5,169,1
28,448,72.5,140,0
28,448,77.5,86,0
28,448,82.5,22,0
29,467,22.5,1476,0
29,467,27.5,782,0
29,467,32.5,614,0
29,467,37.5,621,0
29,467,42.5,677,0
29,467,47.5,579,0
29,467,52.5,466,1
29,467,57.5,294,2
29,467,62.5,247,0
29,467,67.5,206,1
29,467,72.5,96,1
29,467,77.5,64,1
29,467,82.5,57,1
30,504,22.5,1348,0
30,504,27.5,696,0
30,504,32.5,546,0
30,504,37.5,514,0
30,504,42.5,637,1
30,504,47.5,549,0
30,504,52.5,445,0
30,504,57.5,371,0
30,504,62.5,294,0
30,504,67.5,201,0
30,504,72.5,104,0
30,504,77.5,80,0
30,504,82.5,58,0
31,520,22.5,1089,0
31,520,27.5,531,0
31,520,32.5,326,0
31,520,37.5,322,0
31,520,42.5,418,1
31,520,47.5,396,0
31,520,52.5,332,1
31,520,57.5,247,1
31,520,62.5,220,0
31,520,67.5,194,0
31,520,72.5,148,0
31,520,77.5,93,0
31,520,82.5,74,0
32,520,22.5,1161,0
32,520,27.5,778,0
32,520,32.5,450,0
32,520,37.5,420,0
32,520,42.5,419,0
32,520,47.5,430,0
32,520,52.5,362,0
32,520,57.5,279,0
32,520,62.5,207,0
32,520,67.5,166,1
32,520,72.5,129,1
32,520,77.5,43,0
32,520,82.5,26,0
33,529,22.5,2383,0
33,529,27.5,1446,0
33,529,32.5,859,0
33,529,37.5,855,0
33,529,42.5,892,0
33,529,47.5,847,1
33,529,52.5,691,1
33,529,57.5,550,0
33,529,62.5,373,1
33,529,67.5,295,0
33,529,72.5,145,0
33,529,77.5,67,1
33,529,82.5,51,0
34,538,22.5,1129,0
34,538,27.5,616,0
34,538,32.5,363,0
34,538,37.5,331,0
34,538,42.5,352,0
34,538,47.5,296,1
34,538,52.5,307,1
34,538,57.5,279,1
34,538,62.5,249,1
34,538,67.5,173,0
34,538,72.5,106,0
34,538,77.5,39,0
34,538,82.5,47,0
35,544,22.5,910,0
35,544,27.5,505,0
35,544,32.5,255,0
35,544,37.5,238,0
35,544,42.5,324,0
35,544,47.5,330,0
35,544,52.5,295,0
35,544,57.5,208,0
35,544,62.5,179,0
35,544,67.5,152,0
35,544,72.5,139,0
35,544,77.5,61,0
35,544,82.5,59,0
36,599,22.5,2158,0
36,599,27.5,1217,0
36,599,32.5,935,0
36,599,37.5,747,0
36,599,42.5,854,0
36,599,47.5,698,0
36,599,52.5,702,0
36,599,57.5,560,0
36,599,62.5,502,0
36,599,67.5,226,0
36,599,72.5,227,1
36,599,77.5,142,0
36,599,82.5,91,1
37,650,22.5,620,0
37,650,27.5,345,0
37,650,32.5,186,0
37,650,37.5,148,0
37,650,42.5,178,0
37,650,47.5,233,1
37,650,52.5,227,0
37,650,57.5,156,0
37,650,62.5,122,1
37,650,67.5,88,0
37,650,72.5,57,0
37,650,77.5,46,0
37,650,82.5,19,0
38,683,22.5,878,0
38,683,27.5,329,0
38,683,32.5,200,0
38,683,37.5,264,0
38,683,42.5,316,0
38,683,47.5,299,0
38,683,52.5,247,1
38,683,57.5,195,0
38,683,62.5,172,0
38,683,67.5,128,0
38,683,72.5,84,0
38,683,77.5,33,0
38,683,82.5,10,0
39,693,22.5,2567,0
39,693,27.5,1759,0
39,693,32.5,1537,0
39,693,37.5,1037,0
39,693,42.5,1057,0
39,693,47.5,1033,0
39,693,52.5,690,2
39,693,57.5,591,2
39,693,62.5,420,0
39,693,67.5,206,1
39,693,72.5,167,1
39,693,77.5,45,3
39,693,82.5,14,0
40,694,22.5,1817,0
40,694,27.5,1024,0
40,694,32.5,598,1
40,694,37.5,573,0
40,694,42.5,683,0
40,694,47.5,679,0
40,694,52.5,525,0
40,694,57.5,418,1
40,694,62.5,308,1
40,694,67.5,193,1
40,694,72.5,118,1
40,694,77.5,46,0
40,694,82.5,28,0
41,698,22.5,1085,0
41,698,27.5,617,0
41,698,32.5,390,0
41,698,37.5,361,0
41,698,42.5,395,0
41,698,47.5,339,1
41,698,52.5,337,0
41,698,57.5,275,0
41,698,62.5,195,0
41,698,67.5,167,1
41,698,72.5,102,0
41,698,77.5,37,1
41,698,82.5,10,0
42,717,22.5,1425,0
42,717,27.5,849,0
42,717,32.5,509,0
42,717,37.5,463,0
42,717,42.5,530,0
42,717,47.5,501,0
42,717,52.5,473,0
42,717,57.5,334,0
42,717,62.5,269,0
42,717,67.5,212,0
42,717,72.5,133,0
42,717,77.5,80,0
42,717,82.5,37,0
43,934,22.5,2085,0
43,934,27.5,1209,0
43,934,32.5,1087,0
43,934,37.5,745,0
43,934,42.5,693,1
43,934,47.5,739,0
43,934,52.5,616,0
43,934,57.5,513,3
43,934,62.5,342,1
43,934,67.5,154,0
43,934,72.5,87,0
43,934,77.5,30,1
43,934,82.5,41,1
