% 
% This contains most of the data and all of the large
% data sets from "Log-Linear Models and Logistic Regression"
% by Ronald Christensen (1997, Second Edition, Springer-Verlag).
% The individual files correspond to either data files described 
% in the book or to numbered tables in the book.  
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@stat.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: oring.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-llm-oring

@attribute col_1 INTEGER
@attribute col_2 INTEGER
@attribute col_3 {0,1}
@attribute col_4 {0,1}
@attribute col_5 INTEGER
@attribute col_6 INTEGER

@data
1,14,1,0,53,2
2,9,1,0,57,1
3,23,1,0,58,1
4,10,1,0,63,1
5,1,0,1,66,0
6,5,0,1,67,0
7,13,0,1,67,0
8,15,0,1,67,0
9,4,0,1,68,0
10,3,0,1,69,0
11,8,0,1,70,0
12,17,0,1,70,0
13,2,1,0,70,1
14,11,1,0,70,1
15,6,0,1,72,0
16,7,0,1,73,0
17,16,0,1,75,0
18,21,1,0,75,2
19,19,0,1,76,0
20,22,0,1,76,0
21,12,0,1,78,0
22,20,0,1,79,0
23,18,0,1,81,0
