% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/case0102.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-case0102

@attribute salary INTEGER
@attribute code {1,2}

@data
3900,1
4020,1
4290,1
4380,1
4380,1
4380,1
4380,1
4380,1
4440,1
4500,1
4500,1
4620,1
4800,1
4800,1
4800,1
4800,1
4800,1
4800,1
4800,1
4800,1
4800,1
4800,1
4980,1
5100,1
5100,1
5100,1
5100,1
5100,1
5100,1
5160,1
5220,1
5220,1
5280,1
5280,1
5280,1
5400,1
5400,1
5400,1
5400,1
5400,1
5400,1
5400,1
5400,1
5400,1
5400,1
5400,1
5400,1
5520,1
5520,1
5580,1
5640,1
5700,1
5700,1
5700,1
5700,1
5700,1
6000,1
6000,1
6120,1
6300,1
6300,1
4620,2
5040,2
5100,2
5100,2
5220,2
5400,2
5400,2
5400,2
5400,2
5400,2
5700,2
6000,2
6000,2
6000,2
6000,2
6000,2
6000,2
6000,2
6000,2
6000,2
6000,2
6000,2
6000,2
6000,2
6300,2
6600,2
6600,2
6600,2
6840,2
6900,2
6900,2
8100,2
