% ____________________________________________________________________
%         
%                       Data Diskette for
%                   CASE STUDIES IN BIOMETRY
% 
% By Nicholas Lange, Louise Ryan and Lynne Brillard, David Brillinger,
% Loveday Conquest, Joel Greenhouse.
% 
% Published by John Wiley & Sons, Inc., copyright 1994.  
% ____________________________________________________________________
% 
% You have obtained all of the data used by all of the authors in the
% twenty-one chapters of Case Studies in Biometry.  
% 
% Each chapter contains either one or two data sets, except for Chapter 19,
% which has seven data sets. Corresponding to each data set are ASCII files
% with extensions ".dat" (the data), ".txt" (the data description file), and 
% ".sas" (a simple SAS program to read the .dat file). 
% 
% For chapters containing only one data set, the file name prefix is 
% "ch" followed by chapter number, and then the above extensions.
% For instance, for Chapter 2 you will find files "ch2.dat",
% "ch2.txt", and "ch2.sas".
% 
% For chapters containing two data sets, the letters "a" and "b" are
% added after the chapter number. For instance, for Chapter 1, you will
% find the files "ch1a.dat", "ch1a.txt", "ch1a.sas", "ch1b.dat",
% "ch1b.txt", "ch1b.sas".
% 
% For chapter 19, there are seven data sets, ch19a.dat
% through ch19g.dat.  Each one has the same format, but
% refers to different subsets of the whole data
% set.  Details are given in the single text file, ch19.txt.
% 
% Please note permissions and usage information included in
% the .txt file for each subset.
% _______________________________________________________________
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File: ch21b.dat
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File specific Information:
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% CASE STUDIES IN BIOMETRY:  Chapter 21. 
% 
% Drug Interactions Between Morphine and Marijuana
% 
% Chris Gennings, W. Hans Carter Jr., Billy R. Martin.
% 
% The file ch21b.dat contains the tail-flick data (510 observations of 
% 6 variables) Missing data are encoded with a period. 
% 
% Variable List:
% 
% OBS:		Observation identification number.
% 
% REP:		Identification of study. Two 5x7 factorial experiments and one 
% 		5x5 factorial experiment are included.
% 
% MORPHINE:	Dose of morphine sulfate (mg/kg) injected into study mice. The 
% 		range is 0 to 8.0.
% 
% DEL9_THC:	Dose of Delta9-THC (mg/kg) injected into study mice.  The 
% 		range is from 0 to 15.0.
% 
% FLICK_C:	Control Flick Time. The number of seconds required for the 
% 		mouse to flick it tail from beneath a heat stimulus prior to 
% 		treatment.
% 
% FLICK_T::	Test Flick Time. The number of seconds required for the 
% 		mouse to flick it tail from beneath a heat stimulus post 
% 		treatment. A 10 sec maximum latency was imposed.
% 
% 
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation csb-ch21b

@attribute OBS INTEGER
@attribute REP INTEGER
@attribute MORPHINE REAL
@attribute DEL9_THC REAL
@attribute FLICK_C REAL
@attribute FLICK_T REAL

@data
1,1,0.0,0.0,2.2,3.8
2,1,0.0,0.0,3.6,2.9
3,1,0.0,0.0,3.7,3.1
4,1,0.0,0.0,3.1,2.7
5,1,0.0,0.0,2.4,2.9
6,1,0.0,0.0,2.4,2.3
7,1,0.0,0.5,3.9,10.0
8,1,0.0,0.5,3.0,3.0
9,1,0.0,0.5,2.2,4.7
10,1,0.0,0.5,2.5,2.7
11,1,0.0,0.5,2.0,4.5
12,1,0.0,0.5,3.8,2.5
13,1,0.0,1.0,2.8,5.9
14,1,0.0,1.0,3.9,9.4
15,1,0.0,1.0,2.2,3.5
16,1,0.0,1.0,3.4,4.0
17,1,0.0,1.0,2.6,8.4
18,1,0.0,1.0,3.2,6.0
19,1,0.0,2.5,2.7,4.3
20,1,0.0,2.5,3.0,10.0
21,1,0.0,2.5,2.9,7.9
22,1,0.0,2.5,2.6,6.0
23,1,0.0,2.5,2.0,8.9
24,1,0.0,2.5,3.7,7.2
25,1,0.0,5.0,2.3,10.0
26,1,0.0,5.0,2.6,7.7
27,1,0.0,5.0,3.2,4.6
28,1,0.0,5.0,3.4,10.0
29,1,0.0,5.0,2.9,6.1
30,1,0.0,5.0,3.2,3.9
31,1,0.5,0.0,2.2,2.0
32,1,0.5,0.0,3.2,2.7
33,1,0.5,0.0,2.7,2.6
34,1,0.5,0.0,2.4,3.7
35,1,0.5,0.0,2.0,4.0
36,1,0.5,0.0,2.1,2.7
37,1,0.5,0.5,2.6,3.3
38,1,0.5,0.5,2.9,3.2
39,1,0.5,0.5,2.2,3.6
40,1,0.5,0.5,2.2,2.1
41,1,0.5,0.5,2.9,4.0
42,1,0.5,0.5,2.6,2.7
43,1,0.5,1.0,2.4,6.2
44,1,0.5,1.0,2.6,10.0
45,1,0.5,1.0,2.8,5.7
46,1,0.5,1.0,2.4,10.0
47,1,0.5,1.0,2.3,8.0
48,1,0.5,1.0,2.3,3.1
49,1,0.5,2.5,2.2,8.2
50,1,0.5,2.5,2.9,7.5
51,1,0.5,2.5,2.7,10.0
52,1,0.5,2.5,3.0,6.3
53,1,0.5,2.5,2.6,7.3
54,1,0.5,2.5,2.3,5.5
55,1,0.5,5.0,2.3,10.0
56,1,0.5,5.0,2.5,7.4
57,1,0.5,5.0,2.6,10.0
58,1,0.5,5.0,3.9,10.0
59,1,0.5,5.0,3.2,6.6
60,1,0.5,5.0,3.2,10.0
61,1,1.0,0.0,2.3,3.2
62,1,1.0,0.0,3.6,3.5
63,1,1.0,0.0,2.3,4.5
64,1,1.0,0.0,2.0,3.6
65,1,1.0,0.0,3.1,5.6
66,1,1.0,0.0,2.7,2.7
67,1,1.0,0.5,3.3,2.8
68,1,1.0,0.5,2.9,2.2
69,1,1.0,0.5,2.3,3.8
70,1,1.0,0.5,3.7,9.8
