% This S dump contains 22 data sets from the
% book Visualizing Data published by
% Hobart Press (books@hobart.com).
% The dump was created by data.dump()
% and can be read back into S by data.restore().
% The name of each S data set is the name of
% the data set used in the book. To find the
% description of the data set in the book look
% under the entry - data, name - in the index.
% For example, one data set is barley.
% To find the description of barley, look
% in the index under the entry - data, barley.
%
% File: ../data/visualizing/galaxy.csv
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation visualizing-galaxy

@attribute eastwest REAL
@attribute northsouth REAL
@attribute angle REAL
@attribute radialposition REAL
@attribute velocity INTEGER

@data
8.462788581848145,-38.17317199707031,102.5,39.0999980933372,1769
7.964977741241455,-35.92769241333008,102.5,36.79999935550716,1749
7.467166900634766,-33.682212829589844,102.5,34.50000061767713,1749
6.969355583190918,-31.436731338500977,102.5,32.19999991450378,1758
6.47154426574707,-29.19124984741211,102.5,29.89999921133045,1750
5.973733425140381,-26.945770263671875,102.5,27.60000047350041,1745
5.475922107696533,-24.700288772583008,102.5,25.29999977032707,1750
4.978111267089844,-22.45480728149414,102.5,22.99999917036018,1753
4.480299949645996,-20.209327697753906,102.5,20.7000003293237,1734
3.9824888706207275,-17.96384620666504,102.5,18.39999967775358,1710
3.46303391456604,-15.620736122131348,102.5,16.00000002783418,1711
2.9652225971221924,-13.375255584716797,102.5,13.70000025572927,1709
2.467411518096924,-11.12977409362793,102.5,11.39999960415915,1674
1.9696005582809448,-8.884294509887695,102.5,9.100000840527503,1665
1.4717893600463867,-6.638813018798828,102.5,6.800000163155775,1680
0.9739782810211182,-4.393332004547119,102.5,4.499999977119873,1648
0.4761671721935272,-2.1478512287139893,102.5,2.200000017400676,1626
-0.02164396084845066,0.0976295992732048,102.5,-0.09999999847727907,1581
-0.519455075263977,2.3431105613708496,102.5,-2.40000014125523,1602
-1.0172661542892456,4.5885910987854,102.5,-4.699999861756917,1558
-1.5150773525238037,6.834072113037109,102.5,-7.000000073594431,1538
-2.0128884315490723,9.07955265045166,102.5,-9.29999979409612,1506
-2.510699510574341,11.325034141540527,102.5,-11.60000044566623,1521
-3.0085105895996094,13.570513725280762,102.5,-13.89999923509949,1498
-3.527965545654297,15.913623809814453,102.5,-16.2999988850189,1501
-4.0257768630981445,18.15910530090332,102.5,-18.59999958819224,1491
-4.523587703704834,20.404586791992188,102.5,-20.90000018815913,1481
-5.021399021148682,22.650068283081055,102.5,-23.20000089133247,1468
-5.519210338592529,24.89554786682129,102.5,-25.49999973236896,1455
-6.017021179199219,27.141027450561523,102.5,-27.79999847019899,1454
-6.514832496643066,29.386510848999023,102.5,-30.10000103550918,1456
-7.012643814086914,31.63199234008789,102.5,-32.40000173868253,1459
-7.5104546546936035,33.877471923828125,102.5,-34.70000047651256,1451
-8.008265495300293,36.12295150756836,102.5,-36.99999921434259,1465
-8.50607681274414,38.368431091308594,102.5,-39.29999805537908,1451
-9.501699447631836,42.859397888183594,102.5,-43.90000318599947,1486
-11.016777038574219,49.6934700012207,102.5,-50.90000331119712,1433
27.82443618774414,6.168529033660889,12.5,28.49999999306953,1631
21.087993621826172,4.675095558166504,12.5,21.59999984889281,1618
18.842512130737305,4.177284240722656,12.5,19.29999914571947,1607
16.59703254699707,3.679473400115967,12.5,17.00000040788944,1608
14.351551055908203,3.1816623210906982,12.5,14.69999975631932,1601
12.106071472167969,2.6838512420654297,12.5,12.40000003581763,1603
9.860589981079102,2.186040163040161,12.5,10.10000031531595,1612
7.615108966827393,1.6882290840148926,12.5,7.800000129280045,1607
5.271998405456543,1.168773889541626,12.5,5.399999962223203,1618
3.026517629623413,0.6709628105163574,12.5,3.100000008954408,1649
0.7810367941856384,0.17315168678760529,12.5,0.7999999878182326,1595
-1.4644440412521362,-0.32465940713882446,12.5,-1.50000002686754,1580
-3.7099246978759766,-0.8224705457687378,12.5,-3.799999876653588,1574
-5.9554057121276855,-1.3202816247940063,12.5,-6.100000062689489,1574
-8.200885772705078,-1.818092703819275,12.5,-8.399999317656963,1559
-10.446367263793945,-2.315903902053833,12.5,-10.69999999502869,1578
-12.691847801208496,-2.8137149810791016,12.5,-12.99999971553038,1591
-14.937329292297363,-3.31152606010437,12.5,-15.30000036710049,1579
-17.182809829711914,-3.8093373775482178,12.5,-17.60000013920541,1588
-19.42828941345215,-4.307148456573486,12.5,-19.89999892863867,1581
-21.67377281188965,-4.804959774017334,12.5,-22.20000149394886,1569
-23.919252395629883,-5.302770614624023,12.5,-24.5000002317789,1572
-26.262361526489258,-5.822225570678711,12.5,-26.89999895062987,1584
