% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/ex1512.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-ex1512

@attribute year INTEGER
@attribute lynx INTEGER
@attribute spots INTEGER

@data
1821,269,6
1822,321,1
1823,585,6
1824,871,10
1825,1475,23
1826,2921,47
1827,3928,60
1828,5943,61
1829,4950,71
1830,2577,62
1831,523,41
1832,98,14
1833,184,7
1834,279,24
1835,409,93
1836,2285,139
1837,2685,126
1838,3409,82
1839,1824,82
1860,409,50
1841,151,29
1842,45,19
1843,68,12
1844,213,28
1845,546,47
1846,1033,65
1847,2129,123
1848,2536,121
1849,957,78
1850,361,67
1851,377,60
1852,225,45
1853,360,30
1854,731,16
1855,1638,3
1856,2725,9
1857,2871,36
1858,2119,76
1859,684,95
1860,299,91
1861,236,68
1862,245,55
1863,552,43
1864,1623,41
1865,3311,24
1866,6721,7
1867,4254,17
1868,687,57
1869,255,106
1870,473,135
1871,358,98
1872,784,92
1873,1594,52
1874,1676,33
1875,2251,13
1876,1426,13
1877,756,7
1878,299,2
1879,201,16
1880,229,44
1881,469,62
1882,736,55
1883,2042,74
1884,2811,55
1885,4431,41
1886,2511,14
1887,389,11
1888,73,5
1889,39,6
1890,49,17
1891,59,56
1892,188,77
1893,377,87
1894,1292,71
1895,4031,53
1896,3495,35
1897,587,26
1898,105,20
1899,153,11
1900,387,5
1901,758,3
1902,1307,11
1903,3465,33
1904,6991,51
1905,6313,62
1906,3794,60
1907,1836,51
1908,345,51
1909,382,33
1910,808,13
1911,1388,3
1912,2713,3
1913,3800,4
1914,3091,24
1915,2985,59
1916,3790,69
1917,674,98
1918,81,78
1919,80,51
1920,108,31
1921,229,23
1922,399,7
1923,1132,8
1924,2432,24
1925,3574,61
1926,2935,72
1927,1537,69
1928,529,68
1929,485,57
1930,662,28
1931,1000,15
1932,1590,9
1933,2657,5
1934,3396,15
