% This is the Tecator data set: The task is to predict the fat content of a 
% meat sample on the basis of its near infrared absorbance spectrum.
% 1. Statement of permission from Tecator (the original data source)
% 
% These data are recorded on a Tecator Infratec Food and Feed Analyzer 
% working in the wavelength range 850 - 1050 nm by the Near Infrared 
% Transmission (NIT) principle. Each sample contains finely chopped pure 
% meat with different moisture, fat and protein contents.
% 
% If results from these data are used in a publication we want you to 
% mention the instrument and company name (Tecator) in the publication. 
% In addition, please send a preprint of your article to 
% 
%     Karin Thente, Tecator AB, 
%     Box 70, S-263 21 Hoganas, Sweden
% 
% The data are available in the public domain with no responsability from 
% the original data source. The data can be redistributed as long as this 
% permission note is attached.
% For more information about the instrument - call Perstorp Analytical's 
% representative in your area.
% 
% 
% 2. Description of the data file
% 
% For each meat sample the data consists of a 100 channel spectrum of 
% absorbances and the contents of moisture (water), fat and protein. 
% The absorbance is -log10 of the transmittance 
% measured by the spectrometer. The three contents, measured in percent, 
% are determined by analytic chemistry.
% 
% There are 240 samples which are divided into 5 data sets for the purpose 
% of model validation and extrapolation studies. The data sets, further 
% described in reference 1, are:
% 
%     Data set  Use               Samples
%     C         Traning               129
%     M         Monitoring             43
%     T         Testing                43
%     E1        Extrapolation, Fat      8     
%     E2        Extrapolation, Protein 17     
% 
% The data for all 240 samples appear at the end of this file - 25 lines 
% per sample. The data sets appear in the order of the table above.
% The spectra are preprocessed using a principal component analysis on the 
% data set C, and the first 22 principal components (scaled to unit 
% variance) are included for each sample.
% Thus if you want to use the data for a standard (interpolation) test 
% of your algorithm, use sample 1-172 for training and sample 173-215
% for testing (and ignore the last 25 samples), and use the first 13 or so 
% principal components to predict the fat content. 
% 
% Each line contains the 100 absorbances followed by the 22 principal 
% components and finally the contents of moisture, fat and protein.
% 
% Preceeding the data lines, the following lines appear:
% 
% real_in=122
% real_out=3
% training_examples=172
% test_examples=43
% extrapolation_examples=25
% 
% 
% 3. More details on how to use the data
% 
% The data are made available as a benchmark for regression models. In order
% to compare models, it is practical to use the data set as follows:
% 
% C and M combined are used to tune (estimate, train) the model. (Some
% approaches set aside some training data to control overfitting. These data 
% should be a subset of C+M. In (1) the subset M was used for this purpose.)
% 
% T is used to test the model once it has been tuned. 
% If each model has an element of randomness (as is the case 
% for neural networks) the most reliable measure of performance of a single 
% model is obtained by selecting a handful of models on the basis of C+M and 
% quoting the average of the performances on T.
% In the presence of randomness it is bad practice to train a lot of models 
% on C+M and then select the best of these on the basis of T. 
% 
% C, M and T are drawn from the same pool of data, so T is used to test the 
% ability of the models to interpolate. The data sets E1 and E2 contain 
% more fat and protein respectively and are intended to be used to test the  
% ability of the models to extrapolate.  
% 
% 
% 4. Performance of neural network models
% 
% The performance is measured as Standard Error of Prediction (SEP) which
% is the root mean square of the difference between the true and the predicted 
% content.
% 
% For the prediction of fat on the data set T the following results were obtained
% 
%     Reference SEP   method (see the papers for details)
%     (1)       0.65  10-6-1 network, early stopping
%     (2)       0.52  10-3-1 network, Bayesian
%     (3)       0.36  13-X-1 network, Bayesian, Automatic Relevance Determination
% 
% A linear model with 10 inputs yields SEP=2.78.
% 
% 5. References
% 
% (1) C.Borggaard and H.H.Thodberg, 
%     "Optimal Minimal Neural Interpretation of Spectra", 
%     Analytical Chemistry 64 (1992), p 545-551.
% (2) H.H.Thodberg, "Ace of Bayes: Application of Neural Networks with Pruning"
%     Manuscript 1132, Danish Meat Research Institute (1993),
%     available by anonymous ftp in the file: 
%     pub/neuroprose/thodberg.ace-of-bayes.ps.Z on the Internet node 
%     archive.cis.ohio-state.edu (128.146.8.52).
% 
% (3) Revised and extended version of (2), in preparation, to be 
%     submitted to IEEE Trans. Neural Networks (1995)
%     available by anonymous ftp in the file: 
%     pub/neuroprose/thodberg.bayesARD.ps.Z on the Internet node 
%     archive.cis.ohio-state.edu (128.146.8.52).
% 
% Hans Henrik Thodberg                Email: thodberg@nn.dmri.dk
% Danish Meat Research Institute      Phone: (+45) 42 36 12 00
% Maglegaardsvej 2, Postboks 57       Fax:   (+45) 42 36 48 36
% DK-4000 Roskilde, Denmark
% 
% real_in=122
% real_out=3
% training_examples=172
% test_examples=43
% extrapolation_examples=25
% 
%
% Note: all 240 samples are included in the same order as mentioned above
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation tecator

@attribute absorbance_1 REAL
@attribute absorbance_2 REAL
@attribute absorbance_3 REAL
@attribute absorbance_4 REAL
@attribute absorbance_5 REAL
@attribute absorbance_6 REAL
@attribute absorbance_7 REAL
@attribute absorbance_8 REAL
@attribute absorbance_9 REAL
@attribute absorbance_10 REAL
@attribute absorbance_11 REAL
@attribute absorbance_12 REAL
@attribute absorbance_13 REAL
@attribute absorbance_14 REAL
@attribute absorbance_15 REAL
@attribute absorbance_16 REAL
@attribute absorbance_17 REAL
@attribute absorbance_18 REAL
@attribute absorbance_19 REAL
@attribute absorbance_20 REAL
@attribute absorbance_21 REAL
@attribute absorbance_22 REAL
@attribute absorbance_23 REAL
@attribute absorbance_24 REAL
@attribute absorbance_25 REAL
@attribute absorbance_26 REAL
@attribute absorbance_27 REAL
@attribute absorbance_28 REAL
@attribute absorbance_29 REAL
@attribute absorbance_30 REAL
@attribute absorbance_31 REAL
@attribute absorbance_32 REAL
@attribute absorbance_33 REAL
@attribute absorbance_34 REAL
@attribute absorbance_35 REAL
@attribute absorbance_36 REAL
@attribute absorbance_37 REAL
@attribute absorbance_38 REAL
@attribute absorbance_39 REAL
@attribute absorbance_40 REAL
@attribute absorbance_41 REAL
@attribute absorbance_42 REAL
@attribute absorbance_43 REAL
@attribute absorbance_44 REAL
@attribute absorbance_45 REAL
@attribute absorbance_46 REAL
@attribute absorbance_47 REAL
@attribute absorbance_48 REAL
@attribute absorbance_49 REAL
@attribute absorbance_50 REAL
@attribute absorbance_51 REAL
@attribute absorbance_52 REAL
@attribute absorbance_53 REAL
@attribute absorbance_54 REAL
@attribute absorbance_55 REAL
@attribute absorbance_56 REAL
@attribute absorbance_57 REAL
@attribute absorbance_58 REAL
@attribute absorbance_59 REAL
@attribute absorbance_60 REAL
@attribute absorbance_61 REAL
@attribute absorbance_62 REAL
@attribute absorbance_63 REAL
@attribute absorbance_64 REAL
@attribute absorbance_65 REAL
@attribute absorbance_66 REAL
@attribute absorbance_67 REAL
@attribute absorbance_68 REAL
@attribute absorbance_69 REAL
@attribute absorbance_70 REAL
@attribute absorbance_71 REAL
@attribute absorbance_72 REAL
@attribute absorbance_73 REAL
@attribute absorbance_74 REAL
@attribute absorbance_75 REAL
@attribute absorbance_76 REAL
@attribute absorbance_77 REAL
@attribute absorbance_78 REAL
@attribute absorbance_79 REAL
@attribute absorbance_80 REAL
@attribute absorbance_81 REAL
@attribute absorbance_82 REAL
@attribute absorbance_83 REAL
@attribute absorbance_84 REAL
@attribute absorbance_85 REAL
@attribute absorbance_86 REAL
@attribute absorbance_87 REAL
@attribute absorbance_88 REAL
@attribute absorbance_89 REAL
@attribute absorbance_90 REAL
@attribute absorbance_91 REAL
@attribute absorbance_92 REAL
@attribute absorbance_93 REAL
@attribute absorbance_94 REAL
@attribute absorbance_95 REAL
@attribute absorbance_96 REAL
@attribute absorbance_97 REAL
@attribute absorbance_98 REAL
@attribute absorbance_99 REAL
@attribute absorbance_100 REAL
@attribute principal_component_1 REAL
@attribute principal_component_2 REAL
@attribute principal_component_3 REAL
@attribute principal_component_4 REAL
@attribute principal_component_5 REAL
@attribute principal_component_6 REAL
@attribute principal_component_7 REAL
@attribute principal_component_8 REAL
@attribute principal_component_9 REAL
@attribute principal_component_10 REAL
@attribute principal_component_11 REAL
@attribute principal_component_12 REAL
@attribute principal_component_13 REAL
@attribute principal_component_14 REAL
@attribute principal_component_15 REAL
@attribute principal_component_16 REAL
@attribute principal_component_17 REAL
@attribute principal_component_18 REAL
@attribute principal_component_19 REAL
@attribute principal_component_20 REAL
@attribute principal_component_21 REAL
@attribute principal_component_22 REAL
@attribute moisture REAL
@attribute fat REAL
@attribute protein REAL

@data
2.61776,2.61814,2.61859,2.61912,2.61981,2.62071,2.62186,2.62334,2.62511,2.62722,2.62964,2.63245,2.63565,2.63933,2.64353,2.64825,2.6535,2.65937,2.66585,2.67281,2.68008,2.68733,2.69427,2.70073,2.70684,2.71281,2.71914,2.72628,2.73462,2.74416,2.75466,2.76568,2.77679,2.7879,2.79949,2.81225,2.82706,2.84356,2.86106,2.87857,2.89497,2.90924,2.92085,2.93015,2.93846,2.94771,2.96019,2.97831,3.00306,3.03506,3.07428,3.11963,3.16868,3.21771,3.26254,3.29988,3.32847,3.34899,3.36342,3.37379,3.38152,3.38741,3.39164,3.39418,3.3949,3.39366,3.39045,3.38541,3.37869,3.37041,3.36073,3.34979,3.33769,3.32443,3.31013,3.29487,3.27891,3.26232,3.24542,3.22828,3.2108,3.19287,3.17433,3.15503,3.13475,3.11339,3.09116,3.0685,3.04596,3.02393,3.00247,2.98145,2.96072,2.94013,2.91978,2.89966,2.87964,2.8596,2.8394,2.8192,-0.4303,-0.458634,-0.417066,0.32288,1.55149,-1.38785,1.625,-0.227357,-0.471568,-0.107814,-0.272123,0.889433,0.151167,0.544968,0.296029,0.233876,0.899661,-0.0420062,0.708717,-0.254173,-0.391579,-0.419313,60.5,22.5,16.7
2.83454,2.83871,2.84283,2.84705,2.85138,2.85587,2.8606,2.86566,2.87093,2.87661,2.88264,2.88898,2.89577,2.90308,2.91097,2.91953,2.92873,2.93863,2.94929,2.96072,2.97272,2.98493,2.9969,3.00833,3.0192,3.0299,3.04101,3.05345,3.06777,3.08416,3.10221,3.12106,3.13983,3.1581,3.17623,3.19519,3.21584,3.23747,3.25889,3.27835,3.29384,3.30362,3.30681,3.30393,3.297,3.28925,3.28409,3.28505,3.29326,3.30923,3.33267,3.36251,3.39661,3.43188,3.46492,3.49295,3.51458,3.53004,3.54067,3.54797,3.55306,3.55675,3.55921,3.56045,3.56034,3.55876,3.55571,3.55132,3.54585,3.5395,3.53235,3.52442,3.51583,3.50668,3.497,3.48683,3.47626,3.46552,3.45501,3.44481,3.43477,3.42465,3.41419,3.40303,3.39082,3.37731,3.36265,3.34745,3.33245,3.31818,3.30473,3.29186,3.27921,3.26655,3.25369,3.24045,3.22659,3.21181,3.196,3.17942,0.105243,0.620297,-2.30845,-0.051767,0.430545,-0.0839601,0.371107,1.25599,-0.287293,-0.880355,-1.30942,-0.298308,-1.53206,0.374732,-0.454959,-0.19598,-0.0463589,-0.634996,-0.354403,0.0146504,0.269542,0.0966922,46,40.1,13.5
2.58284,2.58458,2.58629,2.58808,2.58996,2.59192,2.59401,2.59627,2.59873,2.60131,2.60414,2.60714,2.61029,2.61361,2.61714,2.62089,2.62486,2.62909,2.63361,2.63835,2.6433,2.64838,2.65354,2.6587,2.66375,2.6688,2.67383,2.67892,2.68411,2.68937,2.6947,2.70012,2.70563,2.71141,2.71775,2.7249,2.73344,2.74327,2.75433,2.76642,2.77931,2.79272,2.80649,2.82064,2.83541,2.85121,2.86872,2.88905,2.91289,2.94088,2.97325,3.00946,3.0478,3.08554,3.11947,3.14696,3.16677,3.17938,3.18631,3.18924,3.1895,3.18801,3.18498,3.18039,3.17411,3.16611,3.15641,3.14512,3.13241,3.11843,3.10329,3.08714,3.07014,3.05237,3.03393,3.01504,2.99569,2.97612,2.95642,2.9366,2.91667,2.89655,2.87622,2.85563,2.83474,2.81361,2.79235,2.77113,2.75015,2.72956,2.70934,2.68951,2.67009,2.65112,2.63262,2.61461,2.59718,2.58034,2.56404,2.54816,-0.746164,1.32724,0.426145,-0.665418,-1.16586,0.975577,-0.402294,0.456283,-0.112556,-0.197395,0.371486,-0.339063,0.791352,0.673404,0.628166,0.795466,0.762246,-1.26858,0.690588,-0.785592,-0.671237,-0.71029,71,8.4,20.5
2.82286,2.8246,2.8263,2.82814,2.83001,2.83192,2.83392,2.83606,2.83842,2.84097,2.84374,2.84664,2.84975,2.85307,2.85661,2.86038,2.86437,2.8686,2.87308,2.87789,2.88301,2.88832,2.89374,2.89917,2.90457,2.90991,2.91521,2.92043,2.92565,2.93082,2.93604,2.94128,2.94658,2.95202,2.95777,2.96419,2.97159,2.98045,2.9909,3.00284,3.01611,3.03048,3.04579,3.06194,3.07889,3.09686,3.11629,3.13775,3.16217,3.19068,3.22376,3.26172,3.30379,3.34793,3.39093,3.4292,3.45998,3.48227,3.49687,3.50558,3.51026,3.51221,3.51215,3.51036,3.50682,3.5014,3.49398,3.48457,3.47333,3.46041,3.44595,3.43005,3.41285,3.3945,3.37511,3.35482,3.33376,3.31204,3.28986,3.2673,3.24442,3.22117,3.19757,3.17357,3.14915,3.12429,3.09908,3.07366,3.04825,3.02308,2.9982,2.97367,2.94951,2.92576,2.90251,2.87988,2.85794,2.83672,2.81617,2.79622,-0.199337,1.01736,1.14854,0.0934452,1.91432,-2.16714,-1.47406,-1.70367,1.42855,1.36392,-0.936239,1.71391,-0.845084,0.638009,0.281853,0.6165,-0.388684,-2.06839,1.27616,-0.259437,-0.140206,-0.165963,72.8,5.9,20.7
2.78813,2.78989,2.79167,2.7935,2.79538,2.79746,2.79984,2.80254,2.80553,2.8089,2.81272,2.81704,2.82184,2.8271,2.83294,2.83945,2.84664,2.85458,2.86331,2.8728,2.88291,2.89335,2.90374,2.91371,2.92305,2.93187,2.9406,2.94986,2.96035,2.97241,2.98606,3.00097,3.01652,3.0322,3.04793,3.06413,3.08153,3.10078,3.12185,3.14371,3.1651,3.1847,3.2014,3.21477,3.22544,3.23505,3.24586,3.26027,3.28063,3.30889,3.34543,3.39019,3.44198,3.498,3.55407,3.60534,3.64789,3.68011,3.70272,3.71815,3.72863,3.73574,3.74059,3.74357,3.74453,3.74336,3.73991,3.73418,3.72638,3.71676,3.70553,3.69289,3.679,3.66396,3.64785,3.63085,3.61305,3.59463,3.57582,3.55695,3.53796,3.5188,3.49936,3.47938,3.45869,3.43711,3.41458,3.39129,3.36772,3.3445,3.32201,3.30025,3.27907,3.25831,3.23784,3.21765,3.19766,3.1777,3.1577,3.13753,0.123863,-1.20809,-0.295565,0.125572,1.5292,-1.56213,-3.36609,0.089408,-0.135988,1.81509,0.973894,1.51592,0.66,0.0608721,0.70358,-1.09554,-1.34845,0.453559,0.402624,0.0313069,0.0218236,0.145777,58.3,25.5,15.5
3.00993,3.0154,3.02086,3.02634,3.0319,3.03756,3.04341,3.04955,3.05599,3.06274,3.06982,3.07724,3.08511,3.09343,3.10231,3.11185,3.12205,3.13294,3.14457,3.15703,3.17038,3.18429,3.1984,3.21225,3.22552,3.23827,3.25084,3.26393,3.27851,3.29514,3.31401,3.33458,3.35591,3.37709,3.39772,3.41828,3.43974,3.46266,3.48663,3.51002,3.53087,3.54711,3.55699,3.55986,3.55656,3.54937,3.54169,3.53692,3.53823,3.5476,3.56512,3.59043,3.62229,3.6583,3.69515,3.72932,3.75803,3.78003,3.7956,3.80614,3.81313,3.81774,3.82079,3.82258,3.82301,3.82206,3.81959,3.81557,3.81021,3.80375,3.79642,3.78835,3.77958,3.77024,3.7604,3.75005,3.73929,3.72831,3.71738,3.70681,3.69664,3.68659,3.67649,3.66611,3.65503,3.64283,3.62938,3.61483,3.5999,3.58535,3.57163,3.55877,3.54651,3.53442,3.52221,3.50972,3.49682,3.48325,3.4687,3.45307,0.576482,0.389925,-2.38897,0.152864,0.579665,0.124872,-3.07661,5.19174,-1.00535,0.360592,-0.0350563,0.644682,0.747,-1.31945,0.508746,-1.06225,-0.335895,1.34483,-0.655933,0.332057,0.152104,0.604382,44,42.7,13.7
2.98893,2.99435,2.9998,3.0054,3.01117,3.01716,3.02347,3.03014,3.03708,3.04445,3.05213,3.06032,3.06905,3.07841,3.08846,3.09918,3.11059,3.12265,3.13566,3.14936,3.16331,3.17695,3.19001,3.20256,3.21496,3.22788,3.24197,3.25812,3.27652,3.29661,3.31746,3.33822,3.35857,3.37882,3.39971,3.42189,3.44511,3.46814,3.48887,3.50519,3.51543,3.51885,3.51619,3.50972,3.50259,3.49802,3.49875,3.50653,3.52275,3.54677,3.57737,3.61244,3.64869,3.68262,3.71139,3.7336,3.74947,3.76022,3.76731,3.77206,3.77511,3.77666,3.77696,3.77594,3.77346,3.76953,3.76426,3.75787,3.75055,3.74243,3.73368,3.72442,3.71475,3.70463,3.69406,3.68318,3.67229,3.66175,3.6516,3.64173,3.63191,3.62177,3.61102,3.59929,3.58642,3.57249,3.55803,3.54375,3.53017,3.51747,3.50544,3.49372,3.48197,3.46996,3.45756,3.44456,3.4307,3.41583,3.40018,3.38415,0.51065,0.76979,-2.15052,-0.468935,-1.94128,1.59932,2.78817,-2.09177,3.57344,1.70334,-2.15898,1.03939,-0.245795,0.571211,0.226846,-0.819348,1.43256,2.54071,1.01441,0.329668,0.0949238,0.55641,44,42.7,13.7
2.52582,2.52665,2.52758,2.52844,2.52944,2.53057,2.53187,2.53339,2.53516,2.5371,2.53937,2.54193,2.54471,2.54776,2.55112,2.55479,2.55881,2.56321,2.56808,2.57328,2.57875,2.58436,2.58994,2.59539,2.60069,2.60591,2.61119,2.61666,2.62246,2.62858,2.63502,2.64172,2.64861,2.65579,2.6635,2.67238,2.68288,2.69511,2.709,2.72432,2.74071,2.75776,2.77516,2.79274,2.81083,2.83024,2.85189,2.87681,2.90596,2.94022,2.98013,3.02557,3.07533,3.12683,3.17635,3.21975,3.25322,3.27754,3.29438,3.30581,3.31357,3.31875,3.32198,3.32346,3.32312,3.32085,3.3165,3.3101,3.30175,3.29157,3.27989,3.26688,3.25257,3.23709,3.22056,3.20312,3.18497,3.16623,3.14704,3.12753,3.10768,3.0875,3.06697,3.04598,3.02452,3.00249,2.97994,2.95703,2.93406,2.91133,2.88903,2.8672,2.84572,2.82458,2.80388,2.78372,2.76415,2.74515,2.72671,2.70876,-0.633746,-0.734988,0.126713,0.533676,0.479648,-1.19249,-0.988373,-1.09375,-0.179216,2.01196,0.356689,0.891906,-0.503791,1.12559,0.525961,1.56266,0.161778,1.67228,-0.112298,-0.693837,-0.626124,-0.607287,69.3,10.6,19.3
3.27336,3.27996,3.28646,3.293,3.29956,3.30627,3.3131,3.32006,3.32727,3.33472,3.34243,3.35035,3.35847,3.3669,3.37569,3.38485,3.39442,3.40444,3.41491,3.42586,3.43719,3.44863,3.45991,3.47089,3.48148,3.49178,3.50214,3.51296,3.52454,3.53691,3.54991,3.5633,3.5768,3.59026,3.60391,3.61845,3.63442,3.65194,3.67066,3.68994,3.70901,3.72709,3.74353,3.75823,3.77184,3.78596,3.80248,3.82298,3.8487,3.88066,3.91941,3.96476,4.01541,4.06862,4.12026,4.16604,4.20183,4.22819,4.24688,4.25992,4.26905,4.27545,4.2798,4.28231,4.28294,4.28151,4.27792,4.27216,4.26428,4.25443,4.24303,4.23031,4.21632,4.20117,4.18489,4.16765,4.14958,4.13086,4.11177,4.09248,4.07291,4.05302,4.03267,4.01176,3.99019,3.96779,3.94456,3.92067,3.89656,3.87259,3.84916,3.8262,3.80355,3.78118,3.75899,3.73709,3.71543,3.69395,3.67259,3.65127,1.19681,-0.36131,0.336143,0.917557,0.546944,-2.26308,-1.08219,-1.35936,-0.592966,0.962379,-0.626132,1.88079,-0.540533,-1.34117,-1.12721,-0.0778934,-0.949164,3.9522,-2.3449,1.1286,0.841003,1.23734,61.4,19.9,17.7
3.39805,3.40539,3.41271,3.42001,3.42735,3.43479,3.44245,3.45035,3.45838,3.46665,3.47511,3.48385,3.49294,3.50235,3.51212,3.5223,3.53289,3.54394,3.55545,3.56757,3.58,3.59235,3.60434,3.61589,3.62715,3.63838,3.64981,3.66176,3.67455,3.68842,3.70286,3.71741,3.73184,3.7464,3.76172,3.77839,3.7967,3.81651,3.83715,3.8577,3.8771,3.89458,3.91029,3.92492,3.94003,3.9574,3.97887,4.00603,4.04003,4.08151,4.1302,4.18452,4.24136,4.29569,4.3424,4.37906,4.40592,4.42495,4.43846,4.44838,4.45557,4.4605,4.46341,4.46421,4.46273,4.45887,4.45276,4.44461,4.43461,4.423,4.40969,4.395,4.37887,4.36182,4.34385,4.32492,4.30535,4.28533,4.2651,4.2446,4.22354,4.20185,4.17942,4.15606,4.13174,4.10661,4.08106,4.05559,4.03052,4.00597,3.98173,3.95779,3.93407,3.91059,3.88728,3.86413,3.84107,3.81811,3.79531,3.77262,1.50884,-0.266759,0.947242,0.282885,-1.60449,-0.31231,2.46332,-0.258455,0.564514,-0.25068,-0.837451,-0.358755,3.26092,-2.68337,-0.463826,-2.09378,-1.44045,0.67623,-0.99998,1.72076,1.26407,1.49738,61.4,19.9,17.7
