% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-wildcat

@attribute Grievances INTEGER
@attribute Rotate {0,1}
@attribute Union {0,1}
@attribute Workforce INTEGER
@attribute Log_workforce REAL
@attribute Wildcat_strikes INTEGER

@data
5,1,1,174,5.159060,0
18,1,1,208,5.337540,0
4,1,1,238,5.472270,0
5,1,1,297,5.693730,0
6,1,1,126,4.836280,0
8,1,1,161,5.081400,0
0,1,0,91,4.510860,0
0,1,0,147,4.990430,0
2,1,1,97,4.574710,0
2,1,1,77,4.343810,0
2,1,1,130,4.867530,0
2,1,1,140,4.941640,0
0,0,0,7,1.945910,0
0,0,0,6,1.791760,0
0,0,0,8,2.079440,0
0,0,0,9,2.197220,0
0,0,0,10,2.302590,0
0,0,0,10,2.302590,0
0,0,0,11,2.397900,0
0,0,0,10,2.302590,0
0,0,0,18,2.890370,0
0,0,0,21,3.044520,0
0,0,0,36,3.583520,0
0,0,0,67,4.204690,0
0,0,0,50,3.912020,0
0,0,0,75,4.317490,0
0,0,0,115,4.744930,0
0,0,0,48,3.871200,0
0,0,0,51,3.931830,0
0,0,0,53,3.970290,0
0,0,0,61,4.110870,0
0,0,0,69,4.234110,0
0,0,0,16,2.772590,0
0,0,0,16,2.772590,0
0,0,0,16,2.772590,0
0,0,0,16,2.772590,0
0,0,0,16,2.772590,0
0,0,0,16,2.772590,0
0,0,0,59,4.077540,0
0,0,0,63,4.143130,0
0,0,0,56,4.025350,0
9,0,1,372,5.918890,0
9,1,1,400,5.991460,0
0,1,0,64,4.158880,0
