% This S dump contains 22 data sets from the
% book Visualizing Data published by
% Hobart Press (books@hobart.com).
% The dump was created by data.dump()
% and can be read back into S by data.restore().
% The name of each S data set is the name of
% the data set used in the book. To find the
% description of the data set in the book look
% under the entry - data, name - in the index.
% For example, one data set is barley.
% To find the description of barley, look
% in the index under the entry - data, barley.
%
% File: ../data/visualizing/polarization.csv
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation visualizing-polarization

@attribute concentration REAL
@attribute babinet REAL

@data
9,25.9
9,24.6
10,20.7
12,22.5
12,25.3
13.5,23.9
14,25.5
15,20.6
15,20.9
15,24.2
15,24.3
15,24.6
15.5,24.1
15.5,24.2
15.5,25.7
16,23.4
16,24.1
16,24.2
16,24.6
16,25.5
17,22.5
19,22.2
19,23.7
19,23.9
19,23.9
19,24
19,24
19,24.9
19,24.9
19,25.1
19,25.3
19,25.4
19,25.6
20,25
20.5,22.6
20.5,23.2
21,21.3
21,21.5
21,24.2
22,23.3
22,24.7
22.5,24.2
23,24
24,24.3
24,24.8
24,25.1
24,25.3
24,25.8
24.5,25.7
25,23.1
25,23.7
25.5,24.2
25.5,24.8
25.5,25.1
25.5,25.3
26.5,23.3
26.5,23.6
26.5,23.8
26.5,23.9
26.5,25.1
27,18
27,18
27.5,22.4
27.5,22.7
27.5,24.1
27.5,24.3
29,23.2
29,24.7
29,24.9
29.5,22.7
29.5,23.5
29.5,23.7
30,24
30,24.2
30,24.4
30,24.5
30.5,18
30.5,18
30.5,20
30.5,21.2
30.5,21.8
30.5,24
30.5,24
30.5,24.7
30.5,24.7
30.5,24.9
31,24.4
31.5,21.2
31.5,21.4
31.5,21.8
31.5,22.2
31.5,22.2
31.5,22.3
31.5,22.3
31.5,22.3
31.5,22.4
31.5,22.5
31.5,22.7
31.5,23.4
31.5,23.6
31.5,23.9
31.5,24.2
33,23.7
33,23.8
33,23.9
34,23.6
34,23.8
34,23.9
34.5,22.2
34.5,22.5
35,20.8
35,21
35.5,21.1
35.5,21.9
35.5,22.4
35.5,23.1
35.5,23.6
36,22.1
36,22.6
36,23.2
37,20.8
37,21.8
37,21.9
37,22.3
37,23.3
37.5,22.5
37.5,23.1
38.5,21.1
38.5,21.3
39,20.6
39,20.8
39,21.5
39,21.5
39,21.8
39.5,22.6
39.5,22.6
39.5,22.7
39.5,22.9
39.5,23.1
40,20.1
40,21
40,25
40.5,20.5
40.5,22.5
40.5,22.6
40.5,23.3
41,21.4
41.5,20.8
41.5,21.1
41.5,22.5
41.5,22.6
41.5,22.7
42,19.5
42,19.7
42,19.8
42,20
42,20.2
42,20.3
42,20.4
42,20.6
42,21.5
42,21.7
42,22
42,22.1
42,22.2
42,22.3
42,22.9
42,23.2
42,23.5
42,24.4
42,23.8
43,21.4
43.5,19.7
44.5,23.8
45,22.6
45.5,20.5
45.5,20.7
45.5,20.8
45.5,20.9
45.5,21
45.5,21.3
45.5,21.4
45.5,21.6
45.5,21.7
45.5,22.3
46,22.5
46,23.8
46,24.2
46.5,20.7
46.5,22.7
47,20
47,20.1
47,20.2
48,21
48,22.4
48.5,19.7
48.5,20.5
48.5,20.6
48.5,21.6
48.5,21.8
49,20.2
49,20.3
50.5,19.4
50.5,19.9
50.5,20
50.5,20.2
50.5,20.3
50.5,24.2
50.5,24.2
51,21.6
51,22.3
51,22.5
51,24.7
51,24.7
51.5,17.5
52,19.9
52,20.9
52.5,24.1
52.5,24.1
52.5,24.1
54,20.3
54,22.2
54,22.3
55.5,17.9
56.5,17.7
56.5,17.9
56.5,19.1
56.5,19.3
56.5,19.7
56.5,19.8
56.5,19.9
56.5,21.2
57.5,22.3
59.5,19.9
60,18.2
60,20
61,18.1
61,22.7
61,23.3
62,18.2
62,18.7
62,18.9
62,19
62,19.1
62,19.3
62,19.6
62,19.7
62,23.9
62,23.9
62.5,20.7
62.5,20.9
63,23.6
63,23.6
63,24.2
63,24.2
63,24.2
63.5,19.7
64,18
64.5,23.9
64.5,23.9
64.5,23.9
65,19.9
65,21
66,18.8
66,19
66,19.2
66,20.8
66.5,18
66.5,18.1
66.5,18.3
66.5,20.4
66.5,20.4
66.5,20.4
68.5,18.5
68.5,18.6
68.5,20.5
69,18.1
69,18.3
69,18.9
69.5,20.7
69.5,20.7
70,14.5
70,14.5
70,18.5
70,19.8
70.5,18.2
70.5,18.3
70.5,18.9
71.5,17.3
71.5,18.7
71.5,21.6
72,18.5
72.5,16.4
73,19
73.5,19.3
73.5,19.7
74,17.3
75,18.3
76,18.8
77,17.4
77.5,21
77.5,21
78,17.5
78,17.6
78,17.7
78,17.8
78,18
78,18.5
79.5,17.7
80,19.5
80,21.9
80,21.9
80,21.9
80.5,16
80.5,16.8
80.5,17.3
81,20
81,18
81.5,15.8
81.5,22.7
81.5,22.7
82,16.8
82,17.4
82,22.4
82.5,18.2
85,17.9
85,18.4
85.5,17.3
85.5,17.7
86.5,18
86.5,18.2
89.5,17.4
89.5,17.5
90,15
90,22.9
90,22.9
90,22.9
90.5,17.1
92,15
92,15.8
92,17.4
92,17.5
96,16.1
98,16.2
98,16
100.5,15
106,15.7
107,15.5
108.5,15.9
112,17.9
116,16.1
118.5,15.2
118.5,15.1
121.5,16.4
122.5,15.6
