% Data Sets for 'Regression Models for Time Series Analysis' by
% B. Kedem and K. Fokianos, Wiley 2002. Submitted by Kostas
% Fokianos (fokianos@ucy.ac.cy) [8/Nov/02] (176k)
%
% Note: - attribute names were generated manually
%       - information about data taken from here:
%         http://lib.stat.cmu.edu/datasets/
%
% File: ../data/rmftsa/passengers1
%
% Montly data  in thousands, of international airline passengers,
% January 1949--Becember 1960. 
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation rmftsa-passengers1

@attribute month INTEGER
@attribute dummy {0}
@attribute passengers INTEGER

@data
1,0,112
2,0,118
3,0,132
4,0,129
5,0,121
6,0,135
7,0,148
8,0,148
9,0,136
10,0,119
11,0,104
12,0,118
13,0,115
14,0,126
15,0,141
16,0,135
17,0,125
18,0,149
19,0,170
20,0,170
21,0,158
22,0,133
23,0,114
24,0,140
25,0,145
26,0,150
27,0,178
28,0,163
29,0,172
30,0,178
31,0,199
32,0,199
33,0,184
34,0,162
35,0,146
36,0,166
37,0,171
38,0,180
39,0,193
40,0,181
41,0,183
42,0,218
43,0,230
44,0,242
45,0,209
46,0,191
47,0,172
48,0,194
49,0,196
50,0,196
51,0,236
52,0,235
53,0,229
54,0,243
55,0,264
56,0,272
57,0,237
58,0,211
59,0,180
60,0,201
61,0,204
62,0,188
63,0,235
64,0,227
65,0,234
66,0,264
67,0,302
68,0,293
69,0,259
70,0,229
71,0,203
72,0,229
73,0,242
74,0,233
75,0,267
76,0,269
77,0,270
78,0,315
79,0,364
80,0,347
81,0,312
82,0,274
83,0,237
84,0,278
85,0,284
86,0,277
87,0,317
88,0,313
89,0,318
90,0,374
91,0,413
92,0,405
93,0,355
94,0,306
95,0,271
96,0,306
97,0,315
98,0,301
99,0,356
100,0,348
101,0,355
102,0,422
103,0,465
104,0,467
105,0,404
106,0,347
107,0,305
108,0,336
109,0,340
110,0,318
111,0,362
112,0,348
113,0,363
114,0,435
115,0,491
116,0,505
117,0,404
118,0,359
119,0,310
120,0,337
121,0,360
122,0,342
123,0,406
124,0,396
125,0,420
126,0,472
127,0,548
128,0,559
129,0,463
130,0,407
131,0,362
132,0,405
133,0,417
134,0,391
135,0,419
136,0,461
137,0,472
138,0,535
139,0,622
140,0,606
141,0,508
142,0,461
143,0,390
144,0,432
