% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/ex0329.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-ex0329

@attribute iron REAL
@attribute code {1,2}

@data
0.71,1
1.66,1
2.01,1
2.16,1
2.42,1
2.42,1
2.56,1
2.60,1
3.31,1
3.64,1
3.74,1
3.74,1
4.39,1
4.50,1
5.07,1
5.26,1
8.15,1
8.24,1
2.20,2
2.69,2
3.54,2
3.75,2
3.83,2
4.08,2
4.27,2
4.53,2
5.32,2
6.18,2
6.22,2
6.33,2
6.97,2
6.97,2
7.52,2
8.36,2
11.65,2
12.45,2
