% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/case2201.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-case2201

@attribute age INTEGER
@attribute matings {0,1,2,3,4,5,6,7,9}

@data
27,0
28,1
28,1
28,1
28,3
29,0
29,0
29,0
29,2
29,2
29,2
30,1
32,2
33,4
33,3
33,3
33,3
33,2
34,1
34,1
34,2
34,3
36,5
36,6
37,1
37,1
37,6
38,2
39,1
41,3
42,4
43,0
43,2
43,3
43,4
43,9
44,3
45,5
47,7
48,2
52,9
