%                      File README
%                      -----------
% 
% chscase  A collection of the data sets used in the book 
%          "A Casebook for a First Course in Statistics and Data Analysis,"
%          by Samprit Chatterjee, Mark S. Handcock and Jeffrey S. Simonoff,
%          John Wiley and Sons, New York, 1995. Submitted by 
%          Samprit Chatterjee (schatterjee@stern.nyu.edu),
%          Mark Handcock (mhandcock@stern.nyu.edu) and 
%          Jeff Simonoff (jsimonoff@stern.nyu.edu)
% 
% This submission consists of 38 files, plus this README file.
% Each file represents a data set analyzed in the book. The names
% of the files correspond to the names used in the book. The data
% files are written in plain ASCII (character) text. Missing
% values are represented by "M" in all data files.
% 
% More information about the data sets and the book can be
% obtained via gopher at the address
%                      swis.stern.nyu.edu
% 
% The information is filed under
%   ---> Academic Departments & Research Centers
%    ---> Statistics and Operations Research
%     ---> Publications
%      ---> A Casebook for a First Course in Statistics and Data Analysis
%       ---> Welcome!
% 
% It can also be accessed from the World Wide Web (WWW) using a
% WWW browser (e.g., netscape) starting from the URL address
%           http://www.stern.nyu.edu/SOR/Casebook
% 
% 
% 
% NOTICE: These datasets may be used freely for scientific,
% educational and/or non-commercial purposes, provided suitable
% acknowledgment is given (by citing the Chatterjee, Handcock and
% Simonoff reference above).
%
% File: geyser2.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation chscase-geyser2

@attribute col_1 {0.8,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.8,2.9,3.3,3.4,3.5,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0,5.1,5.3,5.5,Long,Medium,Short}
@attribute col_2 INTEGER

@data
4.0,71
2.2,57
Long,80
Long,75
Long,55
Short,,60
4.4,86
4.3,77
2.0,56
4.8,81
1.8,50
5.5,89
1.6,54
4.9,90
4.4,73
1.8,60
4.7,83
Short,,65
4.8,82
4.2,84
1.9,54
5.0,85
Short,,58
Long,79
Short,,57
Long,88
2.8,68
4.5,76
4.1,78
3.7,74
3.5,85
4.5,75
2.2,65
4.9,76
2.6,58
4.2,91
2.2,50
4.8,87
1.8,48
4.6,93
2.3,54
4.1,86
Short,,53
Long,78
Short,,52
Long,83
1.9,60
4.3,87
2.1,49
4.5,80
2.2,60
4.0,92
1.8,43
4.3,89
2.2,60
4.5,84
3.9,69
3.3,74
3.7,71
4.0,108
1.9,50
5.3,77
Short,,57
Long,80
Short,,61
Long,82
Short,,48
Long,81
3.5,73
2.2,62
4.5,79
2.0,54
4.2,80
4.2,73
4.3,81
1.9,62
4.7,81
3.8,71
4.0,79
4.2,81
4.7,74
1.8,59
Long,81
Medium,66
Long,87
Short,,53
4.5,80
2.1,50
4.3,87
1.9,51
4.7,82
1.7,58
4.4,81
1.8,49
4.6,92
1.9,50
4.5,88
1.6,62
5.0,93
1.8,56
5.1,89
1.6,51
4.3,79
Short,,58
Long,82
Short,,52
4.5,88
2.0,52
Long,78
2.9,69
4.7,75
3.9,77
2.0,53
4.1,80
1.8,55
4.7,87
1.8,53
4.7,85
2.1,61
4.8,93
1.8,54
4.1,76
4.7,80
Long,81
Short,,59
Long,86
Long,78
4.2,71
4.1,77
3.9,76
3.8,94
4.4,75
2.5,50
4.2,83
3.8,82
4.3,72
3.9,77
4.7,75
1.7,65
5.0,79
4.3,72
4.6,78
Long,77
Long,79
Long,75
Long,78
2.0,64
4.6,80
0.8,49
4.9,88
1.7,54
4.6,85
1.7,51
4.8,96
1.8,50
4.5,80
1.9,78
4.5,81
4.5,72
4.0,75
4.8,78
Long,87
Long,69
Short,,55
Long,83
1.9,49
4.6,82
2.0,57
3.7,84
2.9,57
4.8,84
3.4,73
4.4,78
1.8,57
4.4,79
2.5,57
4.5,90
2.1,62
4.3,87
4.3,78
1.8,52
4.9,98
1.8,48
Long,78
Long,79
Long,65
3.9,84
1.9,50
4.7,83
2.0,60
4.5,80
1.9,50
4.2,88
1.9,50
4.3,84
3.3,74
4.2,76
1.9,65
5.0,89
1.9,49
4.0,88
2.0,51
4.8,78
Long,85
Short,,65
Long,75
Long,77
2.4,69
4.4,92
4.2,68
4.4,87
2.0,61
4.5,81
1.8,55
4.5,93
1.6,53
4.7,84
2.6,70
3.7,73
4.2,93
1.9,50
4.4,87
Long,77
Long,74
Long,72
4.2,82
4.0,74
4.1,80
1.9,49
4.5,91
2.0,53
4.2,86
1.7,49
4.5,79
4.3,89
4.0,87
4.4,76
2.0,59
4.5,80
4.3,89
1.9,45
4.4,93
Medium,72
Long,71
Short,,54
Long,79
3.3,74
1.8,65
4.6,78
1.8,57
4.6,87
4.6,72
4.5,84
1.9,47
5.0,84
2.0,57
4.3,87
4.2,68
4.5,86
4.4,75
4.6,73
Short,,53
Long,82
Long,93
3.9,77
Short,,54
4.5,96
1.8,48
4.0,89
2.8,63
4.7,84
4.0,76
2.0,62
5.0,83
1.9,50
4.8,85
Long,78
Long,78
Long,81
Long,78
Long,76
Long,74
Long,81
Short,,66
Long,84
1.9,48
4.3,93
1.7,47
4.8,87
2.0,51
4.7,78
1.9,54
4.4,87
2.1,52
4.1,85
2.1,58
Long,88
Long,79
