% Data Sets for 'Regression Models for Time Series Analysis' by
% B. Kedem and K. Fokianos, Wiley 2002. Submitted by Kostas
% Fokianos (fokianos@ucy.ac.cy) [8/Nov/02] (176k)
%
% Note: - attribute names were generated manually
%       - information about data taken from here:
%         http://lib.stat.cmu.edu/datasets/
%
% File: ../data/rmftsa/ladata
%
% LA Pollution-Mortality Study: 
% 1970-1979, 508 observations,  6-day spacing. Weekly FILTERED data.
% The data were lowpass filtered, filtering out frequencies above 0.1
% cycles per day.
% Mortality:          (1) Mrt: Total Mortality
%                     (2) Rsp: Respiratory Mortality
%                     (3) Crd: Cardiovascular Mortality
% Weather:            (4) Tmp: Temperature
%                     (5) Hum: Relative Humidity
% Pollution:          (6) Crb: Carbon Monoxide
%                     (7) Slf: Sulfur Dioxideglm.LAshumway 
%                     (8) Nit: Nitrogen Dioxide
%                     (9) Hdr: Hydrocarbons
%                    (10) Ozn: Ozone
%                    (11) Par: Particulates
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation rmftsa-ladata

@attribute Total_Mortality REAL
@attribute Respiratory_Mortality REAL
@attribute Cardiovascular_Mortality REAL
@attribute Temperature REAL
@attribute Relative_Humidity REAL
@attribute Carbon_Monoxide REAL
@attribute Sulfur_Dioxideglm.LAshumway REAL
@attribute Nitrogen_Dioxide REAL
@attribute Hydrocarbons REAL
@attribute Ozone REAL
@attribute Particulates REAL

@data
183.63,11.90,97.85,72.38,29.20,11.51,3.37,9.64,45.79,6.69,72.72
191.05,10.75,104.64,67.19,67.51,8.92,2.59,10.05,43.90,6.83,49.60
180.09,9.33,94.36,62.94,61.42,9.48,3.29,7.80,32.18,4.98,55.68
184.67,9.54,98.05,72.49,58.99,10.28,3.04,13.39,40.43,9.25,55.16
173.60,8.27,95.85,74.25,34.80,10.57,3.39,11.90,48.53,9.15,66.02
183.73,7.55,95.98,67.88,66.78,7.99,2.57,10.11,48.61,8.80,44.01
171.79,9.12,88.63,74.20,35.16,10.51,2.35,9.49,38.76,7.42,47.83
177.95,7.76,90.85,74.88,55.86,9.84,3.38,10.72,45.19,10.68,43.60
180.01,7.47,92.06,64.17,52.68,6.61,1.50,5.77,31.65,5.85,24.99
163.71,7.44,88.75,67.09,50.94,7.90,2.56,7.43,40.20,7.63,40.41
179.59,8.91,94.60,78.29,32.73,10.74,3.04,12.18,48.69,8.51,51.93
174.43,9.73,92.86,68.07,55.73,5.89,2.64,7.39,32.93,7.86,32.26
187.41,9.86,98.02,86.70,37.86,12.70,5.14,20.70,72.22,15.69,73.65
163.37,8.04,87.64,69.43,63.45,4.82,2.87,7.86,37.39,9.52,30.15
182.37,10.73,97.40,75.22,62.61,7.10,3.54,10.01,41.79,11.32,41.10
156.69,6.73,83.24,77.29,65.41,6.29,2.67,10.12,34.38,13.42,41.53
174.64,7.77,86.60,69.96,63.21,5.03,1.55,4.78,32.71,4.64,29.46
174.84,8.23,90.69,79.35,63.68,7.81,2.93,11.06,42.56,14.55,51.13
165.49,10.31,82.86,82.94,52.80,7.97,3.64,13.27,52.34,12.72,41.37
186.94,10.28,99.06,89.79,50.70,9.53,5.91,18.28,63.80,19.94,59.49
164.50,9.08,81.00,80.19,65.85,7.55,3.69,12.51,37.49,12.46,48.25
174.94,5.46,93.18,87.58,55.12,8.61,4.30,12.39,61.25,16.88,51.73
164.87,5.35,86.86,81.76,62.04,6.73,3.97,10.50,42.74,13.82,44.21
169.54,5.64,89.35,86.79,48.99,9.78,4.98,13.77,59.40,17.95,59.59
