% 17x17x2x2 tables of counts in GLIM-ready format used for the analyses
% in Biblarz, Timothy J., and Adrian E. Raftery. 1993. "The Effects of
% Family Disruption on Social Mobility." American Sociological Review
% (In press). For further details of the data, see this reference.
%  Column 1 is father's occupation, coded as follows:
%    17. Professional, Self-Employed
%    16. Professional-Salaried
%    15. Manager
%    14. Salesman-Nonretail
%    13. Proprietor
%    12. Clerk
%    11. Salesman-Retail
%    10. Craftsman-Manufacturing
%     9. Craftsmen-Other
%     8. Craftsman-Construction
%     7. Service Worker
%     6. Operative-Nonmanufacturing
%     5. Operative-Manufacturing
%     4. Laborer-Manufacturing
%     3. Laborer-Nonmanufacturing
%     2. Farmer/Farm Manager
%     1. Farm Laborer
%  Column 2 is son's occupation, coded in the same way as father's.
%  Column 3 is family structure, coded 1=intact family background and
%     2=nonintact family background.
%  Column 4 is race, coded 1=white and 2=black.
%  Column 5 is counts for son's first occupation.
%  Column 6 is counts for son's current occupation.
% The counts have been weighted to take account of the survey 
% design, which is why they are not integers. 
% ************************************************************
% ***********************************************************
% This file was constructed from publicly available data collected
% by David Featherman and Robert Hauser in 1973: the "Occupational
% Change in a Generation II" (OCG II) Survey. Permission is hereby given to
% use the above data for non-commercial scholarly and teaching purposes.
% If these data are used in a published article or book, 
% the authors, the original data (in the form given in
% Biblarz and Raftery (1993), cited above), and StatLib should
% all be acknowledged.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation socmob

@attribute fathers_occupation {Clerk,Craftsman-Construction,Craftsman-Manufacturing,Craftsmen-Other,Farm_Laborer,Farmer/Farm_Manager,Laborer-Manufacturing,Laborer-Nonmanufacturing,Manager,Operative-Manufacturing,Operative-Nonmanufacturing,Professional-Salaried,Professional_Self-Employed,Proprietor,Salesman-Nonretail,Salesman-Retail,Service_Worker}
@attribute sons_occupation {Clerk,Craftsman-Construction,Craftsman-Manufacturing,Craftsmen-Other,Farm_Laborer,Farmer/Farm_Manager,Laborer-Manufacturing,Laborer-Nonmanufacturing,Manager,Operative-Manufacturing,Operative-Nonmanufacturing,Professional-Salaried,Professional_Self-Employed,Proprietor,Salesman-Nonretail,Salesman-Retail,Service_Worker}
@attribute family_structure {intact,nonintact}
@attribute race {black,white}
@attribute counts_for_sons_first_occupation REAL
@attribute counts_for_sons_current_occupation REAL

@data
Professional_Self-Employed,Professional_Self-Employed,intact,white,22.9,31.3
Professional_Self-Employed,Professional-Salaried,intact,white,96.2,86.6
Professional_Self-Employed,Manager,intact,white,18.1,47.2
Professional_Self-Employed,Salesman-Nonretail,intact,white,8.9,15.4
Professional_Self-Employed,Proprietor,intact,white,2.8,8.1
Professional_Self-Employed,Clerk,intact,white,22.4,11.3
Professional_Self-Employed,Salesman-Retail,intact,white,5.7,5.3
Professional_Self-Employed,Craftsman-Manufacturing,intact,white,7.6,6.1
Professional_Self-Employed,Craftsmen-Other,intact,white,6.6,12.1
Professional_Self-Employed,Craftsman-Construction,intact,white,6.8,7.5
Professional_Self-Employed,Service_Worker,intact,white,3.9,8.3
Professional_Self-Employed,Operative-Nonmanufacturing,intact,white,9.6,8.1
Professional_Self-Employed,Operative-Manufacturing,intact,white,8,2.3
Professional_Self-Employed,Laborer-Manufacturing,intact,white,2.4,2.6
Professional_Self-Employed,Laborer-Nonmanufacturing,intact,white,5.9,3.6
Professional_Self-Employed,Farmer/Farm_Manager,intact,white,1.4,1.4
Professional_Self-Employed,Farm_Laborer,intact,white,0,0.8
Professional-Salaried,Professional_Self-Employed,intact,white,7.3,35.5
Professional-Salaried,Professional-Salaried,intact,white,338.6,344.1
Professional-Salaried,Manager,intact,white,54.5,149.7
Professional-Salaried,Salesman-Nonretail,intact,white,36.2,42
Professional-Salaried,Proprietor,intact,white,8.4,12
Professional-Salaried,Clerk,intact,white,96.6,70.5
Professional-Salaried,Salesman-Retail,intact,white,33.1,28.6
Professional-Salaried,Craftsman-Manufacturing,intact,white,26.8,46.8
Professional-Salaried,Craftsmen-Other,intact,white,54.7,65.5
Professional-Salaried,Craftsman-Construction,intact,white,13.1,31
Professional-Salaried,Service_Worker,intact,white,24.8,49.7
Professional-Salaried,Operative-Nonmanufacturing,intact,white,48.4,45.1
Professional-Salaried,Operative-Manufacturing,intact,white,62.3,50.7
Professional-Salaried,Laborer-Manufacturing,intact,white,15.2,8.2
Professional-Salaried,Laborer-Nonmanufacturing,intact,white,23.4,20.7
Professional-Salaried,Farmer/Farm_Manager,intact,white,3.3,7.7
Professional-Salaried,Farm_Laborer,intact,white,11.1,2.4
Manager,Professional_Self-Employed,intact,white,12.8,41.1
Manager,Professional-Salaried,intact,white,293.2,275
Manager,Manager,intact,white,112.8,290.9
