% This dataset is synthetic.  It was generated by David Coleman
% at RCA Laboratories in Princeton, N.J.  For convenience, we will
% refer to it as the POLLEN DATA.  The first three variables are the
% lengths of geometric features observed sampled pollen grains - in the
% x, y, and z dimensions: a "ridge" along x, a "nub" in the y
% direction, and a "crack" in along the z dimension.  The fourth
% variable is pollen grain weight, and the fifth is density.
% 
% There are 3848 observations, in random order (for people whose
% software packages cannot handle this much data, it is recommended
% that the data be sampled).  The dataset is broken up into eight 
% pieces, POLLEN1.DAT - POLLEN8.DAT, each with 481 observations.  
% We will call the variables:
% 
% 1. RIDGE
% 2. NUB
% 3. CRACK
% 4. WEIGHT
% 5. DENSITY
% 
% 6. OBSERVATION NUMBER (for convenience)
% 
% The data analyst is advised that there is more than one "feature" to
% these data.  Each feature can be observed through various graphical
% techniques, but analytic methods, as well, can help "crack" the
% dataset.
%
% Additional Info:
%
%    I no longer have the description handed out during the JSM, but can
% tell you how I generated the data, in minitab.
% 
% 1. Part A was generated: 5000 (I think) 5-variable, uncorrelated, i.i.d.
% Gaussian observations.
% 
% 2. To get part B, I duplicated part A, then reversed the sign on the
% observations for 3 of the 5 variables.
% 
% 3. Part B was appended to Part A.
% 
% 4. The order of the observations was randomized.
% 
% 5. While waiting for my tardy car-pool companion, I took a piece of
% graph paper, and figured out a dot-matrix representation of the word,
% "EUREKA."  I then added these observations to the "center" of the
% datatset.
% 
% 6. The data were scaled, by variable (something like 1,3,5,7,11).
% 
% 7. The data were rotated, then translated.
% 
% 8. A few points in space within the datacloud were chosen as ellipsoid
% centers, then for each center, all observations within a (scaled and
% rotated) radius were identified, and eliminated - to form ellipsoidal
% voids.
% 
% 9. The variables were given entirely ficticious names.
% 
% FYI, only the folks at Bell Labs, Murray Hill, found everything,
% including the voids.
% 
% Hope this is helpful!
% 
% References:
% 
% Becker, R.A., Denby, L., McGill, R., and Wilks,
% A. (1986). Datacryptanalysis: A Case Study.
% Proceedings of the Section on Statistical Graphics, 92-97.
% 
% Slomka, M. (1986). The Analysis of a Synthetic Data Set.
% Proceedings of the Section on Statistical Graphics, 113-116.
% 
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation pollen

@attribute RIDGE REAL
@attribute NUB REAL
@attribute CRACK REAL
@attribute WEIGHT REAL
@attribute DENSITY REAL
@attribute OBSERVATION_NUMBER INTEGER

@data
-2.3482,3.6314,5.0289,10.8721,-1.3852,1
-1.1520,1.4805,3.2375,-0.5939,2.1235,2
-2.5245,-6.8633,-2.8037,8.4631,-3.4126,3
5.7523,-6.5091,-5.1510,4.3480,-10.3261,4
8.7494,-3.8978,-1.3834,-14.8776,-2.4153,5
10.4303,-3.1628,12.7885,-14.8519,-6.4942,6
-3.6049,4.6081,6.5540,5.9773,4.0404,7
-5.6383,-0.8158,-3.8120,1.1674,7.0468,8
9.5434,4.0865,2.7542,-18.9002,-0.0672,9
-9.0292,2.9723,3.6759,13.8820,4.2106,10
3.1676,-3.0184,-2.6619,-0.8834,-2.7773,11
-4.6072,4.2718,-6.0623,14.1450,-2.8238,12
-9.0119,-2.5547,4.5717,15.3065,3.7617,13
20.6333,2.0396,-7.0409,-30.5734,-5.3491,14
3.8890,0.3103,6.6662,-3.5741,-1.4561,15
0.5247,-2.9111,-1.8946,1.3397,-3.3831,16
2.0099,-1.4072,10.0662,5.1068,-5.8305,17
-4.8432,8.3045,-9.4818,1.0870,6.3866,18
-0.4911,5.6020,5.8316,-1.8817,2.6869,19
6.8007,1.9975,-6.8794,-16.5970,1.2490,20
-2.4424,3.6967,-5.8847,-0.7001,2.4263,21
14.4619,3.1362,-17.2085,-19.8325,-1.8851,22
8.7413,1.5281,-0.4408,-15.0351,-2.3780,23
4.7543,0.0577,7.6105,-4.2005,-1.8538,24
1.2480,11.9361,5.6195,-10.2146,7.7365,25
8.7653,1.2398,-4.3206,-14.4777,1.2280,26
-11.8489,-5.7576,-3.7836,14.8814,5.5255,27
-7.2062,-3.8292,7.2607,11.7013,0.9580,28
6.2312,-9.3210,0.3461,-3.7903,-5.7165,29
9.1580,-3.7034,0.6267,-10.8317,-4.8256,30
2.6893,-4.1338,-1.3014,-3.4211,0.2000,31
10.0658,6.6234,-8.6165,-15.8068,-1.7077,32
-1.7084,0.6567,-9.5198,-2.6968,1.9967,33
-1.0802,-0.7468,-8.2865,2.8470,-1.4094,34
-1.3009,-7.5823,-15.0406,0.2264,1.9387,35
-5.3000,-1.4487,9.3702,2.6363,1.9028,36
-5.2823,1.2701,4.5710,9.9067,1.1898,37
9.7174,-6.3657,-11.5415,-20.0465,-1.1950,38
2.8455,2.2484,12.1836,-4.5510,-0.7326,39
4.9671,13.7808,9.3359,-6.6562,1.4067,40
5.5170,4.4894,5.8973,-8.4345,-1.3754,41
-9.0296,4.5611,9.8368,16.1483,1.7657,42
4.1365,7.3481,11.4778,-9.5309,-2.1709,43
1.0009,3.4992,-11.3570,-1.0218,0.7339,44
-8.7272,-1.4183,10.6263,16.1082,0.5914,45
21.4066,2.4339,-7.0329,-34.0352,-6.9337,46
-5.6215,-2.2886,-5.4114,-1.7358,4.4375,47
-3.4745,-1.4792,-8.0158,3.8516,0.1638,48
-0.7744,1.9099,9.8779,-3.1219,3.4222,49
-0.1216,0.6505,-0.4430,1.0233,-0.6967,50
-16.0161,-2.8065,2.6818,24.7883,6.0836,51
10.5389,-8.2283,12.2505,-15.2598,-4.8104,52
0.2195,3.8281,-9.1121,-2.3182,2.6481,53
12.7217,-1.1655,-7.7344,-28.5182,3.3110,54
1.4815,1.1397,-5.7812,3.9385,-3.7185,55
-0.0682,0.8211,-9.1250,3.4476,-0.3285,56
9.0331,-6.0411,-3.9471,-18.7740,-0.2651,57
5.3055,-0.8624,7.9543,-5.0837,-2.8409,58
-9.5009,-5.2284,11.4543,14.2462,0.5030,59
2.6741,1.0590,3.2389,-4.1363,-0.1693,60
-10.0123,-8.0957,-0.9949,17.2600,1.3537,61
4.3691,-7.3707,-8.3597,-10.1575,-3.0750,62
-10.1716,-2.4119,0.3346,15.5699,3.6029,63
-3.2580,-5.1121,-15.2072,-2.9152,3.7838,64
4.2181,-1.9740,5.8265,-6.2908,-1.2873,65
-4.0808,2.0178,-9.8817,-1.6986,4.9218,66
-8.6400,-2.0227,5.2316,15.0862,0.2510,67
10.5636,0.1991,-13.4976,-23.4963,0.8717,68
-6.6808,-4.7029,-0.5613,10.3516,-0.6177,69
0.5323,9.2352,-2.4704,-2.2766,1.2695,70
-0.0347,-7.9538,4.8382,0.2540,1.2054,71
5.8613,5.0794,0.1898,-1.8943,-3.3617,72
4.6748,-3.2723,3.8827,-6.7440,-1.3105,73
-10.7319,3.9704,4.8669,14.9514,5.1070,74
11.2446,-3.7916,-5.7843,-23.0499,-1.7068,75
-3.6473,-3.1078,4.6495,8.7502,-1.3280,76
-0.1305,-3.6863,-1.7466,6.6592,-1.8226,77
1.9694,7.0939,8.1305,-4.2586,2.1575,78
5.5513,6.5610,-0.4740,-6.7277,-1.0626,79
9.6421,6.3201,-1.8123,-12.5556,0.8960,80
-7.3720,-5.2017,-0.9637,11.5778,-0.4043,81
-3.2901,-6.0523,0.2103,4.0228,0.4260,82
4.4276,-10.0467,12.8714,-3.9748,-5.6353,83
-2.1656,-3.7392,-2.7377,3.4815,-2.0299,84
-8.4973,-2.0624,-15.9703,9.2642,1.7422,85
5.4033,2.8539,6.7623,-5.8196,-2.4199,86
7.3309,3.3823,4.6496,-7.7050,-2.5911,87
1.0244,6.9907,3.6025,2.0291,-0.1025,88
-0.7617,-10.1902,-3.7490,1.2933,0.0112,89
-2.5069,-11.9149,8.0757,7.4143,-4.4379,90
-2.3577,-8.9635,-1.6002,-1.1046,-0.2894,91
-5.9772,3.4566,-2.1427,0.0056,3.1342,92
0.2097,0.5795,-0.4390,1.1826,-0.3653,93
-5.7256,-4.1298,6.5397,7.3792,1.9581,94
0.8712,8.3401,4.1795,-7.2203,3.1946,95
3.7330,6.7360,0.5207,-7.0747,2.4392,96
8.3684,5.9453,12.8971,-12.8062,-0.0398,97
12.5461,-2.4438,4.9804,-13.2286,-5.6034,98
-0.3302,0.1907,-0.2263,0.6885,0.3260,99
5.6671,0.9057,2.3296,-10.6863,-2.0145,100
-1.3391,-8.3103,10.7935,6.3582,-4.7186,101
0.9769,5.7080,1.1327,0.9923,-0.2139,102
1.0954,6.1092,-21.9857,-7.3484,4.6522,103
-9.8401,1.5661,15.5375,18.6947,3.1464,104
6.2773,-4.8568,-10.5838,-8.2595,-2.3151,105
-1.2831,-1.7085,9.5483,6.1735,-1.0160,106
9.3625,8.4878,10.2402,-8.3531,-4.5796,107
-5.3853,4.1131,1.9388,8.2572,-0.2081,108
-19.4687,-3.1471,-10.9226,22.5042,7.4786,109
-2.1201,0.6666,-1.5021,1.7402,2.5931,110
