% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/ex0211.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-ex0211

@attribute lifetime INTEGER
@attribute code {1,2}

@data
18,1
36,1
50,1
52,1
86,1
87,1
89,1
91,1
102,1
108,1
114,1
114,1
115,1
118,1
119,1
120,1
149,1
160,1
165,1
166,1
167,1
167,1
173,1
178,1
189,1
209,1
212,1
216,1
273,1
278,1
279,1
292,1
341,1
355,1
367,1
380,1
382,1
421,1
421,1
432,1
446,1
455,1
463,1
474,1
505,1
545,1
546,1
569,1
576,1
590,1
603,1
607,1
608,1
621,1
634,1
637,1
638,1
641,1
650,1
663,1
685,1
688,1
725,1
735,1
76,2
93,2
97,2
107,2
108,2
113,2
114,2
119,2
136,2
138,2
139,2
152,2
154,2
154,2
160,2
164,2
164,2
166,2
168,2
178,2
179,2
181,2
181,2
183,2
185,2
194,2
198,2
212,2
213,2
216,2
220,2
225,2
225,2
244,2
253,2
256,2
259,2
265,2
268,2
270,2
283,2
289,2
291,2
311,2
315,2
326,2
326,2
361,2
373,2
373,2
376,2
397,2
398,2
406,2
459,2
466,2
592,2
598,2
