% The data are a subsample of 500 observations from a data set
% that originate in a study where air pollution at a road is
% related to traffic volume and meteorological variables,
% collected by the Norwegian Public Roads Administration. The
% response variable (column 1) consist of hourly values of the
% logarithm of the concentration of PM10 (particles), measured at
% Alnabru in Oslo, Norway, between October 2001 and August 2003.
% The predictor variables (columns 2 to 8) are the logarithm of
% the number of cars per hour, temperature $2$ meter above ground
% (degree C), wind speed (meters/second), the temperature
% difference between $25$ and $2$ meters above ground (degree C),
% wind direction (degrees between 0 and 360), hour of day and day
% number from October 1. 2001. Submitted by Magne Aldrin
% (magne.aldrin@nr.no). [28/Jul/04] (19kbytes)
%
% Note: description of data is from this website
%       http://lib.stat.cmu.edu/datasets/
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation pm10

@attribute pm10_concentration REAL
@attribute cars_per_hour REAL
@attribute temperature_at_2m REAL
@attribute wind_speed REAL
@attribute temperature_diff_2m_25m REAL
@attribute wind_direction REAL
@attribute hour_of_day INTEGER
@attribute day INTEGER

@data
3.66356,7.74414,-4.4,4.2,0,18,19,116
3.04452,8.03398,-5.7,4.8,-0.3,69.1,9,506
3.71357,4.70048,-13.5,4.3,0.2,80,3,95
2.94444,7.5251,1.4,3,0.1,177,22,161
4.06044,7.7626,4.1,5.6,1.1,287,7,80
3.68888,7.88683,5.8,2.3,-0.1,200,9,33
3.3322,7.81521,2.7,1.9,0.4,228,7,129
3.3673,7.77779,7.1,8.9,0.2,220,15,155
2.07944,6.89163,4.1,2,0.1,183,9,132
1.94591,7.6774,1.1,5.2,0.1,43.1,10,480
3.3322,5.71373,-9,3.4,0,80,6,98
3.21888,8.33471,1.6,4.4,-0.3,78.1,16,558
1.09861,4.65396,-0.4,5.7,0.8,267,3,121
5.3845,7.38895,-4.8,6,0,81,20,122
3.93183,7.81763,-0.9,1.4,-0.3,236,15,51
3.3673,4.96981,-0.5,0.6,1.7,341.1,4,552
2.83321,7.80384,-1,1.8,0,16,7,150
3.04452,7.62168,-2.3,5.2,-0.1,66.1,12,428
2.99573,5.21494,5.8,2.6,-0.2,68.8,3,582
4.21951,7.64204,5.1,2.2,1.1,199,18,538
3.04452,7.77149,10.8,2.4,-1.5,329.8,13,579
3.7612,8.31385,12.2,4,-2.8,230.4,17,572
3.58352,7.63964,-2.8,2.1,-1.6,210.2,11,512
2.48491,7.05531,11.2,3.3,2.3,302.8,23,604
2.48491,7.38275,13.6,0.6,-0.8,159.8,11,602
3.3322,7.56786,-12.3,3.7,-0.2,70,12,460
3.13549,7.92226,4.2,1.4,0.2,161,7,127
2.07944,7.38771,-2.8,4.5,0.1,53.3,21,417
3.68888,7.4793,3.4,7.2,0.5,209.1,12,477
2.99573,3.97029,-11.7,2.7,1.7,81,4,87
3.98898,8.05102,-2.5,3.2,0.1,83,9,51
3.04452,6.67834,3.9,4.8,-0.6,66.8,8,573
3.55535,7.34601,3,1.4,1,200,21,177
1.79176,7.54062,0,6.1,-0.2,207.5,19,489
3.04452,4.82028,-2.6,2.1,0.7,72.8,4,530
2.56495,7.80057,1,2.2,0,99,7,65
4.36945,7.41878,-0.2,1.1,3.2,138,22,49
3.46574,7.96032,7.7,4.8,-0.2,66,17,196
4.60517,8.23669,10.7,5.3,-0.9,205,17,192
3.09104,8.30721,9.3,7.3,-0.5,206,17,212
4.15888,8.26333,9.5,5,-0.9,208,17,208
1.79176,7.50329,1.6,4.5,0.1,117,19,62
2.48491,6.49527,-3.4,0.5,1.1,217,6,135
3.21888,7.74414,-1.3,4.2,-0.2,59,15,149
3.73767,6.75577,-3.2,2.6,0.6,70.5,21,398
4.2485,6.51915,-1.8,2.3,1.1,81,23,174
3.8712,4.77068,-0.5,0.5,0.7,358,4,402
4.00733,7.88721,7.6,4,-0.6,180,13,208
2.94444,5.42053,3.4,2.9,0.4,74.7,3,567
3.09104,3.80666,7.4,3.2,-0.1,225,3,205
1.94591,4.8752,-3.5,3.8,-0.1,60.5,3,418
3.52636,8.25088,19.8,4.8,-1.9,260,17,206
3.8712,7.85516,16.3,3.4,-0.1,225.3,20,605
2.99573,8.25427,-7.3,5,0,60,8,506
4.07754,7.36201,-0.6,0.8,1.1,88.3,21,422
3.21888,7.59388,-0.4,4.5,-0.2,64.6,13,430
3.49651,8.35208,17.8,5,-2.5,219.6,16,599
3.2581,4.62497,-1.9,2.2,2.2,268,4,172
2.99573,7.39879,-10,3.8,-0.1,78.4,20,449
2.70805,6.48616,-1.3,2.9,0.7,63.3,24,397
3.09104,6.20456,4.7,1.5,1.1,104.4,1,588
4.06044,7.64348,0.3,1.5,-0.3,172,13,130
3.61092,7.59337,8.8,2.2,0,186,21,577
2.56495,6.43455,-9.3,3.6,0.1,71.2,9,450
1.60944,7.00033,-2.4,5.8,0,61,22,418
5.0876,7.49499,2.9,1.2,2.1,271.1,21,543
2.30259,7.80221,2.5,5,0.1,135,7,128
3.2581,7.55276,13.4,3.9,0.3,216.8,19,606
3.66356,6.82979,-15.5,3.1,0.2,70.3,22,460
3.04452,7.49053,-1.6,2.2,-0.9,211.7,12,501
3.4012,7.59035,0.1,2.6,-0.1,73,11,66
3.04452,5.51745,-2.8,0.5,2.2,5,5,155
3.4012,8.18619,-0.9,1.3,0.6,57,8,67
3.55535,5.95842,-10.3,1.2,2.5,86,24,86
3.97029,7.55276,-4.1,0.7,-0.7,264.8,13,401
4.72739,7.77022,-3.8,4.9,-0.2,68,7,166
4.30407,7.99834,8.2,5.6,-0.6,210,15,212
2.56495,7.15305,-4.8,4.7,-0.1,74.6,23,441
3.78419,7.95997,-4.3,6,0.1,18,13,82
4.95583,6.57508,6.2,1.3,1.1,226,24,200
3.66356,7.88231,3.3,5.8,-0.1,46.9,19,557
5.26786,7.43603,-1,1.8,1.4,89,20,44
3.46574,4.95583,-4,1.7,1,65,2,165
2.07944,5.1299,7.8,1.6,1.7,184.3,4,604
3.3673,7.20638,-5.3,1.8,-0.2,80,13,451
3.29584,7.46107,2.2,3.1,0.1,62.3,13,470
2.19722,7.53209,14.8,4.2,-4.5,227.7,11,588
3.43399,8.13359,-4.8,1.5,0,196,17,100
3.2581,6.91771,12.8,1,0.3,103.5,24,602
2.83321,7.12206,-3.2,4.6,-0.1,62.2,12,427
3.63759,8.2845,0.7,0.8,-0.8,86,8,541
2.70805,7.56528,3.5,6.9,0.2,204.4,15,482
2.99573,7.65112,-6.8,2.2,-0.4,78.8,16,517
4.00733,7.67183,8.3,0.7,-1.3,206.2,14,532
3.43399,6.31173,-19,2.3,0.8,60.9,8,461
0.69315,7.0775,7,4,-0.2,54.3,10,578
3.52636,7.34148,-14.6,1.6,-0.4,228.9,14,457
2.63906,7.96346,3.6,3.2,1.2,268,18,42
1.94591,7.35116,3.5,1.9,0.2,215,20,107
3.71357,7.54115,5.2,0.9,-1,280,11,155
2.83321,6.64249,-8.3,2.6,0.2,60,23,85
3.43399,7.56579,0.6,3.8,-0.4,64.6,12,507
3.29584,8.1806,-0.5,0.7,-0.2,248,15,124
3.17805,7.60738,1,2.4,-0.1,192,13,38
4.81218,7.54327,-8,0.6,0.5,88,13,94
4.63473,8.20985,-3,1.5,2.7,89.6,8,470
3.04452,5.76205,5,3.2,0,58,6,195
3.8712,6.91274,-5.1,0.8,1.4,241,23,137
3.68888,8.19781,0.2,2.4,0.5,80,8,72
4.33073,7.6024,12.9,5.6,-0.8,46,13,188
4.61512,7.54327,2.6,2.6,-1.9,243,11,45
4.43082,7.70661,7.8,8,-1.2,33.7,13,556
3.4012,5.54518,-0.7,2,-0.3,254,1,542
2.48491,7.68432,7.7,1.5,-0.1,89,16,209
3.29584,7.90064,1.5,1.3,0.9,334.7,18,422
2.94444,7.76684,15.8,3.2,-0.2,125.5,17,595
3.3673,7.97797,4.3,5.7,-1,232,9,156
2.89037,7.89767,8.1,6.4,-0.5,199.4,7,577
4.90527,8.24065,11.6,6,-1.3,213,16,193
2.63906,7.07581,2.8,3.2,0.3,223,10,69
3.29584,7.7424,-4.4,4.9,-0.1,23,10,82
3.71357,6.97915,-5.1,3.3,1.4,81,23,98
4.39445,8.27741,2,2.5,-0.3,207.2,16,536
3.82864,8.01268,10,4.8,-0.5,83.2,9,600
2.56495,5.78996,1.1,4,-0.1,79,3,70
3.3322,7.45934,6.1,2.5,0,92,22,210
3.13549,6.22851,0.1,1.9,1.1,208.8,6,538
0.69315,6.45362,-2.6,4.9,0.2,38.3,23,405
4.00733,7.7178,7.9,0.4,0.5,276,19,184
3.2581,7.92696,4.8,9.4,0.6,204,14,474
3.2581,6.56244,2.6,2.8,-0.7,224.1,8,545
4.84419,8.17273,-9.6,1.1,1.3,191,16,94
2.63906,5.1299,-1.5,2.5,-0.1,245.1,4,510
1.38629,4.54329,3.8,5.8,0.7,201.9,3,473
3.2581,5.71043,1.8,2.7,0.9,181.9,1,527
2.30259,8.19257,-0.7,4.1,0.6,252,8,121
3.09104,5.00395,3.6,2.7,1.2,344.7,4,533
2.94444,7.39817,3.9,6.2,0.7,206,20,155
3.4012,6.63988,4.7,3.6,0,59,24,196
2.99573,6.29342,-2.5,4.9,-0.2,84,7,167
3.82864,7.4378,-9.9,4.5,-0.1,55,11,89
2.30259,7.7977,1.7,2,0.3,38,15,63
4.29046,7.33629,-12.8,3.5,0,79,19,97
4.41884,7.51589,4.3,2.1,0.6,32.3,20,555
3.3673,7.70841,2.1,3.1,0,79,10,64
2.30259,4.64439,-2.2,4.9,-0.1,77,2,114
3.98898,7.77402,3.3,1.8,-0.3,220,10,155
4.12713,5.05625,5.6,3.5,-0.1,78,4,184
3.68888,5.86363,-0.6,0.6,1.7,142,1,79
2.30259,5.52943,3.4,4.7,0.8,220.1,5,474
3.29584,7.91754,0.2,2.8,0.4,335,15,53
3.13549,6.74052,-6.4,2.8,-0.1,77,22,84
2.07944,6.53669,8,1.9,-0.2,54.6,8,578
5.25227,7.82844,3.6,0.8,1.5,87.7,19,529
3.78419,7.74846,-13.4,4,0.2,74.1,13,448
3.97029,5.71043,-2.1,1.3,1.8,87.8,1,485
2.99573,5.64897,-8.7,4.3,-0.2,74.5,1,450
2.56495,6.42972,1.6,1.3,1,58,8,76
3.21888,6.51323,-3.9,2.8,0.4,71.3,8,398
