% Short Summary:
% Lists estimates of the percentage of body fat determined by underwater
% weighing and various body circumference measurements for 252 men.
% 
% Classroom use of this data set:
% This data set can be used to illustrate multiple regression techniques.
% Accurate measurement of body fat is inconvenient/costly and it is 
% desirable to have easy methods of estimating body fat that are not
% inconvenient/costly.
% 
% More Details:
% A variety of popular health books suggest that the readers assess their
% health, at least in part, by estimating their percentage of body fat. In
% Bailey (1994), for instance, the reader can estimate body fat from tables
% using their age and various skin-fold measurements obtained by using a
% caliper. Other texts give predictive equations for body fat using body 
% circumference measurements (e.g. abdominal circumference) and/or skin-fold
% measurements. See, for instance, Behnke and Wilmore (1974), pp. 66-67;
% Wilmore (1976), p. 247; or Katch and McArdle (1977), pp. 120-132).
% 
% Percentage of body fat for an individual can be estimated once body density
% has been determined. Folks (e.g. Siri (1956)) assume that the body consists
% of two components - lean body tissue and fat tissue. Letting
% 
% D = Body Density (gm/cm^3)
% A = proportion of lean body tissue
% B = proportion of fat tissue (A+B=1)
% a = density of lean body tissue (gm/cm^3)
% b = density of fat tissue (gm/cm^3)
% 
% we have
% 
% D = 1/[(A/a) + (B/b)]
% 
% solving for B we find
% 
% B = (1/D)*[ab/(a-b)] - [b/(a-b)].
% 
% Using the estimates a=1.10 gm/cm^3 and b=0.90 gm/cm^3 (see Katch and McArdle
% (1977), p. 111 or Wilmore (1976), p. 123) we come up with "Siri's equation":
% 
% Percentage of Body Fat (i.e. 100*B) = 495/D - 450.
% 
% Volume, and hence body density, can be accurately measured a variety of ways.
% The technique of underwater weighing "computes body volume as the difference
% between body weight measured in air and weight measured during water
% submersion. In other words, body volume is equal to the loss of weight in
% water with the appropriate temperature correction for the water's density"
% (Katch and McArdle (1977), p. 113). Using this technique,
% 
% Body Density = WA/[(WA-WW)/c.f. - LV]
% 
% where
% 
% WA = Weight in air (kg)
% WW = Weight in water (kg)
% c.f. = Water correction factor (=1 at 39.2 deg F as one-gram of water
%        occupies exactly one cm^3 at this temperature, =.997 at 76-78 deg F)
% LV = Residual Lung Volume (liters)
% 
% (Katch and McArdle (1977), p. 115). Other methods of determining body volume
% are given in Behnke and Wilmore (1974), p. 22 ff.
% 
% 
% The variables listed below, from left to right, are:
% 
%  Density determined from underwater weighing
%  Percent body fat from Siri's (1956) equation
%  Age (years)
%  Weight (lbs)
%  Height (inches)
%  Neck circumference (cm)
%  Chest circumference (cm)
%  Abdomen 2 circumference (cm)
%  Hip circumference (cm)
%  Thigh circumference (cm)
%  Knee circumference (cm)
%  Ankle circumference (cm)
%  Biceps (extended) circumference (cm)
%  Forearm circumference (cm)
%  Wrist circumference (cm)
% 
% (Measurement standards are apparently those listed in Benhke and Wilmore
% (1974), pp. 45-48 where, for instance, the abdomen 2 circumference is 
% measured "laterally, at the level of the iliac crests, and anteriorly, at
% the umbilicus".)
% 
% These data are used to produce the predictive equations for lean
% body weight given in the abstract "Generalized body composition prediction
% equation for men using simple measurement techniques", K.W. Penrose, A.G.
% Nelson, A.G. Fisher, FACSM, Human Performance Research Center, Brigham Young
% University, Provo, Utah  84602 as listed in _Medicine and Science in Sports
% and Exercise_, vol. 17, no. 2, April 1985, p. 189. (The predictive equations
% were obtained from the first 143 of the 252 cases that are listed below).
% The data were generously supplied by Dr. A. Garth Fisher who gave permission to 
% freely distribute the data and use for non-commercial purposes. 
% 
% References:
% 
% Bailey, Covert (1994). _Smart Exercise: Burning Fat, Getting Fit_,
% Houghton-Mifflin Co., Boston, pp. 179-186.
% 
% Behnke, A.R. and Wilmore, J.H. (1974). _Evaluation and Regulation of Body
% Build and Composition_, Prentice-Hall, Englewood Cliffs, N.J.
% 
% Siri, W.E. (1956), "Gross composition of the body", in _Advances in 
% Biological and Medical Physics_, vol. IV, edited by J.H. Lawrence and C.A.
% Tobias, Academic Press, Inc., New York.
% 
% Katch, Frank and McArdle, William (1977). _Nutrition, Weight Control, and
% Exercise_, Houghton Mifflin Co., Boston.
% 
% Wilmore, Jack (1976). _Athletic Training and Physical Fitness: Physiological
% Principles of the Conditioning Process_, Allyn and Bacon, Inc., Boston.
% 
% 
% 
% Roger W. Johnson
% Department of Mathematics & Computer Science
% South Dakota School of Mines & Technology
% 501 East St. Joseph Street
% Rapid City, SD  57701
% 
% email address: rwjohnso@silver.sdsmt.edu
% web address: http://silver.sdsmt.edu/~rwjohnso
% 
% 
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation bodyfat

@attribute Density_determined_from_underwater_weighing REAL
@attribute Percent_body_fat_from_Siris_(1956)_equation REAL
@attribute Age_(years) INTEGER
@attribute Weight_(lbs) REAL
@attribute Height_(inches) REAL
@attribute Neck_circumference_(cm) REAL
@attribute Chest_circumference_(cm) REAL
@attribute Abdomen_2_circumference_(cm) REAL
@attribute Hip_circumference_(cm) REAL
@attribute Thigh_circumference_(cm) REAL
@attribute Knee_circumference_(cm) REAL
@attribute Ankle_circumference_(cm) REAL
@attribute Biceps_(extended)_circumference_(cm) REAL
@attribute Forearm_circumference_(cm) REAL
@attribute Wrist_circumference_(cm) REAL

@data

1.0708,12.3,23,154.25,67.75,36.2,93.1,85.2,94.5,59.0,37.3,21.9,32.0,27.4,17.1
1.0853,6.1,22,173.25,72.25,38.5,93.6,83.0,98.7,58.7,37.3,23.4,30.5,28.9,18.2
1.0414,25.3,22,154.00,66.25,34.0,95.8,87.9,99.2,59.6,38.9,24.0,28.8,25.2,16.6
1.0751,10.4,26,184.75,72.25,37.4,101.8,86.4,101.2,60.1,37.3,22.8,32.4,29.4,18.2
1.0340,28.7,24,184.25,71.25,34.4,97.3,100.0,101.9,63.2,42.2,24.0,32.2,27.7,17.7
1.0502,20.9,24,210.25,74.75,39.0,104.5,94.4,107.8,66.0,42.0,25.6,35.7,30.6,18.8
1.0549,19.2,26,181.00,69.75,36.4,105.1,90.7,100.3,58.4,38.3,22.9,31.9,27.8,17.7
1.0704,12.4,25,176.00,72.50,37.8,99.6,88.5,97.1,60.0,39.4,23.2,30.5,29.0,18.8
1.0900,4.1,25,191.00,74.00,38.1,100.9,82.5,99.9,62.9,38.3,23.8,35.9,31.1,18.2
1.0722,11.7,23,198.25,73.50,42.1,99.6,88.6,104.1,63.1,41.7,25.0,35.6,30.0,19.2
1.0830,7.1,26,186.25,74.50,38.5,101.5,83.6,98.2,59.7,39.7,25.2,32.8,29.4,18.5
1.0812,7.8,27,216.00,76.00,39.4,103.6,90.9,107.7,66.2,39.2,25.9,37.2,30.2,19.0
1.0513,20.8,32,180.50,69.50,38.4,102.0,91.6,103.9,63.4,38.3,21.5,32.5,28.6,17.7
1.0505,21.2,30,205.25,71.25,39.4,104.1,101.8,108.6,66.0,41.5,23.7,36.9,31.6,18.8
1.0484,22.1,35,187.75,69.50,40.5,101.3,96.4,100.1,69.0,39.0,23.1,36.1,30.5,18.2
1.0512,20.9,35,162.75,66.00,36.4,99.1,92.8,99.2,63.1,38.7,21.7,31.1,26.4,16.9
1.0333,29.0,34,195.75,71.00,38.9,101.9,96.4,105.2,64.8,40.8,23.1,36.2,30.8,17.3
1.0468,22.9,32,209.25,71.00,42.1,107.6,97.5,107.0,66.9,40.0,24.4,38.2,31.6,19.3
1.0622,16.0,28,183.75,67.75,38.0,106.8,89.6,102.4,64.2,38.7,22.9,37.2,30.5,18.5
1.0610,16.5,33,211.75,73.50,40.0,106.2,100.5,109.0,65.8,40.6,24.0,37.1,30.1,18.2
1.0551,19.1,28,179.00,68.00,39.1,103.3,95.9,104.9,63.5,38.0,22.1,32.5,30.3,18.4
1.0640,15.2,28,200.50,69.75,41.3,111.4,98.8,104.8,63.4,40.6,24.6,33.0,32.8,19.9
1.0631,15.6,31,140.25,68.25,33.9,86.0,76.4,94.6,57.4,35.3,22.2,27.9,25.9,16.7
1.0584,17.7,32,148.75,70.00,35.5,86.7,80.0,93.4,54.9,36.2,22.1,29.8,26.7,17.1
1.0668,14.0,28,151.25,67.75,34.5,90.2,76.3,95.8,58.4,35.5,22.9,31.1,28.0,17.6
1.0911,3.7,27,159.25,71.50,35.7,89.6,79.7,96.5,55.0,36.7,22.5,29.9,28.2,17.7
1.0811,7.9,34,131.50,67.50,36.2,88.6,74.6,85.3,51.7,34.7,21.4,28.7,27.0,16.5
1.0468,22.9,31,148.00,67.50,38.8,97.4,88.7,94.7,57.5,36.0,21.0,29.2,26.6,17.0
1.0910,3.7,27,133.25,64.75,36.4,93.5,73.9,88.5,50.1,34.5,21.3,30.5,27.9,17.2
1.0790,8.8,29,160.75,69.00,36.7,97.4,83.5,98.7,58.9,35.3,22.6,30.1,26.7,17.6
1.0716,11.9,32,182.00,73.75,38.7,100.5,88.7,99.8,57.5,38.7,33.9,32.5,27.7,18.4
1.0862,5.7,29,160.25,71.25,37.3,93.5,84.5,100.6,58.5,38.8,21.5,30.1,26.4,17.9
1.0719,11.8,27,168.00,71.25,38.1,93.0,79.1,94.5,57.3,36.2,24.5,29.0,30.0,18.8
1.0502,21.3,41,218.50,71.00,39.8,111.7,100.5,108.3,67.1,44.2,25.2,37.5,31.5,18.7
1.0263,32.3,41,247.25,73.50,42.1,117.0,115.6,116.1,71.2,43.3,26.3,37.3,31.7,19.7
1.0101,40.1,49,191.75,65.00,38.4,118.5,113.1,113.8,61.9,38.3,21.9,32.0,29.8,17.0
1.0438,24.2,40,202.25,70.00,38.5,106.5,100.9,106.2,63.5,39.9,22.6,35.1,30.6,19.0
1.0346,28.4,50,196.75,68.25,42.1,105.6,98.8,104.8,66.0,41.5,24.7,33.2,30.5,19.4
1.0202,35.2,46,363.15,72.25,51.2,136.2,148.1,147.7,87.3,49.1,29.6,45.0,29.0,21.4
1.0258,32.6,50,203.00,67.00,40.2,114.8,108.1,102.5,61.3,41.1,24.7,34.1,31.0,18.3
1.0217,34.5,45,262.75,68.75,43.2,128.3,126.2,125.6,72.5,39.6,26.6,36.4,32.7,21.4
1.0250,32.9,44,205.00,29.50,36.6,106.0,104.3,115.5,70.6,42.5,23.7,33.6,28.7,17.4
1.0279,31.6,48,217.00,70.00,37.3,113.3,111.2,114.1,67.7,40.9,25.0,36.7,29.8,18.4
