% This dataset is taken from the Places Rated Almanac, by Richard
% Boyer and David Savageau, copyrighted and published by Rand McNally.
% This book order (SBN) number is 0-528-88008-X, and it retails for
% $14.95 .  The data are reproduced by kind permission of the
% publisher, and with the request that the copyright notice of Rand
% McNally, and the names of the authors appear in any paper or
% presentation using these data.
% 
% The nine rating criteria used by Places Rated Almanac are:
% Climate & Terrain
% Housing
% Health Care & Environment
% Crime
% Transportation
% Education
% The Arts
% Recreation
% Economics
% 
% For all but two of the above criteria, the higher the score, the
% better.  For Housing and Crime, the lower the score the better.
% 
% The scores are computed using the following component statistics for
% each criterion (see the Places Rated Almanac for details):
% 
% Climate & Terrain: very hot and very cold months, seasonal
% temperature variation, heating- and cooling-degree days, freezing
% days, zero-degree days, ninety-degree days.
% 
% Housing: utility bills, property taxes, mortgage payments.
% 
% Health Care & Environment: per capita physicians, teaching hospitals,
% medical schools, cardiac rehabilitation centers, comprehensive cancer
% treatment centers, hospices, insurance/hospitalization costs index,
% flouridation of drinking water, air pollution.
% 
% Crime: violent crime rate, property crime rate.
% 
% Transportation: daily commute, public transportation, Interstate
% highways, air service, passenger rail service.
% 
% Education: pupil/teacher ratio in the public K-12 system, effort
% index in K-12, accademic options in higher education.
% 
% The Arts: museums, fine arts and public radio stations, public
% television stations, universities offering a degree or degrees in the
% arts, symphony orchestras, theatres, opera companies, dance
% companies, public libraries.
% 
% Recreation: good restaurants, public golf courses, certified lanes
% for tenpin bowling, movie theatres, zoos, aquariums, family theme
% parks, sanctioned automobile race tracks, pari-mutuel betting
% attractions, major- and minor- league professional sports teams, NCAA
% Division I football and basketball teams, miles of ocean or Great
% Lakes coastline, inland water, national forests, national parks, or
% national wildlife refuges, Consolidated Metropolitan Statistical Area
% access.
% 
% Economics: average household income adjusted for taxes and living
% costs, income growth, job growth.
% 
% 
% The data are recorded in two ASCII files, PLACES.DAT, and
% PLACES.KEY .  The first file contains 329 observations, 9 columns
% plus an index column.  The index stands for the location.  PLACES.KEY
% gives the index in the first column and the associated name of the
% place in the second column.  All data analysis can be done with
% numeric variables and the index, as read in from PLACES.DAT .
% Alternatively, the numerical key can be replaced by the alphabetic
% name, as given by PLACES.KEY .
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation places

@attribute Climate_and_Terrain INTEGER
@attribute Housing INTEGER
@attribute Health_Care_and_Environment INTEGER
@attribute Crime INTEGER
@attribute Transportation INTEGER
@attribute Education INTEGER
@attribute The_Arts INTEGER
@attribute Recreation INTEGER
@attribute Economics INTEGER
@attribute Place {Abilene_TX,Akron_OH,Albany-Schenectady-Troy_NY,Albany_GA,Albuquerque_NM,Alexandria_LA,Allentown_Bethlehem_PA-NJ,Alton_Granite_City_IL,Altoona_PA,Amarillo_TX,Anaheim-Santa_Ana_CA,Anchorage_AK,Anderson_IN,Anderson_SC,Ann_Arbor_MI,Anniston_AL,Appleton-Oshkosh-Neenah_WI,Asheville_NC,Athens_GA,Atlanta_GA,Atlantic_City_NJ,Augusta_GA-SC,Aurora-Elgin_IL,Austin_TX,Bakersfield_CA,Baltimore_MD,Bangor_ME,Baton_Rouge_LA,Battle_Creek_MI,Beaumont-Port_Arthur_TX,Beaver_County_PA,Bellingham_WA,Benton_Harbor_MI,Bergen-Passaic_NJ,Billings_MT,Biloxi-Gulfport_MS,Binghampton_NY,Birmingham_AL,Bismarck_ND,Bloomington-Normal_IL,Bloomington_IN,Boise_City_ID,Boston_MA,Boulder-Longmont_CO,Bradenton_FL,Brazoria_TX,Bremerton_WA,Bridgeport-Milford_CT,Bristol_CT,Brockton_MA,Brownsville-Harlington_TX,Bryan-College_Station_TX,Buffalo_NY,Burlington_NC,Burlington_VT,Canton_OH,Casper_WY,Cedar_Rapids_IA,Champaign-Urbana-Rantoul_IL,Charleston_SC,Charleston_WV,Charlotte-Gastonia-Rock_Hill_NC-SC,Charlottesville_VA,Chattanooga_TN-GA,Chicago_IL,Chico_CA,Cincinnati_OH-KY-IN,Clarksville-Hopkinsville_TN-KY,Cleveland_OH,Colorado_Springs_CO,Columbia_MO,Columbia_SC,Columbus_GA-AL,Columbus_OH,Corpus_Christi_TX,Cumberland_MD-WV,Dallas_TX,Danbury_CT,Danville_VA,Davenport-Rock_Island-Moline_IA-IL,Dayton-Springfield_OH,Daytona_Beach_FL,Decatur_IL,Denver_CO,Des_Moines_IA,Detroit_MI,Dothgan_AL,Dubuque_IA,Duluth_MN-WI,East_St._Louis-Belleville_IL,Eau_Claire_WI,El_Paso_TX,Elkhart-Goshen_IN,Elmira_NY,Enid_OK,Erie_PA,Eugene-Springfield_OR,Evansville_IN-KY,Fall_River_MA-RI,Fargo-Moorhead_ND-MN,Fayetteville_NC,Fayettteville-Sprindale_AR,Fitchburg-Leominster_MA,Flint_MI,Florence_AL,Florence_SC,Fort_Collins-Lover=land_CO,Fort_Lauderdale-Hollywood-Pompano_Beach_FL,Fort_Myers_FL,Fort_Pierce_FL,Fort_Smith_AR-OK,Fort_Walton_Beach_FL,Fort_Wayne_IN,Forth-Arlington_TX,Fresno_CA,Gadsden_AL,Gainesville_FL,Galveston-Texas_City_TX,Gary-Hammond_IN,Glens_Falls_NY,Grand_Forks_ND,Grand_Rapids_MI,Great_Falls_MT,Greeley_CO,Green_Bay_WI,Greensboro-Winston-Salem-High_Point_NC,Greenville-Spartanburg_SC,Hagerstown_MD,Hamilton-Middletown_OH,Harrisburg-Lebanon-Carlisle_PA,Hartford_CT,Hickory_NC,Honolulu_HI,Houma-Thibodaux_LA,Houston_TX,Huntington-Ashland_WV-KY-OH,Huntsville_AL,Indianapolis_IN,Iowa_City_IA,Jackson_MI,Jackson_MS,Jacksonville_FL,Jacksonville_NC,Janesville-Beloit_WI,Jersey_City_NJ,Johnson_City-Kingsport-Bristol_TN-VA,Johnstown_PA,Joliet_IL,Joplin_MO,Kalamazoo_MI,Kankakee_IL,Kansas_City_KS,Kansas_City_MO,Kenosha_WI,Kileen-Temple_TX,Knoxville_TN,Kokomo_IN,La_Crosse_WI,Lafayette_IN,Lafayette_LA,Lake_Charles_LA,Lake_County_IL,Lakeland-Winter_Haven_FL,Lancaster_PA,Lansing-East_Lansing_MI,Laredo_TX,Las_Cruces_NM,Las_Vegas_NV,Lawrence-Haverhill_MA-NH,Lawrence_KS,Lawton_OK,Lewiston-Auburn_ME,Lexington-Fayette_KY,Lima_OH,Lincoln_NE,Little_Rock_North_Little_Rock_AR,Longview-Marshall_TX,Lorain-Elyria_OH,Los_Angeles_Long_Beach_CA,Louisville_KY-IN,Lowell_MA-NH,Lubbock_TX,Lynchburg_VA,Macon_Warner_Robbins_GA,Madison_WI,Manchester_NH,Mansfield_OH,Materbury_CT,McAllen-Edinburg-Mission_TX,Medford_OR,Melbourne-Titusville-Palm_Bay_FL,Memphis_TN-AR-MS,Miami-Hialeah_FL,Middlesex-Somerset_Hunterdon_NJ,Middletown_CT,Midland_TX,Milwaukee_WI,Minneapolis-St._Paul_MN-WI,Mobile_AL,Modesto_CA,Monmouth-Ocean_NJ,Monroe_LA,Montgomery_AL,Muncie_IN,Muskegon_MI,Nashua_NH,Nashville_TN,Nassua-Suffolk_NY,New_Bedsford_MA,New_Britain_CT,New_Haven-Meriden_CT,New_London-Norwich_CT-RI,New_Orleans_LA,New_York_NY,Newark_NJ,Niagara_Falls_NY,Norfolk-Virginia_Beach-Newport_News_VA,Norwalk_CT,Oakland_CA,Ocala_FL,Odessa_TX,Oklahoma_City_OK,Olympia_WA,Omaha_NE-IA,Orange_County_NY,Orlando_FL,Owensboro_KY,Oxnard-Ventura_CA,Panama_City_FL,Parkerburg-Marietta_WV-OH,Pascagoula_MS,Pawtucket-Woonsocket-Attleboro_RI-MA,Pensacola_FL,Peoria_IL,Philadelphia_PA-NJ,Phoenix_AZ,Pine_Bluff_AR,Pittsburgh_PA,Pittsfield_MA,Portland_ME,Portland_OR,Portsmouth-Dover-Rochester_NH-ME,Poughkeepsie_NY,Providence_RI,Provo-Orem_UT,Pueblo_CO,Racine_WI,Raleigh-Durham_NC,Reading_PA,Redding_CA,Reno_NV,Richland-Kinnewick-Pasco_WA,Richmond-Petersburg_VA,Riverside-San_Bernardino_CA,Roanoke_VA,Rochester_MN,Rochester_NY,Rockford_IL,Sacramento_CA,Saginaw-Bay_City-Midland_MI,Salem-Glouster_MA,Salem_OR,Salinas-Seaside-Monterey_CA,Salt_Lake_City-Ogden_UT,San_Angelo_TX,San_Antonio_TX,San_Diego_CA,San_Francisco_CA,San_Jose_CA,Santa_Barbara-Santa_Maria-Lompoc_CA,Santa_Cruz_CA,Santa_Rosa-Petaluma_CA,Sarasota_FL,Savannah_GA,Scranton-Wilkes_Barre_PA,Seattle_WA,Sharon_PA,Sheboygan_WI,Sherman-Denison_TX,Shreveport_LA,Sioux_City_IA-NE,Sioux_Falls_SD,South_Bend-Mishawaka_IN,Spokane_WA,Springfield_IL,Springfield_MA,Springfield_MO,St._Cloud_MN,St._Joseph_MO,St._Louis_MO-IL,Stamford_CT,State_College_PA,Steubenville-Weirton_OH-WV,Stockton_CA,Syracuse_NY,Tacoma_WA,Tallahassee_FL,Tampa-St._Petersburg-Clearwater_FL,Terre_Haute_IN,Texarkana_TX-Texarkana_AR,Toledo_OH,Topeka_KS,Trenton_NJ,Tulsa_OK,Tuscaloosa_AL,Tuscon_AZ,Tyler_TX,Utica-Rome_NY,Vallejo-Fairfield-Napa_CA,Vancouver_WA,Victoria_TX,Vineland-Millville-Bridgeton_NJ,Visalia-Tulare-Porterville_CA,Waco_TX,Washington_DC-MD-VA,Waterloo-Cedar_Falls_IA,Wausau_WI,West_Palm_Beach-Boca_Raton-Delray_Beach_FL,Wheeling_WV-OH,Wichita_Falls_TX,Wichita_KS,Williamsport_PA,Wilmington_DE-NJ-MD,Wilmington_NC,Worcester_MA,Yakima_WA,York_PA,Youngstown-Warren_OH,Yuba_City_CA}

@data
521,6200,237,923,4031,2757,996,1405,7633,Abilene_TX
575,8138,1656,886,4883,2438,5564,2632,4350,Akron_OH
468,7339,618,970,2531,2560,237,859,5250,Albany_GA
476,7908,1431,610,6883,3399,4655,1617,5864,Albany-Schenectady-Troy_NY
659,8393,1853,1483,6558,3026,4496,2612,5727,Albuquerque_NM
520,5819,640,727,2444,2972,334,1018,5254,Alexandria_LA
559,8288,621,514,2881,3144,2333,1117,5097,Allentown_Bethlehem_PA-NJ
537,6487,965,706,4975,2945,1487,1280,5795,Alton_Granite_City_IL
561,6191,432,399,4246,2778,256,1210,4230,Altoona_PA
609,6546,669,1073,4902,2852,1235,1109,6241,Amarillo_TX
885,16047,2025,983,3954,2843,5632,3156,6220,Anaheim-Santa_Ana_CA
195,12175,601,1223,5091,2414,2346,3000,7668,Anchorage_AK
530,5704,580,878,2865,2469,430,838,3370,Anderson_IN
591,5725,820,975,2707,2772,169,613,4262,Anderson_SC
546,11014,2508,1067,3433,3346,7559,2288,4579,Ann_Arbor_MI
560,5530,598,1125,3051,2189,268,1165,4730,Anniston_AL
396,7877,833,525,3298,2844,1166,2315,5275,Appleton-Oshkosh-Neenah_WI
694,6722,1204,566,5086,2990,1391,1542,5196,Asheville_NC
601,6691,605,933,1866,2646,3546,1001,5193,Athens_GA
696,8316,3195,1308,8409,3057,7559,1362,6315,Atlanta_GA
615,11074,637,1878,3556,2929,621,2711,8107,Atlantic_City_NJ
534,6292,1798,872,2523,2915,1047,913,5431,Augusta_GA-SC
474,10384,1203,821,3943,2208,3857,1800,5097,Aurora-Elgin_IL
435,8831,782,1049,3670,3063,5355,1063,7439,Austin_TX
560,8068,420,1561,3725,2564,1222,1568,6056,Bakersfield_CA
567,9148,3562,1730,7405,3471,9788,2925,5503,Baltimore_MD
451,7277,780,651,5613,2934,1995,2148,5172,Bangor_ME
427,8083,342,1565,3329,2635,4237,1413,6308,Baton_Rouge_LA
527,6342,900,1031,4652,2483,354,1648,4008,Battle_Creek_MI
423,6288,616,1313,2782,2745,1795,1813,6019,Beaumont-Port_Arthur_TX
586,7866,861,310,2960,2535,1284,1480,3119,Beaver_County_PA
772,8329,240,825,3776,2778,1302,3200,4247,Bellingham_WA
566,6761,570,1190,2989,2545,79,1477,3635,Benton_Harbor_MI
559,14607,2661,857,3511,3653,9304,1918,6016,Bergen-Passaic_NJ
452,8315,479,810,6285,3008,778,2046,5913,Billings_MT
584,6458,441,810,2516,2592,679,2106,5801,Biloxi-Gulfport_MS
550,8257,1007,415,4529,3052,1599,1722,5614,Binghampton_NY
612,6811,1692,1123,5177,2851,3958,1234,4843,Birmingham_AL
149,8365,804,413,4303,2686,1211,1630,6019,Bismarck_ND
558,7056,731,657,1746,2873,2152,1990,4829,Bloomington_IN
487,8654,815,673,5889,2854,1470,1605,5863,Bloomington-Normal_IL
592,8221,453,880,6575,2391,2385,1672,4633,Boise_City_ID
623,11609,5301,1215,6801,3479,21042,3066,6363,Boston_MA
459,11914,962,1088,7108,2587,3663,4012,7127,Boulder-Longmont_CO
440,8242,333,1093,3805,2712,154,1349,7437,Bradenton_FL
423,8394,438,768,2391,2718,1506,1512,6020,Brazoria_TX
808,9060,310,651,1670,2544,382,1973,5671,Bremerton_WA
648,13429,2550,943,3197,3029,8368,1913,7197,Bridgeport-Milford_CT
516,10041,975,545,4495,2628,514,777,6527,Bristol_CT
575,8263,916,1336,3810,2729,2001,1217,6900,Brockton_MA
440,5376,91,974,3119,2413,162,3000,4968,Brownsville-Harlington_TX
383,8228,640,1016,2530,2973,2002,1413,8040,Bryan-College_Station_TX
571,8064,2465,971,5384,3121,8567,2441,5047,Buffalo_NY
637,6179,994,707,1910,2519,131,701,5680,Burlington_NC
383,9673,1809,494,7146,3323,1741,3357,6726,Burlington_VT
575,7332,443,650,4279,2754,989,1157,4847,Canton_OH
401,9839,345,989,4410,2453,303,1435,6303,Casper_WY
434,7774,837,714,5270,2619,904,1501,5009,Cedar_Rapids_IA
525,8627,672,1022,7447,3147,2203,1700,5485,Champaign-Urbana-Rantoul_IL
569,7402,1463,1495,4207,3164,2993,2561,5153,Charleston_SC
627,7789,708,721,5470,2894,2605,844,5257,Charleston_WV
644,7169,999,1273,6099,3031,4313,1236,5671,Charlotte-Gastonia-Rock_Hill_NC-SC
618,9531,1348,756,6041,3489,1422,1704,6055,Charlottesville_VA
576,6189,564,946,3401,2415,2483,1238,4487,Chattanooga_TN-GA
514,10913,5766,1034,7742,3486,24846,2856,5205,Chicago_IL
603,8587,243,947,4067,3126,1647,1543,5307,Chico_CA
584,8143,2138,978,5748,2918,9688,2451,5270,Cincinnati_OH-KY-IN
544,6007,446,736,2226,2654,111,2219,4880,Clarksville-Hopkinsville_TN-KY
579,9168,3167,1138,7333,2972,12679,3300,4879,Cleveland_OH
526,8509,721,1086,3389,2754,1749,2375,7699,Colorado_Springs_CO
541,7702,1951,1065,3893,2377,2882,1331,5147,Columbia_MO
526,7519,1421,1524,5859,2908,2489,1484,5279,Columbia_SC
517,5817,833,820,2995,2665,1861,1214,4812,Columbus_GA-AL
558,8093,1837,1092,4364,2928,6648,2020,5165,Columbus_OH
362,6929,458,1335,3626,2840,1992,2037,6690,Corpus_Christi_TX
591,6054,760,337,3709,3363,373,1036,4741,Cumberland_MD-WV
544,9318,2825,1529,6213,3269,10438,2310,7710,Dallas_TX
569,14420,2350,548,2715,3029,7415,1572,7060,Danbury_CT
545,5709,593,379,3161,2943,85,501,4491,Danville_VA
440,8083,1113,834,3907,2901,1017,1920,4997,Davenport-Rock_Island-Moline_IA-IL
544,7635,2253,1151,4775,2772,6935,1122,4532,Dayton-Springfield_OH
561,7203,723,1347,4117,2612,809,3967,6592,Daytona_Beach_FL
480,7395,732,897,3867,2683,298,1222,4274,Decatur_IL
521,10789,2533,1365,8145,3145,8477,2324,7164,Denver_CO
444,8028,1256,1044,5521,2613,1857,1802,5346,Des_Moines_IA
536,8525,4142,1587,4808,3064,10389,2483,3904,Detroit_MI
336,5708,593,930,2232,2230,117,714,5453,Dothgan_AL
419,7993,640,571,3668,2701,340,1587,3949,Dubuque_IA
193,6040,1159,488,5205,2619,2377,3107,3922,Duluth_MN-WI
537,6501,444,1096,6539,2630,904,1610,6113,East_St._Louis-Belleville_IL
257,7078,798,433,3197,2960,1807,1397,5348,Eau_Claire_WI
592,7343,528,1323,3705,2479,3800,1101,5080,El_Paso_TX
521,6573,596,524,4168,2537,353,1023,4214,Elkhart-Goshen_IN
467,7078,562,582,3324,3000,1048,1600,4813,Elmira_NY
461,6829,626,845,2312,2764,215,1200,8268,Enid_OK
605,7715,529,635,5754,2641,2032,1340,4299,Erie_PA
741,9370,539,874,5293,3118,2631,3400,3045,Eugene-Springfield_OR
550,6743,783,864,3496,2797,1876,1622,5206,Evansville_IN-KY
643,9017,900,861,4602,2439,749,2005,4884,Fall_River_MA-RI
148,8168,920,503,6325,2506,2111,1414,5594,Fargo-Moorhead_ND-MN
561,6274,872,1150,4402,3051,844,709,5255,Fayetteville_NC
549,6686,594,545,3581,2334,1915,1695,4631,Fayettteville-Sprindale_AR
507,8252,655,655,2244,2799,270,790,5098,Fitchburg-Leominster_MA
540,7204,724,1671,4912,2511,2163,1355,3724,Flint_MI
546,5962,607,516,1454,2427,1021,994,4492,Florence_AL
552,6508,818,1334,4963,3109,628,800,4842,Florence_SC
490,9951,731,744,2637,2413,1609,4200,6631,Fort_Collins-Lover=land_CO
572,10810,1252,1536,4186,2734,2027,2455,7136,Fort_Lauderdale-Hollywood-Pompano_Beach_FL
342,9298,546,787,4583,2729,380,4005,7166,Fort_Myers_FL
602,8842,527,1422,2143,3154,368,2058,7973,Fort_Pierce_FL
482,5784,466,663,3092,2927,145,1736,4849,Fort_Smith_AR-OK
536,7554,484,544,2886,2809,87,2092,6342,Fort_Walton_Beach_FL
509,6733,1060,710,5416,2772,2846,1711,4195,Fort_Wayne_IN
528,7956,1038,1348,4472,2627,6466,2366,6862,Forth-Arlington_TX
559,9291,369,1483,4388,2407,3596,2984,5746,Fresno_CA
526,5382,622,749,2174,2299,153,300,4220,Gadsden_AL
402,7388,1731,1658,3527,3094,3335,1237,5739,Gainesville_FL
727,7767,1437,1213,3423,2809,1756,3000,6026,Galveston-Texas_City_TX
483,7641,1364,996,5855,2526,4115,1940,3826,Gary-Hammond_IN
476,7120,43,568,2241,2674,603,1883,5166,Glens_Falls_NY
105,7898,1109,401,5587,2721,1921,1304,5646,Grand_Forks_ND
513,7780,1274,952,3454,2705,3255,1909,4848,Grand_Rapids_MI
410,7143,667,792,3747,2737,401,2176,4697,Great_Falls_MT
490,8218,706,994,1641,2854,1254,739,5443,Greeley_CO
367,8401,916,583,3793,2622,2547,1925,5650,Green_Bay_WI
626,7064,1694,967,4453,3090,4188,1651,5204,Greensboro-Winston-Salem-High_Point_NC
655,6336,1260,1185,3950,3236,2569,1410,5012,Greenville-Spartanburg_SC
568,7763,818,627,3431,2990,825,1491,4477,Hagerstown_MD
542,8227,1135,892,3338,2747,2316,1604,4618,Hamilton-Middletown_OH
556,7891,2087,629,6164,3224,3083,1532,5322,Harrisburg-Lebanon-Carlisle_PA
516,11652,2521,1279,7120,3628,3616,1790,6307,Hartford_CT
623,6760,1006,765,2703,2726,188,797,4728,Hickory_NC
717,17021,1298,891,5911,2502,7168,3703,5187,Honolulu_HI
427,7094,583,400,1145,1995,725,2700,6662,Houma-Thibodaux_LA
424,9760,2467,1499,4626,3271,11073,1825,7464,Houston_TX
636,6632,875,665,4001,2525,2195,840,4383,Huntington-Ashland_WV-KY-OH
600,6283,685,924,2661,2257,1921,1075,6412,Huntsville_AL
557,7012,2243,1000,5804,2690,6348,1906,5082,Indianapolis_IN
434,9429,2437,830,2770,2842,2255,1506,5165,Iowa_City_IA
518,6794,679,1021,4800,2654,323,1933,3822,Jackson_MI
412,7245,1792,1091,4917,3130,3209,1427,5186,Jackson_MS
