% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-vineyard

@attribute Year {1983,1984,1985,1986,1987,1988,1989,1990,1991}
@attribute Row INTEGER
@attribute Group INTEGER
@attribute Lugs REAL

@data
1983,1,1,5
1983,2,1,10
1983,3,1,11
1983,4,1,11.25
1983,5,2,11
1983,6,2,11
1983,7,2,9
1983,8,2,9
1983,9,3,9
1983,10,3,9
1983,11,3,6
1983,12,3,7
1983,13,4,5
1983,14,4,7
1983,15,4,10
1983,16,4,13
1983,17,5,5.5
1983,18,5,10.5
1983,19,5,9
1983,20,5,6
1983,21,6,8
1983,22,6,15
1983,23,6,13
1983,24,6,14
1983,25,7,15
1983,26,7,14.5
1983,27,7,14
1983,28,7,14
1983,29,8,15
1983,30,8,16
1983,31,8,13
1983,32,8,12
1983,33,9,9
1983,34,9,11.5
1983,35,9,9.5
1983,36,9,12
1983,37,10,13
1983,38,10,13.5
1983,39,10,15
1983,40,10,15.5
1983,41,11,14
1983,42,11,14
1983,43,11,10
1983,44,11,13
1983,45,12,11
1983,46,12,8.5
1983,47,12,7.5
1983,48,12,6
1983,49,13,5
1983,50,13,4
1983,51,13,3
1983,52,13,2
1984,1,1,5
1984,2,1,5
1984,3,1,11
1984,4,1,10
1984,5,2,7
1984,6,2,13
1984,7,2,10.5
1984,8,2,10
1984,9,3,13
1984,10,3,12
1984,11,3,10
1984,12,3,9
1984,13,4,11
1984,14,4,7
1984,15,4,8
1984,16,4,10.5
1984,17,5,10
1984,18,5,11.5
1984,19,5,9
1984,20,5,11
1984,21,6,13
1984,22,6,15
1984,23,6,14
1984,24,6,17
1984,25,7,16
1984,26,7,14
1984,27,7,11
1984,28,7,16
1984,29,8,12
1984,30,8,11.5
1984,31,8,11
1984,32,8,13
1984,33,9,12
1984,34,9,12
1984,35,9,13
1984,36,9,9
1984,37,10,15
1984,38,10,12
1984,39,10,7
1984,40,10,7
1984,41,11,10
1984,42,11,5
1984,43,11,3.5
1984,44,11,5
1984,45,12,14
1984,46,12,13
1984,47,12,19
1984,48,12,11.5
1984,49,13,10
1984,50,13,6
1984,51,13,6.5
1984,52,13,5
1985,1,1,2
1985,2,1,5
1985,3,1,4
1985,4,1,5
