% 
% This contains viturally all of the data files
% in "Analysis of Variance, Design, and Regression:
% Applied Statistical Methods" by Ronald Christensen
% (1996, Chapman and Hall).  The individual files 
% correspond with tables in the book in a self 
% explanitory manner (presuming you have the book to 
% look at).  There are three files that correspond 
% to data in exercises or examples.
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@math.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: ../data/christensen/tab12-15.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-tab12-15

@attribute col_1 INTEGER
@attribute col_2 {1,2}
@attribute col_3 {1,2}
@attribute col_4 INTEGER
@attribute col_5 {1,2}
@attribute col_6 INTEGER
@attribute col_7 REAL

@data
1,1,2,1,1,2,92.7
1,2,1,1,1,2,95.9
1,2,2,1,1,2,92.7
1,1,1,1,1,2,92.2
2,1,2,1,1,1,94.2
2,2,1,1,1,1,88.6
2,2,2,1,1,1,89.8
2,1,1,1,1,1,89.8
3,1,2,1,1,3,88.7
3,2,1,1,1,3,92.1
3,2,2,1,1,3,91.7
3,1,1,1,1,3,93.4
1,1,2,1,2,2,81.4
1,2,1,1,2,2,79.2
1,2,2,1,2,2,85.5
1,1,1,1,2,2,81.4
2,1,2,1,2,1,80.2
2,2,1,1,2,1,83.7
2,2,2,1,2,1,83.9
2,1,1,1,2,1,75.4
3,1,2,1,2,3,94.2
3,2,1,1,2,3,91.1
3,2,2,1,2,3,89.2
3,1,1,1,2,3,86.2
1,1,2,2,1,1,91.3
1,2,1,2,1,1,87.7
1,2,2,2,1,1,93.6
1,1,1,2,1,1,92.9
2,1,2,2,1,3,89.7
2,2,1,2,1,3,87.8
2,2,2,2,1,3,90.4
2,1,1,2,1,3,90.4
3,1,2,2,1,2,90.3
3,2,1,2,1,2,90.3
3,2,2,2,1,2,90.4
3,1,1,2,1,2,89.7
1,1,2,2,2,1,68.0
1,2,1,2,2,1,77.7
1,2,2,2,2,1,76.2
1,1,1,2,2,1,72.2
2,1,2,2,2,3,86.0
2,2,1,2,2,3,86.6
2,2,2,2,2,3,79.3
2,1,1,2,2,3,85.0
3,1,2,2,2,2,86.7
3,2,1,2,2,2,83.5
3,2,2,2,2,2,86.6
3,1,1,2,2,2,83.0
1,1,2,3,1,3,86.9
1,2,1,3,1,3,90.7
1,2,2,3,1,3,92.1
1,1,1,3,1,3,90.6
2,1,2,3,1,2,91.9
2,2,1,3,1,2,85.4
2,2,2,3,1,2,85.7
2,1,1,3,1,2,82.6
3,1,2,3,1,1,88.4
3,2,1,3,1,1,86.3
3,2,2,3,1,1,88.3
3,1,1,3,1,1,88.6
1,1,2,3,2,3,78.2
1,2,1,3,2,3,97.9
1,2,2,3,2,3,80.2
1,1,1,3,2,3,85.8
2,1,2,3,2,2,84.8
2,2,1,3,2,2,79.5
2,2,2,3,2,2,86.9
2,1,1,3,2,2,79.0
3,1,2,3,2,1,75.8
3,2,1,3,2,1,71.2
3,2,2,3,2,1,87.9
3,1,1,3,2,1,84.5
