% ____________________________________________________________________
%         
%                       Data Diskette for
%                   CASE STUDIES IN BIOMETRY
% 
% By Nicholas Lange, Louise Ryan and Lynne Brillard, David Brillinger,
% Loveday Conquest, Joel Greenhouse.
% 
% Published by John Wiley & Sons, Inc., copyright 1994.  
% ____________________________________________________________________
% 
% You have obtained all of the data used by all of the authors in the
% twenty-one chapters of Case Studies in Biometry.  
% 
% Each chapter contains either one or two data sets, except for Chapter 19,
% which has seven data sets. Corresponding to each data set are ASCII files
% with extensions ".dat" (the data), ".txt" (the data description file), and 
% ".sas" (a simple SAS program to read the .dat file). 
% 
% For chapters containing only one data set, the file name prefix is 
% "ch" followed by chapter number, and then the above extensions.
% For instance, for Chapter 2 you will find files "ch2.dat",
% "ch2.txt", and "ch2.sas".
% 
% For chapters containing two data sets, the letters "a" and "b" are
% added after the chapter number. For instance, for Chapter 1, you will
% find the files "ch1a.dat", "ch1a.txt", "ch1a.sas", "ch1b.dat",
% "ch1b.txt", "ch1b.sas".
% 
% For chapter 19, there are seven data sets, ch19a.dat
% through ch19g.dat.  Each one has the same format, but
% refers to different subsets of the whole data
% set.  Details are given in the single text file, ch19.txt.
% 
% Please note permissions and usage information included in
% the .txt file for each subset.
% _______________________________________________________________
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File: ch7.dat
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File specific Information:
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% CASE STUDIES IN BIOMETRY: Chapter 7. 
% 
% Survival Analysis for Size Regulation of Atlantic Halibut
% 
% Stephen J. Smith, Ken G. Waiwood, John D.Neilson
% 
% The file ch7.dat contains the following variables:
% 
% No - observation number (1,...,294).
% TIME - survival time of halibut (time until death) in hours.
%        (NOTE the Table 1 in the book claims survival time is in minutes,
%        but HOURS is the correct unit)
% CENSOR - censoring indicator.  1=uncensored observation;
%                0=censored observation.
% TOWD - duration (in minutes) of time trawl net was towed on the bottom.
% DELDEPTH - difference between maximum and minimum depth observed during tow
%            (depth measured in meters).
% LENGTH - fork length of halibut in centimeters.
% HANDTIME - handling time (in minutes)  between net coming on board vessel 
%              and fish being placed  in holding tanks.
% LOGCAT - natural logarithm of total catch of fish in tow.
% 
% 
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation csb-ch7

@attribute No INTEGER
@attribute TIME REAL
@attribute CENSOR {0,1}
@attribute TOWD {30,100}
@attribute DELDEPTH INTEGER
@attribute LENGTH INTEGER
@attribute HANDTIME INTEGER
@attribute LOGCAT REAL

@data
1,209.0,1,30,13,41,8,6.992
2,209.0,1,30,13,44,8,6.992
3,209.0,1,30,13,47,10,6.992
4,209.0,1,30,13,34,10,6.992
5,38.0,1,30,13,40,11,6.992
6,209.0,1,30,13,42,11,6.992
7,140.9,1,30,13,41,12,6.992
8,140.9,1,30,13,30,12,6.992
9,140.1,1,30,1,45,4,4.299
10,208.0,1,30,1,47,5,4.299
11,140.1,1,30,1,44,5,4.299
12,39.3,1,30,1,37,5,4.299
13,45.3,1,30,1,44,6,4.299
14,50.3,1,30,1,44,6,4.299
15,139.1,1,30,6,46,8,2.904
16,279.0,1,30,6,49,8,2.904
17,92.0,1,30,6,39,9,2.904
18,207.0,1,30,6,46,9,2.904
19,207.0,1,30,6,43,9,2.904
20,139.8,1,30,6,44,10,2.904
21,139.8,1,30,6,50,10,2.904
22,66.5,1,30,2,31,3,2.908
23,397.0,1,30,2,52,3,2.908
24,32.3,1,30,2,47,3,2.908
25,44.3,1,30,2,40,4,2.908
26,1200.0,0,30,2,48,5,2.908
27,85.0,1,30,2,48,5,2.908
28,28.2,1,30,2,48,7,2.908
29,228.0,1,30,2,51,1,3.597
30,136.3,1,30,2,29,1,3.597
31,44.9,1,30,3,47,12,3.356
32,42.1,1,30,3,50,14,3.356
33,55.7,1,30,3,41,14,3.356
34,42.1,1,30,3,40,14,3.356
35,40.1,1,30,3,45,15,3.356
36,44.8,1,30,3,40,15,3.356
37,19.9,1,30,3,48,16,3.356
38,21.1,1,30,3,36,17,3.356
39,65.7,1,30,4,43,4,3.468
40,44.1,1,30,4,42,4,3.468
41,19.4,1,30,4,32,5,3.468
42,44.1,1,30,4,36,5,3.468
43,50.3,1,30,4,32,6,3.468
44,16.4,1,30,4,34,6,3.468
45,157.4,1,30,5,46,3,3.062
46,29.5,1,30,5,32,2,3.049
47,63.8,1,30,5,33,3,3.049
48,37.5,1,30,5,47,3,3.049
49,48.5,1,30,5,42,4,3.049
50,132.5,1,30,5,44,4,3.049
51,23.5,1,30,5,37,4,3.049
52,27.5,1,30,5,32,5,3.049
53,72.0,1,30,2,38,6,6.311
54,1200.0,0,30,2,45,11,6.311
55,216.0,1,30,2,57,12,6.311
56,20.6,1,30,5,44,2,4.126
57,30.6,1,30,5,50,2,4.126
58,10.6,1,30,5,43,3,4.126
59,22.1,1,30,5,49,3,4.126
60,123.6,1,30,5,43,3,4.126
61,22.1,1,30,5,41,4,4.126
62,264.0,1,30,5,43,4,4.126
63,30.6,1,30,5,41,5,4.126
64,14.6,1,30,5,45,5,4.126
65,11.2,1,30,5,37,5,4.126
66,28.6,1,30,5,42,6,4.126
67,30.6,1,30,5,44,6,4.126
