% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-enrollment

@attribute School {1,2,3,4,5,6,7}
@attribute Time_period {1,2,3,4,5,6,7,8}
@attribute Count INTEGER

@data
1,1,93
2,1,138
3,1,42
4,1,63
5,1,60
6,1,174
7,1,78
1,2,96
2,2,141
3,2,45
4,2,63
5,2,60
6,2,165
7,2,69
1,3,99
2,3,141
3,3,42
4,3,72
5,3,54
6,3,156
7,3,84
1,4,99
2,4,201
3,4,48
4,4,66
5,4,51
6,4,156
7,4,78
1,5,147
2,5,189
3,5,54
4,5,78
5,5,51
6,5,153
7,5,54
1,6,144
2,6,153
3,6,48
4,6,78
5,6,45
6,6,150
7,6,66
1,7,87
2,7,135
3,7,45
4,7,82
5,7,39
6,7,156
7,7,78
1,8,87
2,8,114
3,8,45
4,8,63
5,8,36
6,8,159
7,8,78
