%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%

@relation arsenic-female-lung

@attribute group {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43}
@attribute conc INTEGER
@attribute age REAL
@attribute at.risk INTEGER
@attribute events INTEGER

@data
1,0,22.5,2595529,7
1,0,27.5,1846189,19
1,0,32.5,1402764,17
1,0,37.5,1215899,41
1,0,42.5,1191615,75
1,0,47.5,1111810,112
1,0,52.5,957985,160
1,0,57.5,774836,200
1,0,62.5,634758,258
1,0,67.5,492203,230
1,0,72.5,342767,190
1,0,77.5,199630,108
1,0,82.5,96293,45
2,10,22.5,934,0
2,10,27.5,489,0
2,10,32.5,276,0
2,10,37.5,317,0
2,10,42.5,374,0
2,10,47.5,435,0
2,10,52.5,342,0
2,10,57.5,277,0
2,10,62.5,203,2
2,10,67.5,175,3
2,10,72.5,105,0
2,10,77.5,78,0
2,10,82.5,38,0
3,11,22.5,666,0
3,11,27.5,267,0
3,11,32.5,310,0
3,11,37.5,221,0
3,11,42.5,311,1
3,11,47.5,292,0
3,11,52.5,295,0
3,11,57.5,265,0
3,11,62.5,203,0
3,11,67.5,143,0
3,11,72.5,93,0
3,11,77.5,69,0
3,11,82.5,59,0
4,30,22.5,1003,1
4,30,27.5,591,0
4,30,32.5,481,0
4,30,37.5,405,0
4,30,42.5,462,1
4,30,47.5,397,0
4,30,52.5,392,1
4,30,57.5,353,1
4,30,62.5,317,0
4,30,67.5,199,1
4,30,72.5,115,0
4,30,77.5,71,0
4,30,82.5,75,0
5,32,22.5,1545,0
5,32,27.5,865,0
5,32,32.5,673,0
5,32,37.5,709,0
5,32,42.5,744,0
5,32,47.5,644,0
5,32,52.5,563,2
5,32,57.5,439,0
5,32,62.5,318,0
5,32,67.5,238,0
5,32,72.5,167,0
5,32,77.5,92,0
5,32,82.5,36,0
6,32,22.5,469,0
6,32,27.5,260,0
6,32,32.5,198,0
6,32,37.5,199,0
6,32,42.5,183,0
6,32,47.5,227,0
6,32,52.5,162,0
6,32,57.5,219,0
6,32,62.5,194,0
6,32,67.5,126,0
6,32,72.5,77,0
6,32,77.5,35,1
6,32,82.5,43,0
7,42,22.5,2063,0
7,42,27.5,1267,0
7,42,32.5,1101,0
7,42,37.5,1038,0
7,42,42.5,984,0
7,42,47.5,932,0
7,42,52.5,738,0
7,42,57.5,567,0
7,42,62.5,497,0
7,42,67.5,427,0
7,42,72.5,321,0
7,42,77.5,178,0
7,42,82.5,114,0
8,45,22.5,1432,0
8,45,27.5,830,0
8,45,32.5,553,0
8,45,37.5,520,0
8,45,42.5,650,0
8,45,47.5,710,0
8,45,52.5,662,0
8,45,57.5,456,0
8,45,62.5,320,0
8,45,67.5,232,0
8,45,72.5,213,0
8,45,77.5,129,0
8,45,82.5,113,0
9,50,22.5,1100,0
9,50,27.5,603,0
9,50,32.5,436,0
9,50,37.5,525,0
9,50,42.5,624,0
9,50,47.5,636,0
9,50,52.5,466,0
9,50,57.5,366,0
9,50,62.5,370,0
9,50,67.5,309,0
9,50,72.5,214,0
9,50,77.5,111,0
9,50,82.5,128,0
10,56,22.5,1105,0
10,56,27.5,480,0
10,56,32.5,414,0
10,56,37.5,466,0
10,56,42.5,582,0
10,56,47.5,563,1
10,56,52.5,447,1
10,56,57.5,365,0
10,56,62.5,283,2
10,56,67.5,168,2
10,56,72.5,125,1
10,56,77.5,57,0
10,56,82.5,39,0
11,60,22.5,1893,0
11,60,27.5,1032,0
11,60,32.5,668,0
11,60,37.5,787,0
11,60,42.5,950,1
11,60,47.5,878,0
11,60,52.5,807,0
11,60,57.5,629,0
11,60,62.5,559,0
11,60,67.5,455,0
11,60,72.5,298,0
11,60,77.5,150,0
11,60,82.5,121,0
12,65,22.5,1199,0
12,65,27.5,587,0
12,65,32.5,451,0
12,65,37.5,491,0
12,65,42.5,521,1
12,65,47.5,553,0
12,65,52.5,537,0
12,65,57.5,487,0
12,65,62.5,404,1
12,65,67.5,299,1
12,65,72.5,197,0
12,65,77.5,103,2
12,65,82.5,98,0
13,73,22.5,2394,0
13,73,27.5,1360,0
13,73,32.5,1183,0
13,73,37.5,1209,0
13,73,42.5,1261,0
13,73,47.5,1046,0
13,73,52.5,853,0
13,73,57.5,725,0
13,73,62.5,671,0
13,73,67.5,546,0
13,73,72.5,355,0
