% Data Sets for 'Regression Models for Time Series Analysis' by
% B. Kedem and K. Fokianos, Wiley 2002. Submitted by Kostas
% Fokianos (fokianos@ucy.ac.cy) [8/Nov/02] (176k)
%
% Note: - attribute names were generated manually
%       - information about data taken from here:
%         http://lib.stat.cmu.edu/datasets/
%
% File: ../data/rmftsa/sleepdata.txt
%
% Sleep state measurements of a newborn infant (column 2) together 
% with his heart rate (column 1) and temperature (column 3).
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation rmftsa-sleepdata

@attribute heart_rate INTEGER
@attribute sleep_state {1,2,3,4}
@attribute temperature REAL

@data
152,4,37.45
156,4,37.45
147,4,37.45
145,4,37.45
129,4,37.45
131,4,37.45
137,4,37.45
138,4,37.45
139,4,37.4
141,4,37.4
142,4,37.4
128,4,37.4
142,4,37.4
155,4,37.4
150,4,37.4
146,4,37.4
150,4,37.4
146,4,37.4
151,4,37.4
145,4,37.4
146,4,37.4
146,4,37.4
139,4,37.4
135,4,37.4
141,4,37.35
145,4,37.35
149,4,37.35
140,4,37.35
146,4,37.35
147,4,37.4
144,4,37.4
140,4,37.4
135,4,37.35
118,4,37.35
120,4,37.35
135,4,37.35
146,4,37.3
139,4,37.35
138,4,37.3
129,4,37.3
130,4,37.3
128,4,37.3
125,4,37.35
127,4,37.35
131,4,37.35
132,4,37.35
145,4,37.35
153,4,37.4
154,4,37.35
145,4,37.35
146,4,37.35
140,4,37.35
134,4,37.35
128,4,37.35
127,4,37.35
140,4,37.35
143,4,37.35
138,4,37.35
124,4,37.35
123,4,37.35
131,4,37.35
151,4,37.35
136,4,37.35
126,2,37.3
127,2,37.35
129,2,37.35
124,2,37.35
128,2,37.35
130,2,37.35
121,2,37.35
141,2,37.3
128,2,37.35
130,2,37.3
124,2,37.3
128,1,37.35
122,1,37.3
130,1,37.3
130,1,37.3
135,1,37.3
125,1,37.3
123,1,37.3
127,1,37.3
125,1,37.3
125,1,37.25
129,1,37.25
128,1,37.25
130,1,37.25
128,1,37.2
130,1,37.2
129,1,37.2
129,1,37.2
129,1,37.2
130,1,37.2
131,1,37.2
131,1,37.2
130,1,37.2
131,1,37.2
131,1,37.2
132,1,37.2
129,1,37.2
131,1,37.2
131,1,37.15
128,1,37.15
127,1,37.15
128,1,37.15
129,1,37.15
131,1,37.15
131,1,37.15
131,1,37.15
131,1,37.15
129,1,37.15
125,1,37.15
124,1,37.15
130,1,37.15
125,1,37.15
126,1,37.15
127,1,37.15
124,1,37.15
122,1,37.15
128,1,37.15
128,1,37.15
126,1,37.15
130,1,37.15
114,1,37.15
123,1,37.15
116,3,37.15
127,3,37.15
123,3,37.15
131,3,37.15
125,3,37.15
123,3,37.15
125,3,37.15
123,3,37.15
114,3,37.15
120,3,37.1
130,3,37.15
126,3,37.15
112,3,37.15
114,3,37.15
125,3,37.15
128,3,37.15
115,3,37.1
121,3,37.15
124,3,37.15
128,3,37.15
