% Dow-Jones Industrial Average (DJIA) closing values from 1900 to 1993.
% First column contains the date (yymmdd), second column contains the value.
% These data are used in: E.Ley (1996): "On the Peculiar Distribution of the
% U.S. Stock Indices;" forthcoming in  The American Statistician.
% ---
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%

@relation djdc0093

@attribute date DATE yyMMdd
@attribute closing_value REAL

@data
000102,68.13
000103,66.61
000104,67.15
000105,66.71
000106,66.02
000108,66.41
000109,64.99
000110,64.14
000111,63.27
000112,64.93
000113,64.80
000115,64.22
000116,64.29
000117,64.56
000118,64.28
000119,65.29
000120,64.83
000122,65.37
000123,64.38
000124,64.72
000125,65.05
000126,64.23
000127,64.27
000129,64.45
000130,66.06
000131,66.13
000201,67.34
000202,67.86
000203,67.88
000205,69.36
000206,68.03
000207,67.94
000208,67.46
000209,66.86
000210,66.66
000212,-9.00
000213,67.39
000214,66.90
000215,67.08
000216,66.40
000217,65.81
000219,66.25
000220,66.16
000221,65.59
000222,-9.00
000223,64.52
000224,64.12
000226,63.56
000227,63.35
000228,63.96
000301,63.59
000302,61.95
000303,62.76
000305,62.12
000306,61.87
000307,61.83
000308,61.39
000309,61.11
000310,61.68
000312,63.31
000313,62.88
000314,62.03
000315,61.81
000316,61.91
000317,62.50
000319,62.91
000320,63.45
000321,64.08
000322,64.06
000323,63.67
000324,64.26
000326,64.06
000327,64.71
000328,65.12
000329,64.07
000330,65.39
000331,66.02
000402,65.55
000403,65.17
000404,65.11
000405,65.47
000406,66.15
000407,66.15
000409,65.46
000410,64.55
000411,64.78
000412,64.40
000413,-9.00
000414,-9.00
000416,61.55
000417,61.80
000418,61.82
000419,62.38
000420,62.20
000421,60.47
000423,61.19
000424,61.69
000425,61.89
000426,63.05
000427,62.25
000428,61.79
000430,61.33
000501,61.32
000502,61.05
000503,61.02
000504,61.18
000505,61.36
000507,60.62
000508,59.26
000509,59.94
000510,60.10
000511,58.62
000512,58.12
000514,57.55
000515,56.62
000516,57.12
000517,56.76
000518,57.76
000519,58.18
000521,57.40
000522,58.10
000523,58.35
000524,57.51
000525,57.26
000526,57.55
000528,57.67
000529,58.01
000530,-9.00
000531,59.10
000601,59.38
000602,58.80
000604,57.97
000605,57.48
000606,56.98
000607,57.56
000608,56.62
000609,56.41
000611,56.03
000612,56.15
000613,57.12
000614,56.51
000615,56.17
000616,55.42
000618,54.96
000619,55.08
000620,54.39
000621,54.65
000622,54.11
000623,53.68
000625,53.68
000626,54.00
000627,54.11
000628,54.75
000629,54.83
000630,54.93
000702,55.48
000703,55.67
000704,-9.00
000705,56.51
000706,56.13
000707,56.03
000709,55.76
000710,56.91
000711,56.77
000712,56.71
000713,55.98
000714,55.88
000716,56.22
000717,56.75
000718,56.61
000719,57.27
000720,58.35
000721,58.41
000723,59.02
000724,58.35
000725,58.18
000726,57.93
000727,58.03
000728,57.70
000730,57.13
000731,56.80
000801,57.06
000802,57.21
000803,57.29
000804,57.70
000806,57.57
000807,57.71
000808,57.88
000809,57.74
000810,58.00
000811,58.09
000813,58.50
000814,58.77
000815,58.90
000816,58.86
000817,58.84
000818,58.69
000820,58.80
000821,58.55
000822,58.65
000823,58.42
000824,58.30
000825,58.17
000827,58.22
000828,57.79
000829,58.43
000830,58.39
000831,57.81
000901,-9.00
000903,-9.00
000904,58.55
000905,58.58
000906,58.50
000907,58.32
000908,57.88
000910,58.07
000911,58.10
000912,58.25
000913,58.20
000914,57.47
000915,56.56
000917,56.67
000918,56.63
000919,55.63
000920,54.37
000921,54.37
000922,53.43
000924,52.96
000925,53.13
000926,53.25
000927,54.53
000928,54.14
000929,54.27
001001,54.96
001002,54.52
001003,54.74
001004,55.29
001005,55.70
001006,55.51
001008,55.38
001009,55.51
001010,54.90
001011,55.34
001012,56.09
001013,56.58
001015,57.90
001016,57.82
001017,57.89
001018,58.46
001019,58.73
001020,59.54
001022,60.63
001023,60.79
001024,60.79
001025,60.64
001026,60.50
001027,60.08
001029,59.31
001030,59.53
001031,59.04
001101,59.18
001102,59.39
001103,59.80
001105,60.87
001106,-9.00
001107,62.90
001108,63.76
001109,65.15
001110,66.48
001112,67.33
001113,65.73
001114,66.23
001115,66.81
001116,68.19
001117,68.70
001119,68.88
001120,69.07
001121,68.97
001122,68.41
001123,66.92
001124,66.75
001126,67.23
001127,67.01
001128,66.59
001129,-9.00
001130,66.59
001201,66.35
001203,66.43
001204,65.42
001205,66.05
001206,65.07
001207,64.17
001208,63.98
001210,64.65
001211,65.54
001212,65.45
001213,64.89
001214,65.54
001215,65.94
001217,65.70
001218,66.52
001219,67.19
001220,67.38
001221,68.63
001222,70.03
001224,-9.00
001225,-9.00
001226,70.85
001227,71.04
001228,69.79
001229,70.20
001231,70.71
010101,-9.00
010102,70.44
010103,67.97
010104,69.33
010105,67.68
010107,67.12
010108,67.65
010109,67.53
010110,67.89
010111,67.85
010112,67.36
010114,67.26
010115,66.50
010116,65.71
010117,65.30
010118,65.21
010119,64.77
010121,64.92
010122,65.53
010123,66.37
010124,65.65
010125,66.16
010126,66.68
010128,66.29
010129,66.56
010130,66.72
010131,66.81
010201,67.71
010202,-9.00
010204,68.46
010205,69.27
010206,69.89
010207,69.33
010208,69.80
010209,70.16
010211,70.48
010212,-9.00
010213,69.45
010214,70.62
010215,70.78
010216,70.18
010218,68.92
010219,68.37
010220,67.96
010221,68.55
010222,-9.00
010223,-9.00
010225,68.27
010226,67.36
010227,68.11
010228,67.00
010301,67.76
010302,67.67
010304,67.58
010305,67.35
010306,67.39
010307,67.72
010308,67.55
010309,67.30
010311,67.48
010312,67.28
010313,67.18
010314,67.54
010315,67.33
010316,67.47
010318,68.42
010319,68.73
010320,68.82
010321,68.93
010322,68.92
010323,68.82
010325,68.59
010326,68.52
010327,69.27
010328,69.39
010329,69.43
010330,69.92
010401,70.91
010402,71.02
010403,71.35
010404,72.01
010405,-9.00
010406,-9.00
010408,71.47
010409,72.51
010410,73.11
010411,72.62
010412,72.88
010413,73.65
010415,75.35
010416,75.42
010417,74.88
010418,75.10
010419,75.89
010420,75.66
010422,74.56
010423,73.80
010424,73.21
010425,73.63
010426,74.35
010427,-9.00
010429,75.23
010430,75.80
010501,75.93
010502,75.19
010503,74.37
010504,74.90
010506,75.55
010507,75.02
010508,71.72
010509,67.38
010510,71.67
010511,-9.00
010513,71.92
010514,69.59
010515,70.06
010516,70.84
010517,73.09
010518,73.86
010520,72.76
010521,73.44
010522,73.51
010523,72.83
010524,73.73
010525,73.62
010527,73.67
010528,74.01
010529,74.51
010530,-9.00
010531,75.77
010601,76.59
010603,77.73
010604,77.07
010605,76.37
010606,76.45
010607,76.31
010608,76.07
010610,76.27
010611,76.11
010612,76.55
010613,77.31
010614,77.07
010615,77.43
010617,78.26
010618,77.82
010619,77.56
010620,77.22
010621,77.94
010622,77.71
010624,77.71
010625,76.93
010626,76.87
010627,76.82
010628,76.47
010629,77.94
010701,77.08
010702,77.07
010703,76.60
010704,-9.00
010705,-9.00
010706,-9.00
010708,74.04
010709,74.66
010710,72.78
010711,72.22
010712,70.77
010713,71.05
010715,69.46
010716,69.67
010717,71.55
010718,71.91
010719,71.97
010720,71.32
010722,70.43
010723,71.39
010724,70.91
010725,71.69
010726,72.13
010727,72.70
010729,72.94
010730,72.65
010731,71.63
010801,71.71
010802,71.28
010803,71.22
010805,69.21
010806,69.05
010807,69.53
010808,70.42
010809,69.66
010810,69.36
010812,69.91
010813,70.33
010814,70.71
010815,71.71
010816,71.58
010817,71.01
010819,71.01
010820,71.08
010821,71.40
010822,72.10
010823,73.03
010824,73.70
010826,73.83
010827,72.81
010828,72.71
010829,72.82
010830,73.47
010831,-9.00
010902,-9.00
010903,72.65
010904,73.27
010905,73.06
010906,72.23
010907,69.03
010909,70.69
010910,71.45
010911,71.01
010912,70.25
010913,67.25
010914,-9.00
010916,70.01
010917,69.87
010918,70.25
010919,-9.00
010920,70.47
010921,69.73
010923,67.57
010924,67.43
010925,66.22
010926,66.89
010927,67.69
010928,67.40
010930,66.66
011001,66.07
011002,65.94
011003,64.48
011004,64.57
011005,63.48
011007,63.72
011008,63.84
011009,64.13
011010,65.36
011011,65.91
011012,65.52
011014,65.79
011015,65.30
011016,64.91
011017,65.23
011018,65.48
011019,65.81
011021,65.42
011022,65.66
011023,65.66
011024,65.44
011025,65.29
011026,65.09
011028,64.01
011029,64.46
011030,64.86
011031,64.45
011101,64.67
011102,64.83
011104,64.48
011105,-9.00
011106,64.56
011107,64.78
011108,65.10
011109,65.66
011111,66.52
011112,66.35
011113,66.03
011114,65.36
011115,66.10
011116,66.12
011118,65.87
011119,65.62
011120,65.15
011121,65.45
011122,65.88
011123,65.68
011125,65.15
011126,65.18
011127,65.78
011128,-9.00
011129,65.68
011130,65.01
011202,64.02
011203,64.44
011204,64.87
011205,64.84
011206,63.82
011207,62.96
011209,63.68
011210,63.27
011211,62.75
011212,61.61
011213,61.84
011214,62.22
011216,61.95
011217,62.27
011218,62.79
011219,62.86
011220,63.17
011221,63.12
011223,62.11
011224,61.52
011225,-9.00
011226,62.62
011227,63.31
011228,63.76
011230,63.33
011231,64.56
020101,-9.00
020102,64.32
020103,64.25
020104,64.59
020106,64.90
020107,64.22
020108,64.87
020109,64.08
020110,63.85
020111,64.02
020113,63.31
020114,62.57
020115,63.16
020116,63.59
020117,64.02
020118,63.54
020120,63.45
020121,63.44
020122,63.54
020123,64.01
020124,64.13
020125,63.90
020127,64.17
020128,65.17
020129,64.76
020130,64.87
020131,64.95
020201,65.04
020203,64.77
020204,64.62
020205,64.96
020206,64.92
020207,65.31
020208,64.94
020210,64.82
020211,65.16
020212,-9.00
020213,64.58
