% This S dump contains 22 data sets from the
% book Visualizing Data published by
% Hobart Press (books@hobart.com).
% The dump was created by data.dump()
% and can be read back into S by data.restore().
% The name of each S data set is the name of
% the data set used in the book. To find the
% description of the data set in the book look
% under the entry - data, name - in the index.
% For example, one data set is barley.
% To find the description of barley, look
% in the index under the entry - data, barley.
%
% File: ../data/visualizing/fly.csv
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation visualizing-fly

@attribute facet REAL
@attribute temperature {15,17,19,21,23,25,27,29,31}

@data
8.07,15
8.07,15
8.07,15
7.07,15
7.07,15
7.07,15
7.07,15
7.07,15
6.07,15
6.07,15
6.07,15
6.07,15
6.07,15
6.07,15
6.07,15
6.07,15
6.07,15
6.07,15
6.07,15
6.07,15
6.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
5.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
4.07,15
3.0700000000000003,15
3.0700000000000003,15
3.0700000000000003,15
3.0700000000000003,15
3.0700000000000003,15
3.0700000000000003,15
3.0700000000000003,15
3.0700000000000003,15
3.0700000000000003,15
3.0700000000000003,15
3.0700000000000003,15
3.0700000000000003,15
2.0700000000000003,15
2.0700000000000003,15
2.0700000000000003,15
2.0700000000000003,15
2.0700000000000003,15
2.0700000000000003,15
2.0700000000000003,15
1.0700000000000003,15
1.0700000000000003,15
1.0700000000000003,15
8.07,17
7.07,17
7.07,17
6.07,17
6.07,17
6.07,17
6.07,17
6.07,17
6.07,17
6.07,17
5.07,17
5.07,17
5.07,17
5.07,17
5.07,17
5.07,17
5.07,17
5.07,17
5.07,17
4.07,17
4.07,17
4.07,17
4.07,17
4.07,17
4.07,17
4.07,17
4.07,17
4.07,17
4.07,17
3.0700000000000003,17
3.0700000000000003,17
3.0700000000000003,17
3.0700000000000003,17
3.0700000000000003,17
3.0700000000000003,17
3.0700000000000003,17
3.0700000000000003,17
3.0700000000000003,17
3.0700000000000003,17
2.0700000000000003,17
2.0700000000000003,17
2.0700000000000003,17
2.0700000000000003,17
2.0700000000000003,17
1.0700000000000003,17
1.0700000000000003,17
1.0700000000000003,17
1.0700000000000003,17
0.07000000000000028,17
0.07000000000000028,17
0.07000000000000028,17
-0.9299999999999997,17
-2.9299999999999997,17
-2.9299999999999997,17
8.07,19
7.07,19
7.07,19
7.07,19
7.07,19
7.07,19
6.07,19
6.07,19
6.07,19
5.07,19
5.07,19
4.07,19
4.07,19
4.07,19
4.07,19
4.07,19
4.07,19
4.07,19
4.07,19
4.07,19
4.07,19
4.07,19
4.07,19
4.07,19
4.07,19
4.07,19
4.07,19
3.0700000000000003,19
3.0700000000000003,19
3.0700000000000003,19
3.0700000000000003,19
3.0700000000000003,19
3.0700000000000003,19
3.0700000000000003,19
3.0700000000000003,19
3.0700000000000003,19
3.0700000000000003,19
3.0700000000000003,19
3.0700000000000003,19
2.0700000000000003,19
2.0700000000000003,19
2.0700000000000003,19
2.0700000000000003,19
2.0700000000000003,19
2.0700000000000003,19
2.0700000000000003,19
2.0700000000000003,19
2.0700000000000003,19
2.0700000000000003,19
2.0700000000000003,19
2.0700000000000003,19
2.0700000000000003,19
2.0700000000000003,19
1.0700000000000003,19
1.0700000000000003,19
1.0700000000000003,19
1.0700000000000003,19
1.0700000000000003,19
1.0700000000000003,19
1.0700000000000003,19
1.0700000000000003,19
1.0700000000000003,19
1.0700000000000003,19
1.0700000000000003,19
1.0700000000000003,19
1.0700000000000003,19
1.0700000000000003,19
0.07000000000000028,19
0.07000000000000028,19
0.07000000000000028,19
0.07000000000000028,19
0.07000000000000028,19
0.07000000000000028,19
0.07000000000000028,19
-0.9299999999999997,19
-0.9299999999999997,19
-0.9299999999999997,19
-0.9299999999999997,19
-0.9299999999999997,19
-0.9299999999999997,19
-0.9299999999999997,19
-1.9299999999999997,19
-2.9299999999999997,19
7.07,21
5.07,21
3.0700000000000003,21
3.0700000000000003,21
3.0700000000000003,21
3.0700000000000003,21
3.0700000000000003,21
3.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
2.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
1.0700000000000003,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
0.07000000000000028,21
-0.9299999999999997,21
-0.9299999999999997,21
-0.9299999999999997,21
-0.9299999999999997,21
-0.9299999999999997,21
-0.9299999999999997,21
-0.9299999999999997,21
-0.9299999999999997,21
-0.9299999999999997,21
-0.9299999999999997,21
-0.9299999999999997,21
-0.9299999999999997,21
-1.9299999999999997,21
-1.9299999999999997,21
-1.9299999999999997,21
-1.9299999999999997,21
-1.9299999999999997,21
-1.9299999999999997,21
-1.9299999999999997,21
-1.9299999999999997,21
-1.9299999999999997,21
-2.9299999999999997,21
-2.9299999999999997,21
-2.9299999999999997,21
-2.9299999999999997,21
-2.9299999999999997,21
-3.9299999999999997,21
-3.9299999999999997,21
-4.93,21
3.0700000000000003,23
2.0700000000000003,23
2.0700000000000003,23
1.0700000000000003,23
1.0700000000000003,23
1.0700000000000003,23
1.0700000000000003,23
1.0700000000000003,23
1.0700000000000003,23
1.0700000000000003,23
1.0700000000000003,23
0.07000000000000028,23
0.07000000000000028,23
0.07000000000000028,23
0.07000000000000028,23
0.07000000000000028,23
0.07000000000000028,23
0.07000000000000028,23
-0.9299999999999997,23
-0.9299999999999997,23
-0.9299999999999997,23
-0.9299999999999997,23
-0.9299999999999997,23
-0.9299999999999997,23
-0.9299999999999997,23
-0.9299999999999997,23
-0.9299999999999997,23
-0.9299999999999997,23
-0.9299999999999997,23
-1.9299999999999997,23
-1.9299999999999997,23
-1.9299999999999997,23
-1.9299999999999997,23
-1.9299999999999997,23
-1.9299999999999997,23
-1.9299999999999997,23
-1.9299999999999997,23
-1.9299999999999997,23
-1.9299999999999997,23
-1.9299999999999997,23
-1.9299999999999997,23
-1.9299999999999997,23
-1.9299999999999997,23
-2.9299999999999997,23
-2.9299999999999997,23
-2.9299999999999997,23
-2.9299999999999997,23
-2.9299999999999997,23
-2.9299999999999997,23
-2.9299999999999997,23
-2.9299999999999997,23
-2.9299999999999997,23
-2.9299999999999997,23
-2.9299999999999997,23
-2.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-3.9299999999999997,23
-4.93,23
-4.93,23
-4.93,23
-4.93,23
-5.93,23
-5.93,23
-6.93,23
-6.93,23
-7.93,23
-7.93,23
-7.93,23
-8.93,23
4.07,25
4.07,25
3.0700000000000003,25
3.0700000000000003,25
3.0700000000000003,25
2.0700000000000003,25
2.0700000000000003,25
1.0700000000000003,25
1.0700000000000003,25
1.0700000000000003,25
1.0700000000000003,25
1.0700000000000003,25
1.0700000000000003,25
1.0700000000000003,25
1.0700000000000003,25
1.0700000000000003,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
0.07000000000000028,25
