% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/ex0725.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-ex0725

@attribute force REAL
@attribute height REAL
@attribute code {1,2,3}

@data
3.2,5.0,1
6.4,6.0,1
2.0,6.4,1
2.0,6.5,1
4.9,6.6,1
3.0,7.0,1
2.9,7.9,1
9.5,7.9,1
4.0,8.0,1
3.4,8.2,1
7.4,8.3,1
2.4,8.8,1
4.0,12.1,1
5.2,12.2,1
2.1,5.1,2
8.7,5.9,2
2.9,6.6,2
6.9,7.2,2
8.7,8.6,2
15.1,7.9,2
14.6,8.1,2
17.6,9.6,2
20.6,10.2,2
19.6,10.5,2
27.4,8.2,2
29.4,11.0,2
5.0,6.7,3
7.8,7.1,3
14.6,11.2,3
16.8,11.4,3
17.7,9.4,3
19.8,10.7,3
19.6,13.1,3
22.5,9.4,3
23.6,11.6,3
24.4,10.2,3
26.0,12.5,3
29.4,11.8,3
