% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/case0802.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-case0802

@attribute time REAL
@attribute voltage {26,28,30,32,34,36,38}
@attribute code {1,2,3,4,5,6,7}

@data
5.79,26,1
1579.52,26,1
2323.7,26,1
68.85,28,2
108.29,28,2
110.29,28,2
426.07,28,2
1067.6,28,2
7.74,30,3
17.05,30,3
20.46,30,3
21.02,30,3
22.66,30,3
43.4,30,3
47.3,30,3
139.07,30,3
144.12,30,3
175.88,30,3
194.9,30,3
0.27,32,4
0.4,32,4
0.69,32,4
0.79,32,4
2.75,32,4
3.91,32,4
9.88,32,4
13.95,32,4
15.93,32,4
27.8,32,4
53.24,32,4
82.85,32,4
89.29,32,4
100.59,32,4
215.1,32,4
0.19,34,5
0.78,34,5
0.96,34,5
1.31,34,5
2.78,34,5
3.16,34,5
4.15,34,5
4.67,34,5
4.85,34,5
6.5,34,5
7.35,34,5
8.01,34,5
8.27,34,5
12.06,34,5
31.75,34,5
32.52,34,5
33.91,34,5
36.71,34,5
72.89,34,5
0.35,36,6
0.59,36,6
0.96,36,6
0.99,36,6
1.69,36,6
1.97,36,6
2.07,36,6
2.58,36,6
2.71,36,6
2.9,36,6
3.67,36,6
3.99,36,6
5.35,36,6
13.77,36,6
25.5,36,6
0.09,38,7
0.39,38,7
0.47,38,7
0.73,38,7
0.74,38,7
1.13,38,7
1.4,38,7
2.38,38,7
