% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-apnea3

@attribute Automatic {CA,H,MA,N,OA}
@attribute Scorer_2 {CA,H,MA,N,OA}
@attribute Subject INTEGER
@attribute Count INTEGER

@data
N,N,1,14633
H,N,1,283
OA,N,1,237
MA,N,1,60
CA,N,1,1280
N,H,1,1236
H,H,1,1582
OA,H,1,876
MA,H,1,197
CA,H,1,747
N,OA,1,9
H,OA,1,42
OA,OA,1,0
MA,OA,1,0
CA,OA,1,19
N,MA,1,26
H,MA,1,28
OA,MA,1,16
MA,MA,1,0
CA,MA,1,20
N,CA,1,1696
H,CA,1,16
OA,CA,1,37
MA,CA,1,0
CA,CA,1,960
N,N,2,14435
H,N,2,42
OA,N,2,0
MA,N,2,2
CA,N,2,2465
N,H,2,282
H,H,2,276
OA,H,2,0
MA,H,2,0
CA,H,2,392
N,OA,2,21
H,OA,2,0
OA,OA,2,0
MA,OA,2,0
CA,OA,2,0
N,MA,2,22
H,MA,2,15
OA,MA,2,0
MA,MA,2,0
CA,MA,2,22
N,CA,2,3157
H,CA,2,17
OA,CA,2,0
MA,CA,2,13
CA,CA,2,4339
N,N,3,10871
H,N,3,1
OA,N,3,26
MA,N,3,0
CA,N,3,488
N,H,3,12
H,H,3,15
OA,H,3,0
MA,H,3,0
CA,H,3,20
N,OA,3,3
H,OA,3,0
OA,OA,3,0
MA,OA,3,0
CA,OA,3,11
N,MA,3,0
H,MA,3,0
OA,MA,3,0
MA,MA,3,0
CA,MA,3,0
N,CA,3,790
H,CA,3,0
OA,CA,3,9
MA,CA,3,0
CA,CA,3,1254
N,N,4,14540
H,N,4,0
OA,N,4,0
MA,N,4,0
CA,N,4,460
N,H,4,0
H,H,4,0
OA,H,4,0
MA,H,4,0
CA,H,4,0
N,OA,4,0
H,OA,4,0
OA,OA,4,0
MA,OA,4,0
CA,OA,4,0
N,MA,4,0
H,MA,4,0
OA,MA,4,0
MA,MA,4,0
CA,MA,4,0
N,CA,4,0
H,CA,4,0
OA,CA,4,0
MA,CA,4,0
CA,CA,4,0
N,N,5,16848
H,N,5,70
OA,N,5,10
MA,N,5,0
CA,N,5,4072
N,H,5,6
H,H,5,0
OA,H,5,0
MA,H,5,0
CA,H,5,32
N,OA,5,2
H,OA,5,0
OA,OA,5,0
MA,OA,5,0
CA,OA,5,37
N,MA,5,0
H,MA,5,0
OA,MA,5,0
MA,MA,5,0
CA,MA,5,0
N,CA,5,716
H,CA,5,106
OA,CA,5,0
MA,CA,5,0
CA,CA,5,2101
N,N,6,13650
H,N,6,51
OA,N,6,0
MA,N,6,0
CA,N,6,2108
N,H,6,339
H,H,6,349
OA,H,6,12
MA,H,6,0
CA,H,6,806
N,OA,6,0
H,OA,6,0
OA,OA,6,0
MA,OA,6,0
CA,OA,6,0
N,MA,6,0
H,MA,6,0
OA,MA,6,0
MA,MA,6,0
CA,MA,6,0
N,CA,6,2662
H,CA,6,25
OA,CA,6,0
MA,CA,6,0
CA,CA,6,4998
N,N,7,14169
H,N,7,78
OA,N,7,14
MA,N,7,0
CA,N,7,2872
N,H,7,24
H,H,7,18
OA,H,7,0
MA,H,7,0
CA,H,7,0
N,OA,7,0
H,OA,7,0
OA,OA,7,0
MA,OA,7,0
CA,OA,7,0
N,MA,7,0
H,MA,7,0
OA,MA,7,0
MA,MA,7,0
CA,MA,7,0
N,CA,7,693
H,CA,7,94
OA,CA,7,0
MA,CA,7,0
CA,CA,7,4038
N,N,8,22905
H,N,8,0
OA,N,8,10
MA,N,8,0
CA,N,8,874
N,H,8,13
H,H,8,0
OA,H,8,11
MA,H,8,0
CA,H,8,142
N,OA,8,46
H,OA,8,0
OA,OA,8,106
MA,OA,8,0
CA,OA,8,64
N,MA,8,22
H,MA,8,0
OA,MA,8,63
MA,MA,8,0
CA,MA,8,57
N,CA,8,856
H,CA,8,0
OA,CA,8,35
MA,CA,8,0
CA,CA,8,796
N,N,9,20581
H,N,9,0
OA,N,9,3
MA,N,9,0
CA,N,9,574
N,H,9,0
H,H,9,0
OA,H,9,0
MA,H,9,0
CA,H,9,0
N,OA,9,7
H,OA,9,0
OA,OA,9,44
MA,OA,9,0
CA,OA,9,13
N,MA,9,0
H,MA,9,0
OA,MA,9,0
MA,MA,9,0
CA,MA,9,0
N,CA,9,577
H,CA,9,0
OA,CA,9,9
MA,CA,9,0
CA,CA,9,192
N,N,10,14466
H,N,10,18
OA,N,10,308
MA,N,10,48
CA,N,10,2441
N,H,10,0
H,H,10,0
OA,H,10,0
MA,H,10,0
CA,H,10,0
N,OA,10,616
H,OA,10,131
OA,OA,10,1319
MA,OA,10,133
CA,OA,10,2931
N,MA,10,0
H,MA,10,0
OA,MA,10,0
MA,MA,10,0
CA,MA,10,0
N,CA,10,1553
H,CA,10,9
OA,CA,10,39
MA,CA,10,13
CA,CA,10,975
N,N,11,19551
H,N,11,59
OA,N,11,161
MA,N,11,0
CA,N,11,1841
N,H,11,57
H,H,11,10
OA,H,11,33
MA,H,11,0
CA,H,11,24
N,OA,11,48
H,OA,11,16
OA,OA,11,116
MA,OA,11,0
CA,OA,11,47
N,MA,11,0
H,MA,11,0
OA,MA,11,0
MA,MA,11,0
CA,MA,11,0
N,CA,11,721
H,CA,11,0
OA,CA,11,0
MA,CA,11,0
CA,CA,11,122
N,N,12,23973
H,N,12,12
OA,N,12,0
MA,N,12,0
CA,N,12,1407
N,H,12,1
H,H,12,0
OA,H,12,0
