% A shar archive of data from the book Data Analysis: An
% Introduction(1992) Prentice Hall bu Jeff Witmer. Submitted by
% Jeff Witmer (fwitmer@ocvaxa.cc.oberlin.edu) [28/Jun/94] (29
% kbytes)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/witmer/DATA_FILES/NFL_1987
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation witmer-NFL_1987

@attribute WINNER INTEGER
@attribute LOSER INTEGER
@attribute MARGIN INTEGER

@data
48,10,38
20,16,4
30,17,13
28,21,7
24,13,11
20,13,7
34,24,10
34,19,15
28,21,7
31,28,3
23,21,2
40,17,23
20,0,20
34,19,15
16,14,2
20,3,17
21,20,1
27,17,10
21,16,5
34,30,4
27,26,1
23,10,13
34,10,24
17,17,0
28,24,4
27,7,20
43,14,29
28,21,7
10,9,1
37,10,27
35,3,32
38,24,14
17,0,17
31,27,4
47,6,41
20,10,10
35,17,18
40,10,30
24,20,4
28,12,16
23,16,7
42,0,42
38,12,26
25,17,8
14,7,7
24,19,5
15,10,5
27,7,20
41,22,19
6,0,6
10,0,10
17,13,4
19,16,3
31,21,10
17,10,7
37,14,23
37,31,6
34,10,24
21,7,14
21,7,14
34,28,6
6,3,3
23,17,6
16,10,6
20,10,10
26,17,9
19,17,2
24,20,4
31,28,3
23,17,6
27,7,20
38,0,38
19,14,5
26,23,3
35,24,11
27,24,3
31,29,2
28,23,5
31,10,21
28,17,11
34,0,34
26,24,2
16,13,3
27,20,7
31,27,4
31,20,11
38,3,35
31,14,17
27,17,10
21,14,7
20,14,6
31,28,3
17,10,7
17,16,1
40,21,19
16,9,7
23,17,6
27,21,6
26,24,2
24,13,11
23,17,6
20,13,7
23,3,20
20,17,3
27,24,3
16,10,6
16,14,2
17,14,3
24,0,24
20,14,6
40,7,33
30,16,14
34,3,31
23,17,6
30,10,20
24,13,11
24,10,14
31,19,12
23,14,9
23,3,20
51,27,24
27,0,27
27,20,7
34,31,3
38,24,14
31,17,14
23,19,4
27,20,7
23,10,13
35,3,32
34,21,13
20,16,4
44,38,6
44,33,11
23,12,11
34,17,17
30,24,6
17,3,14
31,20,11
33,18,15
13,9,4
21,10,11
30,27,3
23,20,3
37,16,21
34,21,13
28,10,18
27,3,24
42,20,22
20,16,4
28,21,7
24,10,14
16,10,6
20,10,10
33,0,33
27,24,3
16,10,6
24,20,4
38,24,14
