% Standard and Poor's 500 Index closing values from 1926 to 1993.
% First column contains the date (yymmdd), second column contains the value.
% These data are used in: E.Ley (1996): "On the Peculiar Distribution of the
% U.S. Stock Indices;" forthcoming in The American Statistician.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: last
%

@relation spdc2693

@attribute date DATE yyMMdd
@attribute values REAL

@data
260101,12.76
260108,12.78
260115,12.52
260122,12.45
260129,12.74
260205,12.87
260212,12.87
260219,12.74
260226,12.18
260305,11.99
260312,12.15
260319,11.64
260326,11.46
260402,11.37
260409,11.45
260416,11.18
260423,11.69
260430,11.72
260507,11.50
260514,11.42
260521,11.51
260528,11.81
260604,11.86
260611,12.01
260618,12.25
260625,12.32
260702,12.54
260709,12.50
260716,12.69
260723,12.50
260730,12.88
260806,13.17
260813,13.18
260820,13.02
260827,13.10
260903,13.37
260910,13.31
260917,13.21
260924,13.40
261001,13.52
261008,13.05
261015,12.78
261022,12.77
261029,12.98
261105,13.13
261112,13.27
261119,13.07
261126,13.27
261203,13.35
261210,13.40
261217,13.54
261224,13.66
261231,13.49
270107,13.44
270114,13.45
270121,13.49
270128,13.21
270204,13.55
270211,13.58
270218,13.66
270225,13.84
270304,13.78
270311,13.89
270318,13.89
270325,13.93
270401,13.98
270408,14.18
270415,14.27
270422,14.47
270429,14.17
270506,14.51
270513,14.61
270520,14.77
270527,14.91
270603,14.90
270610,14.96
270617,14.94
270624,14.77
270701,14.70
270708,14.97
270715,15.25
270722,15.45
270729,15.73
270805,15.97
270812,15.58
270819,16.12
270826,16.43
270902,16.60
270909,16.80
270916,17.20
270923,16.96
270930,17.14
271007,17.08
271014,17.03
271021,16.36
271028,16.23
271104,16.67
271111,16.99
271118,17.23
271125,17.33
271202,17.33
271209,17.21
271216,17.52
271223,17.60
271230,17.66
280103,17.76
280104,17.72
280105,17.55
280106,17.66
280107,17.68
280109,17.50
280110,17.37
280111,17.35
280112,17.47
280113,17.58
280114,17.44
280116,17.29
280117,17.30
280118,17.26
280119,17.38
280120,17.48
280121,17.53
280123,17.64
280124,17.71
280125,17.52
280126,17.63
280127,17.69
280128,17.58
280130,17.49
280131,17.57
280201,17.53
280202,17.63
280203,17.40
280204,17.43
280206,17.45
280207,17.44
280208,17.49
280209,17.55
280210,17.54
280211,17.53
280214,17.44
280215,17.40
280216,17.35
280217,17.04
280218,16.99
280220,16.95
280221,17.11
280223,17.13
280224,17.18
280225,17.19
280227,17.11
280228,17.16
280229,17.26
280301,17.30
280302,17.30
280303,17.42
280305,17.57
280306,17.67
280307,17.58
280308,17.64
280309,17.93
280310,17.87
280312,18.00
280313,17.92
280314,17.93
280315,18.07
280316,18.26
280317,18.32
280319,18.36
280320,18.46
280321,18.65
280322,18.60
280323,18.78
280324,18.79
280326,19.05
280327,18.94
280328,18.89
280329,18.95
280330,19.28
280331,19.13
280402,18.91
280403,19.02
280404,18.99
280405,19.23
280409,19.27
280410,19.10
280411,19.44
280412,19.41
280413,19.73
280414,19.59
280416,19.68
280417,19.52
280418,19.52
280419,19.63
280420,19.34
280423,19.15
280424,19.25
280425,19.33
280426,19.47
280427,19.68
280428,19.75
280430,19.75
280501,19.78
280502,19.83
280503,19.93
280504,20.24
280507,20.41
280508,20.27
280509,20.24
280510,20.21
280511,20.36
280514,20.44
280515,20.39
280516,20.05
280517,20.12
280518,19.92
280521,19.63
280522,19.36
280523,19.75
280524,19.87
280525,19.90
280528,19.57
280529,19.82
280531,20.00
280601,20.07
280602,20.22
280604,19.80
280605,19.85
280606,19.66
280607,19.61
280608,19.37
280609,19.12
280611,18.68
280612,18.34
280613,18.89
280614,19.05
280615,18.74
280616,18.75
280618,18.40
280619,18.34
280620,18.57
280621,18.56
280622,18.54
280623,18.46
280625,18.47
280626,18.68
280627,18.86
280628,19.07
280629,19.14
280630,19.19
280702,18.98
280703,19.29
280705,19.48
280706,19.39
280707,19.44
280709,19.46
280710,19.43
280711,18.95
280712,18.81
280713,18.96
280714,18.93
280716,18.70
280717,18.80
280718,19.03
280719,18.99
