% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/case1502.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-case1502

@attribute year INTEGER
@attribute temp REAL

@data
1880,-0.31
1881,-0.27
1882,-0.31
1883,-0.39
1884,-0.48
1885,-0.41
1886,-0.32
1887,-0.43
1888,-0.37
1889,-0.22
1890,-0.45
1891,-0.38
1892,-0.40
1893,-0.43
1894,-0.35
1895,-0.29
1896,-0.10
1897,-0.08
1898,-0.27
1899,-0.12
1900,0.01
1901,-0.08
1902,-0.17
1903,-0.30
1904,-0.39
1905,-0.25
1906,-0.15
1907,-0.35
1908,-0.34
1909,-0.25
1910,-0.25
1911,-0.30
1912,-0.21
1913,-0.21
1914,-0.09
1915,0.00
1916,-0.21
1917,-0.40
1918,-0.29
1919,-0.16
1920,-0.17
1921,-0.12
1922,-0.20
1923,-0.18
1924,-0.19
1925,-0.12
1926,0.07
1927,-0.04
1928,-0.05
1929,-0.22
1930,-0.03
1931,0.05
1932,-0.01
1933,-0.11
1934,-0.02
1935,-0.06
1936,-0.02
1937,0.10
1938,0.14
1939,0.04
1940,0.04
1941,0.07
1942,0.01
1943,0.00
1944,0.15
1945,0.06
1946,-0.08
1947,-0.05
1948,-0.06
1949,-0.06
1950,-0.13
1951,-0.02
1952,0.07
1953,0.11
1954,-0.13
1955,-0.14
1956,-0.23
1957,0.07
1958,0.12
1959,0.05
1960,0.00
1961,0.11
1962,0.10
1963,0.11
1964,-0.15
1965,-0.12
1966,-0.02
1967,-0.04
1968,-0.08
1969,0.08
1970,0.05
1971,-0.10
1972,0.02
1973,0.15
1974,-0.11
1975,-0.08
1976,-0.21
1977,0.10
1978,0.03
1979,0.12
1980,0.18
1981,0.24
1982,0.09
1983,0.31
1984,0.10
1985,0.07
1986,0.16
1987,0.33
