%                      File README
%                      -----------
% 
% smoothmeth  A collection of the data sets used in the book "Smoothing
%             Methods in Statistics," by Jeffrey S. Simonoff,
%             Springer-Verlag, New York, 1996. Submitted by Jeff
%             Simonoff (jsimonoff@stern.nyu.edu).
% 
% 
% This submission consists of 37 files, plus this README file.
% Each file represents a data set analyzed in the book.
% The names of the files correspond to the names given in
% the book. The data files are written in plain ASCII (character)
% text. Missing values are represented by "M" in all data files.
% 
% Several of the files include an alphabetic (labeling) variable. It is
% likely that these files would have to be input into a package using fixed,
% rather than free, format. The relevant files, along with appropriate
% Fortran format statements, are as follows:
% 
%    adptvisa.dat: (f10.4,4x,f7.4,3x,a20)
% 
%    airaccid.dat: (i3,3x,a34)
% 
%    basesal.dat : (f8.1,4x,a17)
% 
%    baskball.dat: (f7.4,4x,f6.4,3x,i3,4x,f5.2,3x,i2,3x,a17)
% 
%    cars93.dat  : (f5.1,2x,i2,2x,i2,3x,f3.1,2x,i3,3x,f4.1,2x,i4,2x,a21)
% 
%    elusage.dat : (i4,3x,f7.3,2x,a7)
% 
%    hckshoot.dat: (f7.3,4x,i1,4x,a20)
% 
%    jantemp.dat : (i6,3x,a30)
% 
%    marathon.dat: (f10.2,4x,a27)
% 
%    newscirc.dat: (f8.2,3x,f7.2,2x,a25)
% 
%    racial.dat  : (f7.4,4x,a32)
% 
%    safewatr.dat: (i5,3x,i3,3x,a26)
% 
%    schlvote.dat: (i3,4x,f5.2,2x,i8,4x,f4.1,5x,f5.2,2x,i7,2x,a25)
% 
% Description of data sources, and further information about the data sets,
% can be found in the "Descriptions of the data sets" section of the book.
% Pointing a World Wide Web browser to the URL
% 
%             http://www.stern.nyu.edu/SOR/SmoothMeth
% 
% will provide access to a site devoted to the book.
% 
% NOTICE: These datasets may be used freely for scientific,
% educational and/or non-commercial purposes, provided suitable
% acknowledgment is given (by citing the reference above).
% 
%
% File: ../data/smoothmeth/vineyard.dat
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation smoothmeth-vineyard

@attribute col_1 INTEGER
@attribute col_2 REAL
@attribute col_3 REAL
@attribute col_4 REAL

@data
1,1.0,5.0,9.5
2,3.0,8.0,17.5
3,3.0,11.0,18.0
4,3.0,9.0,20.0
5,5.0,9.5,20.5
6,3.5,10.0,20.0
7,3.0,12.0,19.0
8,4.5,10.0,21.0
9,5.0,11.5,19.0
10,5.0,10.0,26.0
11,6.0,11.0,20.0
12,5.0,10.0,23.0
13,4.0,10.5,22.0
14,6.0,10.0,20.0
15,5.0,11.0,20.0
16,6.5,11.0,24.0
17,4.0,11.5,23.0
18,6.0,12.0,23.0
19,3.0,12.5,20.0
20,6.0,13.0,21.0
21,5.0,11.0,23.0
22,8.0,11.0,23.0
23,4.5,11.0,22.0
24,4.0,13.0,22.0
25,4.0,11.0,21.0
26,6.5,13.0,20.0
27,4.0,12.0,18.0
28,5.0,14.0,21.0
29,3.0,10.0,16.0
30,5.5,13.0,16.0
31,3.0,8.0,15.0
32,2.0,7.5,16.0
33,2.0,8.0,15.0
34,2.0,8.0,15.0
35,2.0,7.0,17.0
36,3.0,10.0,17.0
37,2.0,7.0,21.0
38,2.0,10.0,17.0
39,2.0,8.0,20.0
40,2.0,10.0,16.0
41,2.0,9.0,20.0
42,1.5,10.0,15.0
43,1.5,8.0,17.0
44,1.5,11.0,17.0
45,1.0,10.0,20.0
46,1.0,7.0,15.0
47,1.0,5.0,14.0
48,1.0,7.0,12.0
49,0.5,8.0,11.0
50,0.5,6.0,11.0
51,0.0,7.5,8.5
52,0.0,2.5,2.5
