% 
% This contains viturally all of the data files
% in "Analysis of Variance, Design, and Regression:
% Applied Statistical Methods" by Ronald Christensen
% (1996, Chapman and Hall).  The individual files 
% correspond with tables in the book in a self 
% explanitory manner (presuming you have the book to 
% look at).  There are three files that correspond 
% to data in exercises or examples.
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@math.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: ../data/christensen/tab12-3.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-tab12-3

@attribute col_1 INTEGER
@attribute col_2 {1,2}
@attribute col_3 {1,2}
@attribute col_4 INTEGER
@attribute col_5 {1,2}
@attribute col_6 INTEGER

@data
194,1,1,1,1,1
233,1,1,2,1,1
265,1,1,3,1,1
208,1,1,1,2,1
241,1,1,2,2,1
269,1,1,3,2,1
239,1,2,1,1,1
224,1,2,2,1,1
243,1,2,3,1,1
187,1,2,1,2,1
243,1,2,2,2,1
226,1,2,3,2,1
155,2,1,1,1,1
198,2,1,2,1,1
235,2,1,3,1,1
173,2,1,1,2,1
177,2,1,2,2,1
229,2,1,3,2,1
137,2,2,1,1,1
129,2,2,2,1,1
155,2,2,3,1,1
160,2,2,1,2,1
98,2,2,2,2,1
132,2,2,3,2,1
192,1,1,1,1,2
217,1,1,2,1,2
252,1,1,3,1,2
188,1,1,1,2,2
222,1,1,2,2,2
283,1,1,3,2,2
127,1,2,1,1,2
123,1,2,2,1,2
117,1,2,3,1,2
105,1,2,1,2,2
123,1,2,2,2,2
125,1,2,3,2,2
169,2,1,1,1,2
187,2,1,2,1,2
225,2,1,3,1,2
152,2,1,1,2,2
196,2,1,2,2,2
270,2,1,3,2,2
82,2,2,1,1,2
94,2,2,2,1,2
76,2,2,3,1,2
82,2,2,1,2,2
89,2,2,2,2,2
105,2,2,3,2,2
141,1,1,1,1,3
171,1,1,2,1,3
207,1,1,3,1,3
165,1,1,1,2,3
201,1,1,2,2,3
191,1,1,3,2,3
90,1,2,1,1,3
79,1,2,2,1,3
100,1,2,3,1,3
85,1,2,1,2,3
110,1,2,2,2,3
75,1,2,3,2,3
151,2,1,1,1,3
176,2,1,2,1,3
166,2,1,3,1,3
141,2,1,1,2,3
167,2,1,2,2,3
183,2,1,3,2,3
77,2,2,1,1,3
78,2,2,2,1,3
91,2,2,3,1,3
83,2,2,1,2,3
48,2,2,2,2,3
67,2,2,3,2,3
