%                      File README
%                      -----------
% 
% chscase  A collection of the data sets used in the book 
%          "A Casebook for a First Course in Statistics and Data Analysis,"
%          by Samprit Chatterjee, Mark S. Handcock and Jeffrey S. Simonoff,
%          John Wiley and Sons, New York, 1995. Submitted by 
%          Samprit Chatterjee (schatterjee@stern.nyu.edu),
%          Mark Handcock (mhandcock@stern.nyu.edu) and 
%          Jeff Simonoff (jsimonoff@stern.nyu.edu)
% 
% This submission consists of 38 files, plus this README file.
% Each file represents a data set analyzed in the book. The names
% of the files correspond to the names used in the book. The data
% files are written in plain ASCII (character) text. Missing
% values are represented by "M" in all data files.
% 
% More information about the data sets and the book can be
% obtained via gopher at the address
%                      swis.stern.nyu.edu
% 
% The information is filed under
%   ---> Academic Departments & Research Centers
%    ---> Statistics and Operations Research
%     ---> Publications
%      ---> A Casebook for a First Course in Statistics and Data Analysis
%       ---> Welcome!
% 
% It can also be accessed from the World Wide Web (WWW) using a
% WWW browser (e.g., netscape) starting from the URL address
%           http://www.stern.nyu.edu/SOR/Casebook
% 
% 
% 
% NOTICE: These datasets may be used freely for scientific,
% educational and/or non-commercial purposes, provided suitable
% acknowledgment is given (by citing the Chatterjee, Handcock and
% Simonoff reference above).
%
% File: census2.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation chscase-census2

@attribute col_1 REAL
@attribute col_2 REAL
@attribute col_3 REAL
@attribute col_4 REAL
@attribute col_5 REAL
@attribute col_6 REAL
@attribute col_7 REAL
@attribute col_8 REAL

@data
16.7540,21.7430,16.0140,19.5413,17.5730,20.0110,19.3907,19.2227
17.4190,15.2250,12.5705,25.0069,20.4635,18.7705,19.4249,19.7238
42.0630,15.7570,30.8815,16.1605,20.8111,19.0999,19.5469,20.5771
15.9070,24.8285,16.0473,15.4880,23.9404,19.7499,18.7775,20.2231
35.7870,20.1530,21.5765,21.0381,20.6379,20.7242,18.6020,20.4897
23.5800,31.1730,19.2852,18.3446,17.4540,18.3696,18.9293,19.3809
15.7290,20.9710,24.7207,26.6096,19.7570,18.3411,18.7784,20.7164
18.9090,22.1810,18.6430,20.0476,19.9982,19.2140,19.5977,19.5427
35.6220,21.5195,21.8673,21.2938,17.9566,17.4547,18.9879,19.6088
6.5260,29.1900,37.4768,14.1133,19.0004,19.7492,22.5516,19.2558
17.6870,16.0915,20.4135,20.6467,18.3155,18.4886,17.3822,20.0858
13.1580,10.3945,24.3233,15.5570,21.4618,19.3700,20.7998,19.3748
35.2410,14.2590,21.3633,15.9451,18.9596,18.6013,21.0429,20.2103
15.8180,27.2220,13.6075,28.7728,18.6820,18.9556,20.5817,19.7310
11.3890,12.8355,19.1748,25.4202,19.0712,19.3176,18.5756,20.0080
32.4160,20.5105,27.9797,14.6992,18.5087,19.8777,19.8943,19.4278
0.2920,19.4395,26.2680,20.4975,15.0215,17.2984,21.2463,19.1798
26.1340,10.8410,26.4005,17.4191,16.1092,20.6774,20.3109,19.6620
43.3110,14.8325,17.8510,18.3828,17.2460,21.6838,20.2233,18.9898
33.2910,11.8165,17.7338,21.3487,18.8870,23.4194,19.6817,18.5311
