% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-whale

@attribute Period_Hudson INTEGER
@attribute Bouts_Hudson INTEGER
@attribute Lockons_Hudson INTEGER
@attribute Daytime_Hudson {0,1}
@attribute Period_Casey INTEGER
@attribute Bouts_Casey INTEGER
@attribute Lockons_Casey INTEGER
@attribute Daytime_Casey {0,1}

@data
1,0,0,0,1,0,0,0
2,0,0,1,2,0,0,1
3,0,0,1,3,0,0,1
4,0,0,0,4,9,12,0
5,0,0,0,5,10,28,0
6,4,5,1,6,13,35,1
7,10,11,1,7,9,22,1
8,9,17,0,8,10,35,0
9,13,33,0,9,10,27,0
10,9,25,1,10,10,34,1
11,11,37,1,11,10,27,1
12,10,27,0,12,11,33,0
13,8,21,0,13,14,33,0
14,9,34,1,14,10,30,1
15,9,32,1,15,7,28,1
16,7,21,0,16,10,36,0
17,7,17,0,17,11,33,0
18,8,21,1,18,13,36,1
19,6,12,1,19,10,34,1
20,4,11,0,20,9,28,0
21,10,33,0,21,7,20,0
22,7,25,1,22,5,16,1
23,5,11,1,23,7,22,1
24,7,28,0,24,10,21,0
25,7,16,0,25,12,39,0
26,8,17,1,26,10,33,1
27,12,25,1,27,11,34,1
28,8,22,0,28,8,12,0
29,12,28,0,29,13,42,0
30,10,30,1,30,15,55,1
31,13,32,1,31,14,34,1
32,6,14,0,32,14,32,0
33,11,25,0,33,14,47,0
34,11,30,1,34,11,30,1
35,17,42,1,35,11,36,1
36,11,40,0,36,11,36,0
37,16,49,0,37,14,58,0
38,10,21,1,38,14,47,1
39,15,33,1,39,11,35,1
40,8,22,0,40,15,34,0
41,14,23,0,41,13,42,0
42,6,11,1,42,14,47,1
43,13,25,1,43,11,35,1
44,16,30,0,44,13,30,0
45,13,28,0,45,15,47,0
46,13,33,1,46,12,36,1
47,13,27,1,47,13,30,1
48,11,20,0,48,18,42,0
49,11,17,0,49,18,47,0
50,8,11,1,50,17,51,1
51,7,10,1,51,13,44,1
52,6,11,0,52,13,41,0
53,8,12,0,53,15,40,0
54,9,17,1,54,17,37,1
55,6,9,1,55,11,34,1
56,5,9,0,56,14,36,0
57,6,7,0,57,12,37,0
58,11,14,1,58,11,33,1
59,8,9,1,59,12,41,1
60,8,9,0,60,10,32,0
61,12,17,0,61,8,11,0
62,5,5,1,62,12,23,1
63,8,11,1,63,14,37,1
64,5,7,0,64,12,27,0
65,6,9,0,65,13,30,0
66,11,21,1,66,11,28,1
67,11,14,1,67,11,22,1
68,8,11,0,68,8,20,0
69,4,4,0,69,8,17,0
70,9,11,1,70,8,17,1
71,6,7,1,71,10,22,1
72,6,9,0,72,10,17,0
73,12,15,0,73,11,25,0
74,8,11,1,74,11,17,1
75,14,22,1,75,11,25,1
76,9,11,0,76,11,23,0
77,13,17,0,77,9,16,0
78,10,10,1,78,10,22,1
79,12,12,1,79,11,22,1
80,7,15,0,80,7,14,0
81,12,17,0,81,8,17,0
82,7,10,1,82,11,15,1
83,6,10,1,83,8,16,1
84,12,17,0,84,12,19,0
85,8,12,0,85,9,14,0
86,17,23,1,86,13,22,1
87,10,15,1,87,9,11,1
88,14,21,0,88,13,27,0
89,12,16,0,89,10,16,0
90,10,14,1,90,11,28,1
91,8,10,1,91,8,22,1
92,10,12,0,92,15,36,0
93,7,9,0,93,12,30,0
94,10,11,1,94,18,42,1
95,6,8,1,95,15,40,1
96,8,12,0,96,12,37,0
97,10,16,0,97,4,16,0
98,9,14,1,98,10,30,1
99,10,14,1,99,14,32,1
100,9,11,0,100,12,34,0
101,11,14,0,101,10,32,0
102,8,8,1,102,9,21,1
103,12,14,1,103,8,28,1
104,7,7,0,104,9,21,0
105,11,12,0,105,9,28,0
106,6,5,1,106,7,25,1
107,10,11,1,107,14,25,1
108,7,16,0,108,10,30,0
109,7,11,0,109,12,28,0
110,8,15,1,110,12,36,1
111,11,17,1,111,10,30,1
112,8,12,0,112,10,42,0
113,10,17,0,113,14,40,0
114,7,10,1,114,11,22,1
115,9,15,1,115,8,11,1
116,9,17,0,116,12,41,0
117,9,11,0,117,15,36,0
118,15,17,1,118,13,30,1
119,6,8,1,119,11,22,1
120,11,15,0,120,14,37,0
121,8,11,0,121,15,33,0
122,7,11,1,122,15,27,1
123,10,12,1,123,13,34,1
124,5,10,0,124,12,28,0
125,10,16,0,125,13,25,0
126,9,15,1,126,11,30,1
127,10,14,1,127,8,22,1
128,8,10,0,128,10,22,0
129,6,5,0,129,8,20,0
130,6,7,1,130,9,14,1
131,12,23,1,131,8,17,1
132,5,5,0,132,7,11,0
133,4,15,0,133,10,21,0
134,3,4,1,134,4,10,1
135,6,5,1,135,12,23,1
136,5,7,0,136,12,28,0
137,4,4,0,137,24,60,0
138,6,10,1,138,6,16,1
139,2,2,1,139,15,45,1
140,1,1,0,140,14,34,0
141,3,2,0,141,12,23,0
142,4,10,1,142,8,20,1
143,4,2,1,143,18,66,1
144,7,17,0,144,15,39,0
145,7,11,0,145,12,17,0
146,3,2,1,146,9,23,1
147,8,17,1,147,9,22,1
148,6,10,0,148,15,53,0
149,2,2,0,149,12,30,0
150,9,17,1,150,12,22,1
151,4,8,1,151,9,22,1
152,10,5,0,152,10,25,0
153,7,1,0,153,12,39,0
154,13,22,1,154,9,22,1
155,10,14,1,155,11,25,1
156,6,14,0,156,8,19,0
157,7,12,0,157,10,22,0
158,7,11,1,158,6,15,1
159,6,5,1,159,8,20,1
160,10,14,0,160,8,23,0
161,8,9,0,161,7,15,0
162,12,16,1,162,9,33,1
163,10,11,1,163,6,10,1
164,8,8,0,164,12,28,0
165,6,11,0,165,9,20,0
166,5,11,1,166,14,23,1
167,14,28,1,167,12,30,1
168,4,9,0,168,7,22,0
169,13,22,0,169,12,23,0
170,3,5,1,170,10,28,1
171,12,17,1,171,12,17,1
172,9,22,0,172,11,30,0
173,18,33,0,173,12,20,0
174,10,20,1,174,12,33,1
175,15,22,1,175,12,21,1
176,10,19,0,176,8,25,0
177,12,11,0,177,10,22,0
178,10,17,1,178,11,17,1
179,10,17,1,179,14,19,1
180,12,22,0,180,9,16,0
181,10,16,0,181,13,19,0
182,6,16,1,182,6,14,1
183,11,25,1,183,11,19,1
184,6,14,0,184,12,17,0
185,11,36,0,185,18,51,0
186,7,11,1,186,9,11,1
187,6,15,1,187,8,20,1
188,6,14,0,188,12,25,0
189,6,11,0,189,15,39,0
190,3,16,1,190,11,15,1
191,2,7,1,191,9,16,1
192,12,11,0,192,12,33,0
193,6,17,0,193,12,25,0
194,13,23,1,194,12,17,1
195,10,22,1,195,9,11,1
196,12,44,0,196,14,22,0
197,9,28,0,197,14,25,0
198,6,11,1,198,15,25,1
199,4,7,1,199,18,39,1
200,12,17,0,200,11,25,0
201,6,5,0,201,12,27,0
202,10,22,1,202,15,35,1
203,7,8,1,203,8,23,1
204,9,23,0,204,9,28,0
205,12,36,0,205,12,30,0
206,9,17,1,206,4,14,1
207,10,17,1,207,8,20,1
208,13,21,0,208,11,32,0
209,11,22,0,209,16,51,0
210,16,22,1,210,6,17,1
211,12,28,1,211,8,22,1
212,10,15,0,212,6,14,0
213,12,47,0,213,8,21,0
214,5,8,1,214,6,11,1
215,12,14,1,215,7,20,1
216,10,22,0,216,7,19,0
217,15,20,0,217,10,36,0
218,15,37,1,218,8,27,1
219,17,25,1,219,12,54,1
220,6,5,0,220,10,20,0
221,7,11,0,221,7,28,0
222,11,20,1,222,12,11,1
223,8,14,1,223,2,2,1
224,11,16,0,?,?,?,?
225,11,23,0,?,?,?,?
226,11,20,1,?,?,?,?
227,15,21,1,?,?,?,?
228,10,28,0,?,?,?,?
