% ____________________________________________________________________
%         
%                       Data Diskette for
%                   CASE STUDIES IN BIOMETRY
% 
% By Nicholas Lange, Louise Ryan and Lynne Brillard, David Brillinger,
% Loveday Conquest, Joel Greenhouse.
% 
% Published by John Wiley & Sons, Inc., copyright 1994.  
% ____________________________________________________________________
% 
% You have obtained all of the data used by all of the authors in the
% twenty-one chapters of Case Studies in Biometry.  
% 
% Each chapter contains either one or two data sets, except for Chapter 19,
% which has seven data sets. Corresponding to each data set are ASCII files
% with extensions ".dat" (the data), ".txt" (the data description file), and 
% ".sas" (a simple SAS program to read the .dat file). 
% 
% For chapters containing only one data set, the file name prefix is 
% "ch" followed by chapter number, and then the above extensions.
% For instance, for Chapter 2 you will find files "ch2.dat",
% "ch2.txt", and "ch2.sas".
% 
% For chapters containing two data sets, the letters "a" and "b" are
% added after the chapter number. For instance, for Chapter 1, you will
% find the files "ch1a.dat", "ch1a.txt", "ch1a.sas", "ch1b.dat",
% "ch1b.txt", "ch1b.sas".
% 
% For chapter 19, there are seven data sets, ch19a.dat
% through ch19g.dat.  Each one has the same format, but
% refers to different subsets of the whole data
% set.  Details are given in the single text file, ch19.txt.
% 
% Please note permissions and usage information included in
% the .txt file for each subset.
% _______________________________________________________________
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File: ch1a.dat
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File specific Information:
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% CASE STUDIES IN BIOMETRY: Chapter 1.
% 
% Spatial Pattern Analyses to Detect Rare Disease Clusters
% 
% Lance A. Waller, Bruce W. Turnbull, Larry C. Clark, and Philip Nasca
% 
% The file ch1a.dat is the case data file. It contains the
% following variables.  There are no missing values.
% 
% ID: Integer, 10 character long identification number for
%         a "cell" or census district in the study area.
% 
% x: Real, range (-60.85, 54.13), x-coordinate of the geographic
% 	centroid of each cell.
% 
% y: Real, range (-78.64, 58.30), y-coordinate of the geographic
% 	centroid of each cell.
% 
% pop:  Integer, range (3, 12221), 1980 U.S. Census population
%                  count for each cell.
% 
% cases: Real, range (0, 9.29), incident cases of leukemia (all
%         types) occurring between 1978 and 1982 in each cell.  Fractional
%         values can occur due to partially missing data (see text).
% 
% 
% Note:  The authors give permission to use the  data freely for
% noncommercial
% purposes.
% 
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation csb-ch1a

@attribute ID INTEGER
@attribute x REAL
@attribute y REAL
@attribute pop INTEGER
@attribute cases REAL

@data
70001000,4.07,-67.35,3540,3.08
70002000,4.64,-66.86,3560,4.08
70003000,5.71,-66.98,3739,1.09
70004000,7.61,-66.00,2784,1.07
70005000,7.32,-67.32,2571,3.06
70006000,8.56,-66.93,2729,1.06
70007000,9.21,-67.18,3952,2.09
70008000,10.18,-66.88,993,0.02
70009000,8.70,-68.31,1908,2.04
70010000,7.40,-68.08,948,0.02
70011000,7.34,-68.35,1172,1.03
70012000,6.64,-67.64,1047,3.02
70013000,5.56,-67.78,3138,5.07
70014000,5.40,-68.52,5485,4.13
70015000,3.89,-68.17,5554,6.13
70016000,4.32,-69.59,2943,2.07
70017000,6.73,-69.76,4969,5.12
70018000,8.34,-68.80,4828,4.11
70119010,4.32,-40.07,2618,0.06
70119020,5.89,-48.61,2244,0.05
70119030,-3.92,-39.10,2039,1.05
70120010,-3.47,-53.64,1425,0.03
70120020,-4.24,-57.96,5262,1.12
70121010,10.47,-59.75,4126,1.10
70121020,10.43,-60.77,4133,2.10
70121030,6.03,-60.33,3974,1.09
70122010,9.29,-63.50,3036,4.07
70122020,15.30,-57.99,4364,2.10
70123000,28.53,-59.21,4965,1.12
70124000,44.54,-71.66,2635,1.06
70125000,26.20,-70.75,5911,7.14
70126000,14.65,-70.15,5834,1.14
70127010,13.63,-73.30,6204,5.15
70127020,5.52,-71.26,5007,1.12
70128000,6.22,-64.64,5594,5.13
70129000,2.29,-63.13,1198,0.03
70130000,-1.31,-65.94,5088,7.12
70131000,-3.06,-67.42,3107,4.07
70132010,-3.23,-66.66,2851,0.07
70132020,-3.38,-66.13,3725,3.09
70133010,-7.74,-68.31,5505,4.13
70133020,-6.27,-66.09,8122,0.19
70134000,-4.85,-67.16,5146,7.12
70135000,-4.79,-67.94,2143,2.05
70136000,-6.28,-68.08,3912,0.09
70137000,-5.50,-68.65,3256,6.08
70138000,3.11,-65.59,3909,5.09
70139000,2.42,-66.55,3106,1.07
70140000,2.74,-67.01,3433,5.08
70141000,2.65,-67.67,4048,1.09
70142000,1.48,-65.56,2630,3.06
70143000,0.73,-69.44,12221,9.29
70144000,-4.20,-69.33,5963,6.14
70145000,-7.08,-71.15,3857,3.09
70146000,-2.69,-75.29,5197,2.12
119901001,-52.89,53.87,2165,0.59
119901002,-51.07,38.29,2778,1.75
119901003,-50.94,41.67,2110,0.57
119901004,-47.92,25.53,2422,0.66
119901005,-48.40,24.71,1019,0.28
119902001,-52.76,58.30,1285,0.23
119902002,-45.64,52.63,2113,0.37
119902003,-47.75,51.82,173,0.03
119903001,-45.14,46.43,1203,0.21
119903002,-44.56,51.24,119,0.02
119904001,-48.47,50.02,487,0.09
