% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/case1202.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-case1202

@attribute bsal INTEGER
@attribute sal77 REAL
@attribute fsex {0,1}
@attribute senior INTEGER
@attribute age INTEGER
@attribute educ {8,10,12,15,16}
@attribute exper REAL

@data
5040,12420,0,96,329,15,14
6300,12060,0,82,357,15,72
6000,15120,0,67,315,15,35.5
6000,16320.001,0,97,354,12,24
6000,12300,0,66,351,12,56
6840,10380,0,92,374,15,41.5
8100,13979.999,0,66,369,16,54.5
6000,10140,0,82,363,12,32
6000,12360,0,88,555,12,252
6900,10920,0,75,416,15,132
6900,10920,0,89,481,12,175
5400,12660.001,0,91,331,15,17.5
6000,12960,0,66,355,15,64
6000,12360,0,86,348,15,25
5100,8940,1,95,640,15,165
4800,8580,1,98,774,12,381
5280,8760,1,98,557,8,190
5280,8040,1,88,745,8,90
4800,9000,1,77,505,12,63
4800,8820,1,76,482,12,6
5400,13320,1,86,329,15,24
5520,9600,1,82,558,12,97
5400,8940,1,88,338,12,26
5700,9000,1,76,667,12,90
3900,8760,1,98,327,12,0
4800,9780,1,75,619,12,144
6120,9360,1,78,624,12,208.5
5220,7860,1,70,671,8,102
5100,9660,1,66,554,8,96
4380,9600,1,92,305,8,6.25
4290,9180.001,1,69,280,12,5
5400,9540,1,66,534,15,122
4380,10380,1,92,305,12,0
5400,8640,1,65,603,8,173
5400,11880,1,66,302,12,26
4500,12540.001,1,96,366,8,52
5400,8400,1,70,628,12,82
5520,8880,1,67,694,12,196
5640,10080,1,90,368,12,55
4800,9240,1,73,590,12,228
5400,8640,1,66,771,8,228
4500,7980,1,80,298,12,8
5400,11940,1,77,325,12,38
5400,9420,1,72,589,15,49
6300,9780,1,66,394,12,86.5
5160,10680.001,1,87,320,12,18
5100,11160,1,98,571,15,115
4800,8340,1,79,602,8,70
5400,9600,1,98,568,12,244
4020,9840,1,92,528,10,44
4980,8700,1,74,718,8,318
5280,9780,1,88,653,12,107
5700,8280,1,65,714,15,241
4800,8340,1,87,647,12,163
4800,13560,1,82,338,12,11
5700,10260,1,82,362,15,51
4380,9720,1,93,303,12,4.5
4380,10500.001,1,89,310,12,0
5400,10680.001,0,88,359,12,38
5400,11640,0,96,474,12,113
5100,7860,0,84,535,12,180
6600,11220,0,66,369,15,84
5100,8700,0,97,637,12,315
6600,12240.001,0,83,536,15,215.5
5700,11220,0,94,392,15,36
6000,12180,0,91,364,12,49
6000,11580,0,83,521,15,108
6000,8940,0,80,686,12,272
6000,10680.001,0,87,364,15,56
4620,11100,0,77,293,12,11.5
5220,10080,0,85,344,12,29
6600,15360.001,0,83,340,15,64
5400,12600,0,78,305,12,7
6000,8940,0,78,659,8,320
5400,9480,0,88,690,15,359
6000,14400,0,96,402,16,45.5
5700,10620,1,88,410,15,61
5400,10320,1,78,584,15,51
4440,9600,1,97,341,15,75
6300,10860.001,1,84,662,15,231
6000,9720,1,69,488,12,121
5100,9600,1,85,406,12,59
4800,11100,1,87,349,12,11
5100,10020.001,1,87,508,16,123
5700,9780,1,74,542,12,116.5
5400,10440,1,72,604,12,169
5100,10560,1,84,458,12,36
4800,9240,1,84,571,16,214
6000,11940,1,86,486,15,78.5
4380,10020.001,1,93,313,8,7.5
5580,7860,1,69,600,12,132.5
4620,9420,1,96,385,12,52
5220,8340,1,70,468,12,127
