% Following are data on the shooting of Vinnie Johnson of the Detroit
% Pistons during the 1985-1986 through 1988-1989 seasons. Source was the
% New York Times.
% The data are analyzed in the Carnegie Mellon Ph.D. Thesis of
% Kate Hsiao and some results are cited in Example 2 of Kass, R.E. and
% Raftery, A.E. (1995), Bayes Factors, J. Amer. Statist. Assoc.,
% The first column is the year, with 85 indicating 1985-1986, etc..
% The second column is Field Goals, the third column is Field Goal
% Attempts. 
% A more complete version of the data, including free throws, is
% appended together with additional information.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation vinnie

@attribute year INTEGER
@attribute field_goals INTEGER
@attribute field_goal_attempts INTEGER

@data
85,3,10
85,7,13
85,5,11
85,12,23
85,7,13
85,0,4
85,2,5
85,2,8
85,2,9
85,4,6
85,1,6
85,11,16
85,5,13
85,14,24
85,3,11
85,10,18
85,10,20
85,4,8
85,3,7
85,10,16
85,8,14
85,2,7
85,7,15
85,6,12
85,9,16
85,2,11
85,11,23
85,3,12
85,4,9
85,1,4
85,6,16
85,2,7
85,4,11
85,7,16
85,7,15
85,8,17
85,7,14
85,11,19
85,6,13
85,7,13
85,5,9
85,8,15
85,10,19
85,4,13
85,5,10
85,6,8
85,5,14
85,4,14
85,6,11
85,11,16
85,12,18
85,3,10
85,7,12
85,5,12
85,11,16
85,1,9
85,6,13
85,4,8
85,5,10
85,7,15
85,3,9
85,6,16
85,5,10
85,6,10
85,6,13
85,2,6
85,4,10
85,1,7
85,9,15
85,10,22
85,5,12
85,8,16
85,3,16
85,8,17
85,3,7
85,7,12
85,9,15
85,10,19
85,2,10
85,8,19
85,9,17
85,4,10
85,1,3
86,7,13
86,5,15
86,11,17
86,9,16
86,6,14
86,7,17
86,9,20
86,1,4
86,9,22
86,10,17
86,11,21
86,6,12
86,9,17
86,5,12
86,9,16
86,10,17
86,6,14
86,12,16
86,4,7
86,7,14
86,7,14
86,5,12
86,10,18
86,3,10
86,6,15
86,7,14
86,5,13
86,5,16
86,3,9
86,8,16
86,8,16
86,10,17
86,8,17
86,7,18
86,3,10
86,3,13
86,8,10
86,7,15
86,8,14
86,6,11
86,3,12
86,11,22
86,9,14
86,10,20
86,8,21
86,6,13
86,2,9
86,5,13
86,6,17
86,4,7
86,4,12
86,7,15
86,1,6
86,13,21
86,7,18
86,10,16
86,8,13
86,4,10
86,2,8
86,12,19
86,3,11
86,6,14
86,7,16
86,3,10
86,7,17
86,15,25
86,3,11
86,9,25
86,10,16
86,7,21
86,4,11
86,7,15
86,7,13
86,7,15
86,9,20
86,6,15
86,7,18
86,4,16
86,6,13
86,6,18
86,8,16
86,5,13
86,6,14
86,2,8
86,2,9
86,6,14
86,7,15
86,7,11
86,6,16
86,12,20
86,8,13
86,9,15
86,5,12
87,6,14
87,6,14
87,5,13
87,13,19
87,6,14
87,9,18
87,9,16
87,2,7
87,9,20
87,8,18
87,6,11
87,4,13
87,9,20
87,6,12
87,7,16
87,4,10
87,0,3
87,5,11
87,2,6
87,4,8
87,3,7
87,1,8
87,2,10
87,3,10
87,12,19
87,7,16
87,4,14
87,8,14
87,9,21
87,3,10
87,10,20
87,6,10
87,8,13
87,3,11
87,9,15
87,7,13
87,9,13
87,1,5
87,2,5
87,2,8
87,0,3
87,7,14
87,5,13
87,5,9
87,4,11
87,2,10
87,10,16
87,5,16
87,1,6
87,7,17
87,6,13
87,3,9
87,0,5
87,8,15
87,3,9
87,5,10
87,0,3
87,6,11
87,3,9
87,6,13
87,3,7
87,7,13
87,5,12
87,4,10
87,1,4
87,0,5
87,1,5
87,9,17
87,5,8
87,7,14
87,4,11
87,3,10
87,4,12
87,6,12
87,4,10
87,7,12
87,6,10
87,7,12
87,6,12
87,4,12
87,8,17
87,9,16
87,0,6
87,2,9
87,3,8
87,3,6
87,4,10
87,4,14
87,2,8
87,9,13
87,7,10
87,3,12
87,5,9
87,9,18
87,5,11
87,1,5
87,0,1
87,10,15
87,7,11
87,3,14
87,3,11
87,6,11
87,8,16
87,2,7
87,5,14
88,4,8
88,1,7
88,8,13
88,7,12
88,3,8
88,1,3
88,3,7
88,2,8
88,2,3
88,6,17
88,6,9
88,4,8
88,8,18
88,5,13
88,5,10
88,1,5
88,7,16
88,0,4
88,4,12
88,3,7
88,2,7
88,3,9
88,7,15
88,9,16
88,8,16
88,5,13
88,2,8
88,9,15
88,9,16
88,4,11
88,2,8
88,7,15
88,5,10
88,7,12
88,7,12
88,7,12
88,9,20
88,8,16
88,10,22
88,10,16
88,4,13
88,9,18
88,10,17
88,9,16
88,4,10
88,8,17
88,1,11
88,9,18
88,9,16
88,3,8
88,3,8
88,3,9
88,13,21
88,6,11
88,7,10
88,4,12
88,4,11
88,3,10
88,4,12
88,9,10
88,12,20
88,6,16
88,0,5
88,2,4
88,5,11
88,4,14
88,0,4
88,10,16
88,1,5
88,10,21
88,4,13
88,6,14
88,11,23
88,9,13
88,7,11
88,13,22
88,3,10
88,5,9
88,4,10
88,7,16
88,1,7
88,10,17
88,1,9
88,5,10
88,10,18
88,5,11
88,7,14
88,5,12
88,1,5
88,3,11
88,4,11
88,6,14
88,3,8
88,8,14
88,3,13
88,9,14
88,8,14
88,8,11
88,5,11
