% This S dump contains 22 data sets from the
% book Visualizing Data published by
% Hobart Press (books@hobart.com).
% The dump was created by data.dump()
% and can be read back into S by data.restore().
% The name of each S data set is the name of
% the data set used in the book. To find the
% description of the data set in the book look
% under the entry - data, name - in the index.
% For example, one data set is barley.
% To find the description of barley, look
% in the index under the entry - data, barley.
%
% File: ../data/visualizing/fusion.time.csv
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation visualizing-fusion_time

@attribute time REAL
@attribute nvvv {NV,VV}

@data
47.20001,NV
21.99998,NV
20.39999,NV
19.70001,NV
17.4,NV
14.7,NV
13.39999,NV
13,NV
12.3,NV
12.20001,NV
10.3,NV
9.7,NV
9.7,NV
9.5,NV
9.1,NV
8.9,NV
8.9,NV
8.4,NV
8.09999,NV
7.9,NV
7.8,NV
6.9,NV
6.3,NV
6.1,NV
5.6,NV
4.7,NV
4.7,NV
4.3,NV
4.2,NV
3.9,NV
3.4,NV
3.1,NV
3.1,NV
2.7,NV
2.4,NV
2.3,NV
2.3,NV
2.1,NV
2.1,NV
2,NV
1.9,NV
1.7,NV
1.7,NV
19.70001,VV
16.19998,VV
15.9,VV
15.40002,VV
9.7,VV
8.9,VV
8.6,VV
8.6,VV
7.4,VV
6.3,VV
6.1,VV
6,VV
6,VV
5.9,VV
4.9,VV
4.6,VV
3.8,VV
3.6,VV
3.5,VV
3.3,VV
3.3,VV
2.9,VV
2.8,VV
2.7,VV
2.4,VV
2.3,VV
2,VV
1.8,VV
1.7,VV
1.7,VV
1.6,VV
1.4,VV
1.2,VV
1.1,VV
1,VV
