% 
% This contains viturally all of the data files
% in "Analysis of Variance, Design, and Regression:
% Applied Statistical Methods" by Ronald Christensen
% (1996, Chapman and Hall).  The individual files 
% correspond with tables in the book in a self 
% explanitory manner (presuming you have the book to 
% look at).  There are three files that correspond 
% to data in exercises or examples.
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@math.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: ../data/christensen/tab10-8.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-tab10-8

@attribute col_1 INTEGER
@attribute col_2 INTEGER
@attribute col_3 REAL
@attribute col_4 REAL

@data
-20,1,13.14,42.1
-20,2,15.90,41.0
-20,3,13.39,41.1
-20,4,15.51,41.0
-20,5,15.53,41.0
-20,6,15.26,42.0
-20,7,15.06,40.4
-20,8,15.21,39.3
-20,9,16.90,39.2
-20,10,15.45,37.7
0,1,12.46,41.1
0,2,14.11,39.4
0,3,12.32,40.2
0,4,13.68,39.8
0,5,13.16,41.2
0,6,13.64,40.0
0,7,13.25,39.0
0,8,13.54,38.8
0,9,15.23,38.5
0,10,14.06,35.7
20,1,9.43,43.1
20,2,11.30,40.3
20,3,9.65,40.6
20,4,10.33,40.4
20,5,10.29,39.7
20,6,10.35,40.3
20,7,10.56,34.9
20,8,10.46,37.5
20,9,11.94,38.5
20,10,10.74,36.7
40,1,7.63,41.4
40,2,9.56,38.6
40,3,7.90,41.7
40,4,8.27,39.8
40,5,8.67,39.0
40,6,8.67,40.9
40,7,8.10,40.1
40,8,8.30,40.6
40,9,9.34,39.4
40,10,7.75,38.9
60,1,6.34,39.1
60,2,7.27,36.7
60,3,6.41,39.7
60,4,7.06,39.3
60,5,6.68,39.0
60,6,6.62,41.2
60,7,6.15,41.4
60,8,6.09,41.8
60,9,6.26,41.7
60,10,6.29,38.2
