% Contains 110 data sets from the book 'The Statistical Sleuth'
% by Fred Ramsey and Dan Schafer; Duxbury Press, 1997.
% (schafer@stat.orst.edu) [14/Oct/97] (172k)
%
% Note: description taken from this web site:
%       http://lib.stat.cmu.edu/datasets/
%
% File: ../data/sleuth/case0602.asc
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation sleuth-case0602

@attribute proportion REAL
@attribute code {1,2,3,4,5,6}

@data
0.437,1
0.540,1
0.498,1
0.655,1
0.531,1
0.530,1
0.623,1
0.494,1
0.457,1
0.566,1
0.590,1
0.678,1
0.733,1
0.438,1
0.674,1
0.581,1
0.525,2
0.656,2
0.685,2
0.459,2
0.802,2
0.670,2
0.730,2
0.717,2
0.550,2
0.700,2
0.632,2
0.396,2
0.410,2
0.592,2
0.910,3
0.620,3
0.100,3
0.838,3
0.913,3
0.563,3
0.836,3
0.533,3
0.365,3
0.654,3
0.481,3
0.506,3
0.404,3
0.906,3
0.749,3
0.560,3
0.675,3
0.722,4
0.585,4
0.510,4
0.568,4
0.924,4
0.553,4
0.593,4
0.420,4
0.685,4
0.784,4
0.696,4
0.892,4
0.673,4
0.775,4
0.783,5
0.660,5
0.477,5
0.775,5
0.583,5
0.611,5
0.651,5
0.629,5
0.610,5
0.334,6
0.422,6
0.356,6
0.799,6
0.590,6
0.581,6
0.642,6
0.828,6
0.757,6
0.663,6
0.563,6
0.845,6
0.611,6
0.876,6
