% ____________________________________________________________________
%         
%                       Data Diskette for
%                   CASE STUDIES IN BIOMETRY
% 
% By Nicholas Lange, Louise Ryan and Lynne Brillard, David Brillinger,
% Loveday Conquest, Joel Greenhouse.
% 
% Published by John Wiley & Sons, Inc., copyright 1994.  
% ____________________________________________________________________
% 
% You have obtained all of the data used by all of the authors in the
% twenty-one chapters of Case Studies in Biometry.  
% 
% Each chapter contains either one or two data sets, except for Chapter 19,
% which has seven data sets. Corresponding to each data set are ASCII files
% with extensions ".dat" (the data), ".txt" (the data description file), and 
% ".sas" (a simple SAS program to read the .dat file). 
% 
% For chapters containing only one data set, the file name prefix is 
% "ch" followed by chapter number, and then the above extensions.
% For instance, for Chapter 2 you will find files "ch2.dat",
% "ch2.txt", and "ch2.sas".
% 
% For chapters containing two data sets, the letters "a" and "b" are
% added after the chapter number. For instance, for Chapter 1, you will
% find the files "ch1a.dat", "ch1a.txt", "ch1a.sas", "ch1b.dat",
% "ch1b.txt", "ch1b.sas".
% 
% For chapter 19, there are seven data sets, ch19a.dat
% through ch19g.dat.  Each one has the same format, but
% refers to different subsets of the whole data
% set.  Details are given in the single text file, ch19.txt.
% 
% Please note permissions and usage information included in
% the .txt file for each subset.
% _______________________________________________________________
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File: ch5.dat
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File specific Information:
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% CASE STUDIES IN BIOMETRY: Chapter 5.
% 
% Estimating Pine Seedling Response to Ozone and Acid Rain
% 
% John O. Rawlings and Susan E. Spruill
% 
% The data set ch5.dat contains the following variables:
% 
% 1.  site: coded 1-6 corresponding to the location code used in Table 1.
% 2.  block: block within site coded 1, 2, ... within sites for the RCB designs;
%     block=1 for all observations for the CRD designs, sites 5 and 6.
% 3.  rep: replication within site coded as missing in sites 1-4;
%     coded as 1, 2, ... for replicates in the CRD design.
% 4.  ozone: target ozone treatment, coded 0.0=charcoal filtered air, 
%     1.0=nonfiltered air, "x.x"=target level of ozone as multiple of 
%     ambient ozone level.
% 5.  rain:  acidic rain treatment, coded as pH of rain solution.
% 6.  fam:  genetic family, coded as 1, 2, ... within sites.
% 7.  ppmhrs:  cumulative ozone exposure (ppm-h) during the two years of
%     the trials.
% 8.  vwpH:  cumulative exposure to acidic rain computed as vwpH 
%     = -log(sum(volume*hydrogen ion concentration)).
% 9.  biomass:  total above ground biomass (g) after two growing seasons.
% 10. diam:  increment of diameter growth (mm) during the two growing seasons.
% 11. DMA:  whole-plot component of the covariate initial diameter (mm)
%     expressed as the deviation of the whole-plot mean from the overall
%     site mean.
% 12. DMB:  sub-plot component of the covariate initial diameter (mm)
%     expressed as the deviation of the subplot mean from the whole-plot mean.
% 13. D2HA: whole-plot component of the covariate initial volume, 
%     approximated as diameter squared times height, and expressed as
%     the deviation of the whole-plot mean from the overall site mean.
% 14. D2HB:  sub-plot component of the covariate initial volume and
%     expressed as the deviation of the subplot mean from the whole-plot mean.
% 15. DMOT:  depth to mottling (cm) of the clay soil; one measurement
%     per whole-plot. 
% 
% Missing data are coded with '.'
% 
% 
% NOTE:  The authors have on file letters of permission from
% each of the principal investigators to use the SCFRC data
% in a chapter in the book entitled CASE STUDIES IN BIOMETRY,
% and for the data used in this case study to
% be made available to the readers. 
% 
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation csb-ch5

@attribute site INTEGER
@attribute block INTEGER
@attribute rep {1,2}
@attribute ozone REAL
@attribute rain REAL
@attribute fam INTEGER
@attribute ppmhrs REAL
@attribute vwpH REAL
@attribute biomass REAL
@attribute diam REAL
@attribute DMA REAL
@attribute DMB REAL
@attribute D2HA REAL
@attribute D2HB REAL
@attribute DMOT REAL

@data

1,1,?,0.0,3.3,1,50.00,-0.867,1499.72,51.25,-0.01,-0.09,0.32,-0.45,?
1,1,?,0.0,3.3,2,50.00,-0.867,1286.44,40.84,-0.01,0.09,0.32,0.45,?
1,1,?,0.0,4.3,1,51.00,0.160,1408.61,51.80,0.67,0.32,2.33,2.02,?
1,1,?,0.0,4.3,2,51.00,0.160,1911.80,49.53,0.67,-0.32,2.33,-2.02,?
1,1,?,0.0,5.3,1,49.00,1.203,1145.99,44.56,-0.12,0.52,-0.70,2.84,?
1,1,?,0.0,5.3,2,49.00,1.203,532.71,34.85,-0.12,-0.52,-0.70,-2.84,?
1,1,?,1.0,3.3,1,215.00,-0.841,902.98,44.19,-0.80,0.05,-4.71,0.58,?
1,1,?,1.0,3.3,2,215.00,-0.841,952.24,41.23,-0.80,-0.05,-4.71,-0.58,?
1,1,?,1.0,4.3,1,213.00,0.141,1061.68,45.53,-0.01,0.14,-0.16,0.62,?
1,1,?,1.0,4.3,2,213.00,0.141,919.25,41.04,-0.01,-0.14,-0.16,-0.62,?
1,1,?,1.0,5.3,1,216.00,1.187,717.25,40.48,0.09,-0.12,2.52,-1.78,?
1,1,?,1.0,5.3,2,216.00,1.187,979.54,43.54,0.09,0.12,2.52,1.78,?
1,1,?,1.7,3.3,1,374.00,-0.861,1252.91,50.89,0.68,0.54,5.31,3.29,?
1,1,?,1.7,3.3,2,374.00,-0.861,1096.47,44.44,0.68,-0.54,5.31,-3.29,?
1,1,?,1.7,4.3,1,368.00,0.177,845.25,39.61,0.05,-0.48,-1.13,-2.09,?
1,1,?,1.7,4.3,2,368.00,0.177,956.88,39.14,0.05,0.48,-1.13,2.09,?
1,1,?,1.7,5.3,1,375.00,1.185,645.38,38.67,0.29,-0.07,0.51,-1.20,?
1,1,?,1.7,5.3,2,375.00,1.185,934.20,45.96,0.29,0.07,0.51,1.20,?
1,1,?,2.5,3.3,1,542.00,-0.824,1711.00,51.57,0.39,0.76,2.46,5.43,?
1,1,?,2.5,3.3,2,542.00,-0.824,779.21,36.53,0.39,-0.76,2.46,-5.43,?
1,1,?,2.5,4.3,1,535.00,0.137,756.81,36.72,-0.33,0.28,-1.84,1.54,?
1,1,?,2.5,4.3,2,535.00,0.137,980.42,40.30,-0.33,-0.28,-1.84,-1.54,?
1,1,?,2.5,5.3,1,534.00,1.197,1434.25,51.44,0.24,0.37,1.05,1.85,?
1,1,?,2.5,5.3,2,534.00,1.197,703.88,38.25,0.24,-0.37,1.05,-1.85,?
1,2,?,0.0,3.3,1,49.00,-0.866,1830.33,53.42,-0.34,0.37,-2.38,2.16,?
1,2,?,0.0,3.3,2,49.00,-0.866,1203.84,50.00,-0.34,-0.37,-2.38,-2.16,?
1,2,?,0.0,4.3,1,58.00,0.151,1100.58,46.81,-0.37,0.03,-2.06,-0.19,?
1,2,?,0.0,4.3,2,58.00,0.151,1378.51,53.22,-0.37,-0.03,-2.06,0.19,?
1,2,?,0.0,5.3,1,48.00,1.198,809.30,43.25,-0.47,-0.13,-3.11,-0.40,?
1,2,?,0.0,5.3,2,48.00,1.198,791.92,38.65,-0.47,0.13,-3.11,0.40,?
1,2,?,1.0,3.3,1,219.00,-0.863,1261.27,47.13,-0.22,0.24,-0.79,0.69,?
1,2,?,1.0,3.3,2,219.00,-0.863,1251.26,44.68,-0.22,-0.24,-0.79,-0.69,?
1,2,?,1.0,4.3,1,213.00,0.150,1059.63,43.49,0.56,0.09,3.96,0.83,?
1,2,?,1.0,4.3,2,213.00,0.150,1048.85,44.94,0.56,-0.09,3.96,-0.83,?
1,2,?,1.0,5.3,1,212.00,1.171,1535.88,48.18,-0.15,0.03,-0.56,-0.10,?
1,2,?,1.0,5.3,2,212.00,1.171,821.10,36.36,-0.15,-0.03,-0.56,0.10,?
1,2,?,1.7,3.3,1,370.00,-0.865,1053.47,42.70,0.44,0.72,4.52,5.50,?
