% 
% This contains viturally all of the data files
% in "Analysis of Variance, Design, and Regression:
% Applied Statistical Methods" by Ronald Christensen
% (1996, Chapman and Hall).  The individual files 
% correspond with tables in the book in a self 
% explanitory manner (presuming you have the book to 
% look at).  There are three files that correspond 
% to data in exercises or examples.
% 
% The author retains no rights to these data.
% 
% Comments should be directed to:
% Ronald Christensen
% Dept. of Math and Statistics
% University of New Mexico
% Albq., NM 87131
% e-mail: fletcher@math.unm.edu
% 
% More information about the book and alternative
% access to the data can be obtained from  
% the web at:  www.math.unm.edu/~fletcher
% 
%
% File: ../data/christensen/tab11-15.dat
%
% Note: attribute names were generated automatically since there was no
%       information in the data itself.
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation christensen-tab11-15

@attribute col_1 INTEGER
@attribute col_2 INTEGER
@attribute col_3 INTEGER
@attribute col_4 INTEGER
@attribute col_5 INTEGER
@attribute col_6 INTEGER

@data
768,1,1,1,1,1
662,1,1,2,2,2
731,1,1,3,3,3
600,1,2,1,1,2
515,1,2,2,2,3
680,1,2,3,3,1
411,1,3,1,1,3
506,1,3,2,2,1
525,1,3,3,3,2
669,2,1,4,4,1
459,2,1,5,5,2
624,2,1,6,6,3
550,2,2,4,4,3
409,2,2,5,5,1
462,2,2,6,6,2
416,2,3,4,4,2
222,2,3,5,5,3
426,2,3,6,6,1
1091,3,1,1,7,1
1234,3,1,2,8,2
1300,3,1,3,9,3
798,3,2,1,7,2
902,3,2,2,8,3
1297,3,2,3,9,1
534,3,3,1,7,3
869,3,3,2,8,1
962,3,3,3,9,2
1105,4,1,1,10,1
891,4,1,2,11,2
859,4,1,3,12,3
712,4,2,1,10,3
830,4,2,2,11,1
617,4,2,3,12,2
453,4,3,1,10,2
629,4,3,2,11,3
597,4,3,3,12,1
941,5,1,1,13,1
794,5,1,2,14,2
779,5,1,3,15,3
718,5,2,1,13,2
603,5,2,2,14,3
718,5,2,3,15,1
548,5,3,1,13,3
613,5,3,2,14,1
515,5,3,3,15,2
933,6,1,1,16,1
724,6,1,2,17,2
749,6,1,3,18,3
658,6,2,1,16,3
649,6,2,2,17,1
594,6,2,3,18,2
576,6,3,1,16,2
496,6,3,2,17,3
612,6,3,3,18,1

