% Determinants of Wages from the 1985 Current Population Survey
% 
% Summary:
% 	The Current Population Survey (CPS) is used to supplement census information between census years. These data consist of a random sample of 534 persons from the CPS, with information on wages and other characteristics of the workers, including sex, number of years of education, years of work experience, occupational status, region of residence and union membership. We wish to determine (i) whether wages are related to these characteristics and (ii) whether there is a gender gap in wages. 
% 	Based on residual plots, wages were log-transformed to stabilize the variance. Age and work experience were almost perfectly correlated (r=.98). Multiple regression of log wages against sex, age, years of education, work experience, union membership, southern residence, and occupational status showed that these covariates were related to wages (pooled F test, p < .0001). The effect of age was not significant after controlling for experience. Standardized residual plots showed no patterns, except for one large outlier with lower wages than expected. This was a male, with 22 years of experience and 12 years of education, in a management position, who lived in the north and was not a union member. Removing this person from the analysis did not substantially change the results, so that the final model included the entire sample. 
% 	Adjusting for all other variables in the model, females earned 81% (75%, 88%) the wages of males (p < .0001). Wages increased 41% (28%, 56%) for every 5 additional years of education (p < .0001). They increased by 11% (7%, 14%) for every additional 10 years of experience (p < .0001). Union members were paid 23% (12%, 36%) more than non-union members (p < .0001). Northerns were paid 11% (2%, 20%) more than southerns (p =.016). Management and professional positions were paid most, and service and clerical positions were paid least (pooled F-test, p < .0001). Overall variance explained was R2 = .35. 
% 	In summary, many factors describe the variations in wages: occupational status, years of experience, years of education, sex, union membership and region of residence. However, despite adjustment for all factors that were available, there still appeared to be a gender gap in wages. There is no readily available explanation for this gender gap.
% 
% Authorization: Public Domain
% 
% Reference: Berndt, ER. The Practice of Econometrics. 1991. NY: Addison-Wesley.
% 
% Description:  The datafile contains 534 observations on 11 variables sampled from the Current Population Survey of 1985.  This data set demonstrates multiple regression, confounding, transformations, multicollinearity, categorical variables, ANOVA, pooled tests of significance, interactions and model building strategies.
% 
% Variable names in order from left to right:
% 	EDUCATION: Number of years of education.
% 	SOUTH: Indicator variable for Southern Region (1=Person lives in 		South, 0=Person lives elsewhere).
% 	SEX: Indicator variable for sex (1=Female, 0=Male).
% 	EXPERIENCE: Number of years of work experience.
% 	UNION: Indicator variable for union membership (1=Union member, 		0=Not union member).
% 	WAGE: Wage (dollars per hour).
% 	AGE: Age (years).
% 	RACE: Race (1=Other, 2=Hispanic, 3=White).
% 	OCCUPATION: Occupational category (1=Management, 		2=Sales, 3=Clerical, 4=Service, 5=Professional, 6=Other).
% 	SECTOR: Sector (0=Other, 1=Manufacturing, 2=Construction).
% 	MARR: Marital Status (0=Unmarried,  1=Married)
% 
% 
% Therese Stukel
% Dartmouth Hitchcock Medical Center
% One Medical Center Dr.
% Lebanon, NH 03756
% e-mail: stukel@dartmouth.edu
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation cps_85_wages

@attribute EDUCATION INTEGER
@attribute SOUTH {no,yes}
@attribute SEX {female,male}
@attribute EXPERIENCE INTEGER
@attribute UNION {member,not_member}
@attribute WAGE REAL
@attribute AGE INTEGER
@attribute RACE {Hispanic,Other,White}
@attribute OCCUPATION {Clerical,Management,Other,Professional,Sales,Service}
@attribute SECTOR {Construction,Manufacturing,Other}
@attribute MARR {Married,Unmarried}

@data
8,no,female,21,not_member,5.1,35,Hispanic,Other,Manufacturing,Married
9,no,female,42,not_member,4.95,57,White,Other,Manufacturing,Married
12,no,male,1,not_member,6.67,19,White,Other,Manufacturing,Unmarried
12,no,male,4,not_member,4,22,White,Other,Other,Unmarried
12,no,male,17,not_member,7.5,35,White,Other,Other,Married
13,no,male,9,member,13.07,28,White,Other,Other,Unmarried
10,yes,male,27,not_member,4.45,43,White,Other,Other,Unmarried
12,no,male,9,not_member,19.47,27,White,Other,Other,Unmarried
16,no,male,11,not_member,13.28,33,White,Other,Manufacturing,Married
12,no,male,9,not_member,8.75,27,White,Other,Other,Unmarried
12,no,male,17,member,11.35,35,White,Other,Other,Married
12,no,male,19,member,11.5,37,White,Other,Manufacturing,Unmarried
8,yes,male,27,not_member,6.5,41,White,Other,Other,Married
9,yes,male,30,member,6.25,45,White,Other,Other,Unmarried
9,yes,male,29,not_member,19.98,44,White,Other,Other,Married
12,no,male,37,not_member,7.3,55,White,Other,Construction,Married
7,yes,male,44,not_member,8,57,White,Other,Other,Married
12,no,male,26,member,22.2,44,White,Other,Manufacturing,Married
11,no,male,16,not_member,3.65,33,White,Other,Other,Unmarried
12,no,male,33,not_member,20.55,51,White,Other,Other,Married
12,no,female,16,member,5.71,34,White,Other,Manufacturing,Married
7,no,male,42,member,7,55,Other,Other,Manufacturing,Married
12,no,male,9,not_member,3.75,27,White,Other,Other,Unmarried
11,yes,male,14,not_member,4.5,31,Other,Other,Other,Married
12,no,male,23,not_member,9.56,41,White,Other,Other,Married
6,yes,male,45,not_member,5.75,57,White,Other,Manufacturing,Married
12,no,male,8,not_member,9.36,26,White,Other,Manufacturing,Married
10,no,male,30,not_member,6.5,46,White,Other,Other,Married
12,no,female,8,not_member,3.35,26,White,Other,Manufacturing,Married
12,no,male,8,not_member,4.75,26,White,Other,Other,Married
14,no,male,13,not_member,8.9,33,White,Other,Other,Unmarried
12,yes,female,46,not_member,4,64,White,Other,Other,Unmarried
8,no,male,19,not_member,4.7,33,White,Other,Other,Married
17,yes,female,1,not_member,5,24,White,Other,Other,Unmarried
12,no,male,19,not_member,9.25,37,White,Other,Manufacturing,Unmarried
12,no,male,36,not_member,10.67,54,Other,Other,Other,Unmarried
12,yes,male,20,not_member,7.61,38,Other,Other,Construction,Married
12,no,male,35,member,10,53,Other,Other,Construction,Married
12,no,male,3,not_member,7.5,21,White,Other,Other,Unmarried
14,yes,male,10,not_member,12.2,30,White,Other,Manufacturing,Married
12,no,male,0,not_member,3.35,18,White,Other,Other,Unmarried
14,yes,male,14,member,11,34,White,Other,Manufacturing,Married
12,no,male,14,not_member,12,32,White,Other,Manufacturing,Married
9,no,female,16,not_member,4.85,31,White,Other,Manufacturing,Married
13,yes,male,8,not_member,4.3,27,White,Other,Construction,Unmarried
7,yes,female,15,not_member,6,28,White,Other,Manufacturing,Married
16,no,male,12,not_member,15,34,White,Other,Manufacturing,Married
10,yes,male,13,not_member,4.85,29,White,Other,Other,Unmarried
8,no,male,33,member,9,47,White,Other,Other,Married
12,no,male,9,not_member,6.36,27,White,Other,Manufacturing,Married
12,no,male,7,not_member,9.15,25,White,Other,Other,Married
16,no,male,13,member,11,35,White,Other,Manufacturing,Married
