% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: 3
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-floridashark

@attribute Year INTEGER
@attribute Population INTEGER
@attribute Attacks INTEGER
@attribute Fatalities {0,1,2}

@data
1946,2473000,0,0
1947,2539000,1,1
1948,2578000,0,0
1949,2668000,0,0
1950,2771305,1,0
1951,2980000,0,0
1952,3157000,3,1
1953,3310000,1,0
1954,3505000,0,0
1955,3747000,0,0
1956,4047000,1,0
1957,4372000,5,0
1958,4630000,2,0
1959,4808000,4,1
1960,4951560,2,0
1961,5243000,4,1
1962,5458000,2,0
1963,5628000,3,0
1964,5781000,7,0
1965,5954000,6,0
1966,6104000,4,0
1967,6242000,3,0
1968,6433000,10,0
1969,6641000,3,0
1970,6789443,3,0
1971,7163000,1,0
1972,7520000,1,0
1973,7927000,0,0
1974,8317000,3,0
1975,8542000,10,0
1976,8695000,5,2
1977,8889000,8,0
1978,9132000,5,0
1979,9471000,5,0
1980,9746959,1,0
1981,10192775,20,1
1982,10471405,7,0
1983,10749849,9,0
1984,11039925,9,0
1985,11351120,3,0
1986,11667503,4,0
1987,11997282,7,0
1988,12306400,15,1
1989,12637718,10,0
1990,13018365,10,0
1991,13289497,13,0
1992,13504775,12,0
1993,13713593,10,0
1994,13961798,24,0
1995,14185403,31,0
1996,14426911,13,0
1997,14683350,26,0
1998,14908230,22,1
1999,15111244,25,0
