"year","gq","gqtypeg","farm","ownershg","value","rent","ftotinc","nfams","ncouples","nmothers","nfathers","momloc","stepmom","momrule","poploc","steppop","poprule","sploc","sprule","famsize","nchild","nchlt5","famunit","eldch","yngch","nsibs","relateg","age","sex","raceg","marst","chborn","bplg","school","educrec","schltype","empstatg","labforce","occ1950","occscore","sei","ind1950","classwkg","wkswork2","hrswork2","yrlastwk","workedyr","inctot","incwage","incbus","incfarm","incss","incwelfr","incother","poverty","migrat5g","migplac5","movedin","vetstat","tranwork"
97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,115,2550,1,1,1,1,2,0,1,1,0,1,0,0,3,0,0,1,99,99,0,Child,17,Male,White,Never_married_single,?,California,Yes_in_school,Grade_11,Public_school,Employed,Yes_in_labor_force,Sports_instructors_and_officials,32,64,Educational_services,Works_for_wages_salary,14-26_weeks,15-29_hours,?,Yes,150,150,0,0,0,0,0,86,Same_house,?,6,No_Service,Driver
97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),11250,0,1250,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,66,Female,White,Divorced,No_children,California,No_not_in_school,Grade_12,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,Therapists_and_healers_(nec),26,58,Medical_and_other_health_services_except_hospitals,Self-employed,1-13_weeks,?,Worked_previous_yr,Yes,1250,650,0,0,550,0,0,71,Same_house,?,7,?,?
97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,90,4650,1,1,1,1,0,0,0,0,0,0,1,1,7,5,4,1,5,0,0,Spouse,30,Female,White,Married_spouse_present,10_children,Mexico,No_not_in_school,Grade_5-8,Not_enrolled,Employed,Yes_in_labor_force,Operative_and_kindred_workers_(nec),22,18,Apparel_and_accessories,Works_for_wages_salary,27-39_weeks,40_hours,?,Yes,2550,2550,0,0,0,0,0,85,Same_state_countydifferent_house,?,2,?,Driver
97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,90,2350,1,1,1,1,0,0,0,0,0,0,2,1,4,2,2,1,4,2,0,Head_Householder,24,Male,White,Married_spouse_present,?,California,No_not_in_school,Grade_10,Not_enrolled,Employed,Yes_in_labor_force,Welders_and_flame_cutters,30,24,Fabricated_steel_products,Works_for_wages_salary,40-47_weeks,41-48_hours,?,Yes,2350,2350,0,0,0,0,0,63,Same_state_countydifferent_house,?,4,No_Service,Driver
97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,60,8450,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,35,Male,White,Never_married_single,?,Illinois,Yes_in_school,4+_years_of_college,Other_private_1970,Not_in_labor_force,No_not_in_labor_force,Clerical_and_kindred_workers_(n_e_c_),25,44,Postal_service,Works_for_wages_salary,50-52_weeks,?,Worked_current_yr,Yes,8450,8450,0,0,0,0,0,443,Abroad,Brazil,1,Yes,?
97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,62,3950,1,0,1,0,1,0,1,0,0,0,0,0,7,0,0,1,99,99,5,Child,6,Female,Black_Negro,Never_married_single,?,California,Yes_in_school,None_or_preschool,Public_school,?,?,?,0,0,?,?,?,?,?,?,999999,999999,999999,999999,99999,99999,99999,75,Same_state_countydifferent_house,?,1,?,?
97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,48,7050,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,36,Male,Black_Negro,Never_married_single,?,Arkansas,No_not_in_school,Grade_12,Not_enrolled,Employed,Yes_in_labor_force,Janitors_and_sextons,21,9,Misc_business_services,Works_for_wages_salary,50-52_weeks,15-29_hours,?,Yes,7050,7050,0,0,0,0,0,369,Same_state_countydifferent_house,?,1,Yes,Driver
97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),30000,0,8750,1,0,2,0,1,0,1,0,0,0,0,0,4,0,0,1,99,99,1,Child,12,Male,White,Never_married_single,?,California,Yes_in_school,Grade_5-8,Public_school,?,?,?,0,0,?,?,?,?,?,?,999999,999999,999999,999999,99999,99999,99999,235,Same_state_countydifferent_house,?,4,?,?
97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),30000,0,9250,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,Head_Householder,68,Male,White,Married_spouse_present,?,USSR_Russia,No_not_in_school,None_or_preschool,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,Glaziers,27,26,Lumber_and_building_material_retailing,Self-employed,?,?,Worked_7-10_yrs_ago,No,9250,0,0,0,1150,0,8050,417,Same_state_countydifferent_house,?,6,No_Service,?
97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),50000,0,50000,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,Child,7,Male,White,Never_married_single,?,California,Yes_in_school,None_or_preschool,Public_school,?,?,?,0,0,?,?,?,?,?,?,999999,999999,999999,999999,99999,99999,99999,501,Same_house,?,5,?,?
