% 
% 
% 	Irish Educational Transitions Data
% 
%  Below are shown data on educational transitions for a sample of 500
% Irish schoolchildren aged 11 in 1967. The data were collected by
% Greaney and Kelleghan (1984), and reanalyzed by Raftery and Hout (1985, 1993).
% 
%   The data were also used, in a simplified form, as an example to illustrate
% Bayesian model selection methods by Raftery (1988) and Kass and Raftery (1993).
% In that simplified form, primary terminal leavers and cases with any missing
% data were removed, leaving 441 cases. The Leaving Certificate variable
% was used as the dependent variable in a logistic regression analysis.
% 
%  The variables shown are as follows:
% 
% 1. Sex: 1=male; 2=female.
% 
% 2. DVRT (Drumcondra Verbal Reasoning Test Score).
% 
% 3. Educational level attained:
%  	  1		Primary terminal leaver
%  	  2	 	Junior cycle incomplete: vocational school
%  	  3		Junior cycle incomplete: secondary school
%  	  4		Junior cycle terminal leaver: vocational school
%  	  5		Junior cycle terminal leaver: secondary school
%  	  6		Senior cycle incomplete: vocational school
%  	  7		Senior cycle incomplete: secondary school
%  	  8		Senior cycle terminal leaver: vocational school
%  	  9		Senior cycle terminal leaver: secondary school
%  	 10		3rd level incomplete
%  	 11		3rd level complete
% 
% 4. Leaving Certificate. 1 if Leaving Certificate not taken; 2 if taken.
% 
% 5. Prestige score for father's occupation 
%      (calculated by Raftery and Hout, 1985). 0 if missing.
% 
% 6. Type of school: 1=secondary; 2=vocational; 9=primary terminal leaver.
% 
% 	REFERENCES
% 
% Greaney, V. and Kelleghan, T. (1984). Equality of Opportunity in Irish
%   Schools. Dublin: Educational Company.
% 
% Kass, R.E. and Raftery, A.E. (1993). Bayes factors and model uncertainty.
%   Technical Report no. 254, Department of Statistics, University of Washington.
%   Revised version to appear in Journal of the American Statistical 
%   Association.
% 
% Raftery, A.E. (1988). Approximate Bayes factors for generalized linear models.
%   Technical Report no. 121, Department of Statistics, University of Washington.
% 
% Raftery, A.E. and Hout, M. (1985). Does Irish education approach the
%   meritocratic ideal? A logistic analysis. 
%   Economic and Social Review, 16, 115-140.
% 
% Raftery, A.E. and Hout, M. (1993). Maximally maintained inequality:
%   Expansion, reform and opportunity in Irish schools. 
%   Sociology of Education, 66, 41-62.
% 
% 
% 	OWNERSHIP STATEMENT
% 
% This data belongs to Vincent Greaney and Thomas Kelleghan, 
% Educational Research Centre, St. Patrick's College, Drumcondra, 
% Dublin 9, Ireland, who retain the copyright.
% 
% In the form given here, it may be used solely as an example for research 
% on the development of statistical methods. For any other use of the data, 
% permission must be obtained from the owners.  Subject to this statement, 
% permission is hereby given to StatLib to distribute this data freely.
% 
% Submitted by Adrian Raftery (raftery@stat.washington.edu).
% 
% Copyright 1984 Vincent Greaney and Thomas Kelleghan.
% 
% 
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: 4
%

@relation irish

@attribute Sex {female,male}
@attribute DVRT INTEGER
@attribute Educational_level {3rd_level_complete,3rd_level_incomplete,Junior_cycle_incomplete-secondary_school,Junior_cycle_incomplete-vocational_school,Junior_cycle_terminal_leaver-secondary_school,Junior_cycle_terminal_leaver-vocational_school,Primary_terminal_leaver,Senior_cycle_incomplete-secondary_school,Senior_cycle_incomplete-vocational_school,Senior_cycle_terminal_leaver-secondary_school}
@attribute Leaving_Certificate {not_taken,taken}
@attribute Prestige_score INTEGER
@attribute Type_school {primary_terminal_leaver,secondary,vocational}

@data
male,113,Junior_cycle_incomplete-secondary_school,not_taken,28,secondary
male,101,Primary_terminal_leaver,not_taken,28,primary_terminal_leaver
male,110,Senior_cycle_terminal_leaver-secondary_school,taken,69,secondary
male,121,Junior_cycle_terminal_leaver-secondary_school,not_taken,57,secondary
male,82,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
male,85,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,vocational
male,84,Primary_terminal_leaver,not_taken,?,primary_terminal_leaver
male,98,Junior_cycle_incomplete-vocational_school,not_taken,43,vocational
male,92,Junior_cycle_terminal_leaver-vocational_school,not_taken,33,vocational
male,90,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
male,88,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,vocational
male,84,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,vocational
male,114,3rd_level_complete,taken,18,secondary
male,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,57,vocational
male,109,Senior_cycle_terminal_leaver-secondary_school,taken,40,secondary
male,83,Junior_cycle_terminal_leaver-vocational_school,not_taken,43,vocational
male,108,Junior_cycle_terminal_leaver-vocational_school,not_taken,69,vocational
male,95,Junior_cycle_incomplete-secondary_school,not_taken,43,secondary
male,90,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,vocational
male,107,Senior_cycle_terminal_leaver-secondary_school,taken,28,secondary
male,86,Primary_terminal_leaver,not_taken,18,primary_terminal_leaver
male,70,Junior_cycle_incomplete-vocational_school,not_taken,43,vocational
male,114,Senior_cycle_terminal_leaver-secondary_school,taken,?,secondary
male,117,Senior_cycle_terminal_leaver-secondary_school,taken,42,secondary
male,112,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
male,88,3rd_level_complete,taken,?,secondary
male,106,3rd_level_complete,taken,42,secondary
male,125,3rd_level_complete,taken,28,secondary
male,94,Senior_cycle_terminal_leaver-secondary_school,taken,?,secondary
male,103,Junior_cycle_terminal_leaver-secondary_school,not_taken,?,secondary
male,123,Senior_cycle_terminal_leaver-secondary_school,taken,46,secondary
male,100,Junior_cycle_terminal_leaver-vocational_school,not_taken,35,vocational
male,90,Junior_cycle_incomplete-secondary_school,not_taken,27,secondary
male,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,51,vocational
male,90,Junior_cycle_incomplete-secondary_school,not_taken,46,secondary
male,99,Junior_cycle_incomplete-secondary_school,not_taken,?,secondary
male,123,Junior_cycle_incomplete-secondary_school,not_taken,43,secondary
male,127,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
male,124,Senior_cycle_terminal_leaver-secondary_school,taken,62,secondary
male,110,Senior_cycle_incomplete-vocational_school,not_taken,27,vocational
male,94,Senior_cycle_terminal_leaver-secondary_school,taken,43,secondary
male,112,Senior_cycle_terminal_leaver-secondary_school,taken,40,secondary
male,123,Senior_cycle_terminal_leaver-secondary_school,taken,35,secondary
male,70,Junior_cycle_incomplete-secondary_school,not_taken,18,secondary
male,102,Junior_cycle_terminal_leaver-vocational_school,not_taken,43,vocational
male,126,3rd_level_complete,taken,27,secondary
male,121,Senior_cycle_terminal_leaver-secondary_school,taken,40,secondary
male,100,Junior_cycle_incomplete-vocational_school,not_taken,43,vocational
male,85,Junior_cycle_incomplete-vocational_school,not_taken,31,vocational
