% The following are data used in an analysis of the Brown and Frown corpora for my doctoral dissertation titled ``Variations in Written English: Characterizing Authors' Rhetorical Language Choices Across Corpora of Published Texts" (Completed at Carnegie Mellon Univ, 2003).  The source of the corpora was the ICAME CD-ROM  (get info at <http://www.hit.uib.no/icame/cd>).
% 
% The data were generated from the texts using tagging and visualization software, Docuscope. 
% 
% The first row is the variable names. The genre of each text (assigned by the Brown corpus compilers) is in 'Genre' column and the corpus is listed in the 'corpus' column with 1=Brown and 2=Frown corpus.
% 
% The dataset may be freely used and distributed for non-commercial purposes.
% 
% Jeff Collins <jeff.collins@acm.org> 11 July 2003
% 
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation collins

@attribute Text {A01.TXT,A02.TXT,A03.TXT,A04.TXT,A05.TXT,A06.TXT,A07.TXT,A08.TXT,A09.TXT,A10.TXT,A11.TXT,A12.TXT,A13.TXT,A14.TXT,A15.TXT,A16.TXT,A17.TXT,A18.TXT,A19.TXT,A20.TXT,A21.TXT,A22.TXT,A23.TXT,A24.TXT,A25.TXT,A26.TXT,A27.TXT,A28.TXT,A29.TXT,A30.TXT,A31.TXT,A32.TXT,A33.TXT,A34.TXT,A35.TXT,A36.TXT,A37.TXT,A38.TXT,A39.TXT,A40.TXT,A41.TXT,A42.TXT,A43.TXT,A44.TXT,B01.TXT,B02.TXT,B03.TXT,B04.TXT,B05.TXT,B06.TXT,B07.TXT,B08.TXT,B09.TXT,B10.TXT,B11.TXT,B12.TXT,B13.TXT,B14.TXT,B15.TXT,B16.TXT,B17.TXT,B18.TXT,B19.TXT,B20.TXT,B21.TXT,B22.TXT,B23.TXT,B24.TXT,B25.TXT,B26.TXT,B27.TXT,C01.TXT,C02.TXT,C03.TXT,C04.TXT,C05.TXT,C06.TXT,C07.TXT,C08.TXT,C09.TXT,C10.TXT,C11.TXT,C12.TXT,C13.TXT,C14.TXT,C15.TXT,C16.TXT,C17.TXT,D01.TXT,D02.TXT,D03.TXT,D04.TXT,D05.TXT,D06.TXT,D07.TXT,D08.TXT,D09.TXT,D10.TXT,D11.TXT,D12.TXT,D13.TXT,D14.TXT,D15.TXT,D16.TXT,D17.TXT,E01.TXT,E02.TXT,E03.TXT,E04.TXT,E05.TXT,E06.TXT,E07.TXT,E08.TXT,E09.TXT,E10.TXT,E11.TXT,E12.TXT,E13.TXT,E14.TXT,E15.TXT,E16.TXT,E17.TXT,E18.TXT,E19.TXT,E20.TXT,E21.TXT,E22.TXT,E23.TXT,E24.TXT,E25.TXT,E26.TXT,E27.TXT,E28.TXT,E29.TXT,E30.TXT,E31.TXT,E32.TXT,E33.TXT,E34.TXT,E35.TXT,E36.TXT,F01.TXT,F02.TXT,F03.TXT,F04.TXT,F05.TXT,F06.TXT,F07.TXT,F08.TXT,F09.TXT,F10.TXT,F11.TXT,F12.TXT,F13.TXT,F14.TXT,F15.TXT,F16.TXT,F17.TXT,F18.TXT,F19.TXT,F20.TXT,F21.TXT,F22.TXT,F23.TXT,F24.TXT,F25.TXT,F26.TXT,F27.TXT,F28.TXT,F29.TXT,F30.TXT,F31.TXT,F32.TXT,F33.TXT,F34.TXT,F35.TXT,F36.TXT,F37.TXT,F38.TXT,F39.TXT,F40.TXT,F41.TXT,F42.TXT,F43.TXT,F44.TXT,F45.TXT,F46.TXT,F47.TXT,F48.TXT,G01.TXT,G02.TXT,G03.TXT,G04.TXT,G05.TXT,G06.TXT,G07.TXT,G08.TXT,G09.TXT,G10.TXT,G11.TXT,G12.TXT,G13.TXT,G14.TXT,G15.TXT,G16.TXT,G17.TXT,G18.TXT,G19.TXT,G20.TXT,G21.TXT,G22.TXT,G23.TXT,G24.TXT,G25.TXT,G26.TXT,G27.TXT,G28.TXT,G29.TXT,G30.TXT,G31.TXT,G32.TXT,G33.TXT,G34.TXT,G35.TXT,G36.TXT,G37.TXT,G38.TXT,G39.TXT,G40.TXT,G41.TXT,G42.TXT,G43.TXT,G44.TXT,G45.TXT,G46.TXT,G47.TXT,G48.TXT,G49.TXT,G50.TXT,G51.TXT,G52.TXT,G53.TXT,G54.TXT,G55.TXT,G56.TXT,G57.TXT,G58.TXT,G59.TXT,G60.TXT,G61.TXT,G62.TXT,G63.TXT,G64.TXT,G65.TXT,G66.TXT,G67.TXT,G68.TXT,G69.TXT,G70.TXT,G71.TXT,G72.TXT,G73.TXT,G74.TXT,G75.TXT,H01.TXT,H02.TXT,H03.TXT,H04.TXT,H05.TXT,H06.TXT,H07.TXT,H08.TXT,H09.TXT,H10.TXT,H11.TXT,H12.TXT,H13.TXT,H14.TXT,H15.TXT,H16.TXT,H17.TXT,H18.TXT,H19.TXT,H20.TXT,H21.TXT,H22.TXT,H23.TXT,H24.TXT,H25.TXT,H26.TXT,H27.TXT,H28.TXT,H29.TXT,H30.TXT,J01.TXT,J02.TXT,J03.TXT,J04.TXT,J05.TXT,J06.TXT,J07.TXT,J08.TXT,J09.TXT,J10.TXT,J11.TXT,J12.TXT,J13.TXT,J14.TXT,J15.TXT,J16.TXT,J17.TXT,J18.TXT,J19.TXT,J20.TXT,J21.TXT,J22.TXT,J23.TXT,J24.TXT,J25.TXT,J26.TXT,J27.TXT,J28.TXT,J29.TXT,J30.TXT,J31.TXT,J32.TXT,J33.TXT,J34.TXT,J35.TXT,J36.TXT,J37.TXT,J38.TXT,J39.TXT,J40.TXT,J41.TXT,J42.TXT,J43.TXT,J44.TXT,J45.TXT,J46.TXT,J47.TXT,J48.TXT,J49.TXT,J50.TXT,J51.TXT,J52.TXT,J53.TXT,J54.TXT,J55.TXT,J56.TXT,J57.TXT,J58.TXT,J59.TXT,J60.TXT,J61.TXT,J62.TXT,J63.TXT,J64.TXT,J65.TXT,J66.TXT,J67.TXT,J68.TXT,J69.TXT,J70.TXT,J71.TXT,J72.TXT,J73.TXT,J74.TXT,J75.TXT,J76.TXT,J77.TXT,J78.TXT,J79.TXT,J80.TXT,K01.TXT,K02.TXT,K03.TXT,K04.TXT,K05.TXT,K06.TXT,K07.TXT,K08.TXT,K09.TXT,K10.TXT,K11.TXT,K12.TXT,K13.TXT,K14.TXT,K15.TXT,K16.TXT,K17.TXT,K18.TXT,K19.TXT,K20.TXT,K21.TXT,K22.TXT,K23.TXT,K24.TXT,K25.TXT,K26.TXT,K27.TXT,K28.TXT,K29.TXT,L01.TXT,L02.TXT,L03.TXT,L04.TXT,L05.TXT,L06.TXT,L07.TXT,L08.TXT,L09.TXT,L10.TXT,L11.TXT,L12.TXT,L13.TXT,L14.TXT,L15.TXT,L16.TXT,L17.TXT,L18.TXT,L19.TXT,L20.TXT,L21.TXT,L22.TXT,L23.TXT,L24.TXT,M01.TXT,M02.TXT,M03.TXT,M04.TXT,M05.TXT,M06.TXT,N01.TXT,N02.TXT,N03.TXT,N04.TXT,N05.TXT,N06.TXT,N07.TXT,N08.TXT,N09.TXT,N10.TXT,N11.TXT,N12.TXT,N13.TXT,N14.TXT,N15.TXT,N16.TXT,N17.TXT,N18.TXT,N19.TXT,N20.TXT,N21.TXT,N22.TXT,N23.TXT,N24.TXT,N25.TXT,N26.TXT,N27.TXT,N28.TXT,N29.TXT,P01.TXT,P02.TXT,P03.TXT,P04.TXT,P05.TXT,P06.TXT,P07.TXT,P08.TXT,P09.TXT,P10.TXT,P11.TXT,P12.TXT,P13.TXT,P14.TXT,P15.TXT,P16.TXT,P17.TXT,P18.TXT,P19.TXT,P20.TXT,P21.TXT,P22.TXT,P23.TXT,P24.TXT,P25.TXT,P26.TXT,P27.TXT,P28.TXT,P29.TXT,R01.TXT,R02.TXT,R03.TXT,R04.TXT,R05.TXT,R06.TXT,R07.TXT,R08.TXT,R09.TXT}
@attribute FirstPerson REAL
@attribute InnerThinking REAL
@attribute ThinkPositive REAL
@attribute ThinkNegative REAL
@attribute ThinkAhead REAL
@attribute ThinkBack REAL
@attribute Reasoning REAL
@attribute Share_SocTies REAL
@attribute Direct_Activity REAL
@attribute Interacting REAL
@attribute Notifying REAL
@attribute LinearGuidance REAL
@attribute WordPicture REAL
@attribute SpaceInterval REAL
@attribute Motion REAL
@attribute PastEvents REAL
@attribute TimeInterval REAL
@attribute ShiftingEvents REAL
@attribute Text_Coverage REAL
@attribute Genre {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
@attribute Counter INTEGER
@attribute Corpus {1}
@attribute Corp.Genre {101,102,103,104,105,106,107,108,109,110,111,112,113,114,115}

@data
A01.TXT,0.09,1.72,0.62,0.7,2.15,0.66,1.23,2.24,0.48,0,2.11,5.23,5.01,0.75,0.35,2.55,1.63,0.79,28.31,1,1,1,101
A02.TXT,0.13,1.48,0.38,0.63,1.85,0.93,1.48,2.28,0.21,0.17,1.77,3.46,4.34,0.59,0.25,1.77,1.39,0.8,23.91,1,2,1,101
A03.TXT,0.04,1.72,0.34,1.12,1.55,0.9,1.68,2.84,0.17,0.17,2.84,5.03,5.85,0.65,0.17,2.32,1.94,0.82,30.15,1,3,1,101
A04.TXT,0,2.74,0.9,2.43,1.21,1.03,3.46,3.06,0.22,0.31,2.47,3.15,3.28,0.67,0.09,1.89,1.71,0.81,29.43,1,4,1,101
A05.TXT,0.26,2.15,0.39,0.61,2.28,0.75,1.93,1.84,0.44,0.35,2.54,5.79,3.16,0.75,0.35,1.54,1.8,0.96,27.89,1,5,1,101
A06.TXT,0.26,1.26,0.7,0.91,1.83,0.52,1.74,2.13,0.3,0.48,2.22,6.52,5.83,0.83,0.26,1.61,1.35,0.83,29.58,1,6,1,101
A07.TXT,0.17,1.31,0.59,0.97,1.74,0.72,1.61,2.67,0.21,0.38,2.92,3.9,4.07,0.85,0.34,1.4,1.23,0.89,25.97,1,7,1,101
A08.TXT,0,3.4,0.59,1.4,2.94,0.63,2.17,1.99,0.14,0.14,3.08,2.67,5.16,1.18,0.45,0.91,1.31,0.81,28.97,1,8,1,101
A09.TXT,0.13,1.1,0.3,0.93,1.19,0.89,0.98,1.57,0.08,0.04,2.42,3.36,4.59,1.27,0.3,2.12,2.17,0.38,23.82,1,9,1,101
A10.TXT,0.04,1.98,0.25,0.93,2.19,0.8,1.86,2.32,0.51,0.08,2.61,4.68,4.01,0.63,0.25,1.98,1.77,0.55,27.44,1,10,1,101
A11.TXT,0.26,1.75,0.64,0.72,1.19,0.13,0.55,0.94,0.13,0,2.94,2.64,5.19,2.68,1.19,3.02,1.06,1.02,26.05,1,11,1,101
A12.TXT,0.47,1.99,1.02,1.52,1.14,0.3,1.78,1.14,0.17,0.21,2.2,5.71,3.21,2.45,0.8,3.09,1.95,1.02,30.17,1,12,1,101
A13.TXT,0.53,2.42,0.79,0.88,0.92,0.4,1.62,0.66,0,0.18,2.72,3.12,4.57,2.37,0.83,2.9,0.57,0.83,26.31,1,13,1,101
A14.TXT,0.17,1.19,0.51,1.06,1.61,0.55,1.7,2.21,0.21,0.13,2.34,5.05,6.07,1.02,0.81,2.08,1.06,0.98,28.75,1,14,1,101
A15.TXT,0.38,1.73,0.97,0.84,1.27,0.59,2.4,1.9,0.21,0.25,2.99,4.98,4.01,1.22,0.72,2.83,1.27,1.35,29.91,1,15,1,101
A16.TXT,0.2,0.99,0.79,0.44,2.02,0.12,1.39,0.83,0.32,0.2,2.22,3.4,6.06,1.54,0.51,0.95,0.99,0.71,23.68,1,16,1,101
A17.TXT,0.33,1.19,0.95,0.25,1.36,0.25,0.62,1.15,0.37,0.29,2.18,2.6,6.88,0.87,0.49,1.24,1.36,0.91,23.29,1,17,1,101
A18.TXT,0.08,0.95,0.91,0.2,1.43,0.32,0.71,1.19,0.12,0,1.98,2.93,6.58,0.44,0.2,0.91,1.63,0.67,21.25,1,18,1,101
A19.TXT,0.13,1.09,0.21,1.18,0.84,0.42,1.26,1.14,0.5,0.08,2.27,4.21,7.32,1.51,0.29,2.52,1.51,1.26,27.74,1,19,1,101
A20.TXT,0.04,1.31,0.42,1.23,0.81,0.64,1.06,1.31,0.04,0.04,2.59,4.2,6.02,0.55,0.42,3.77,1.7,1.14,27.29,1,20,1,101
A21.TXT,0.22,1.26,0.48,1.66,0.96,1,1.35,1.61,0.26,0.13,2.7,4.27,6.58,1.35,0.39,3.27,1.26,1.57,30.32,1,21,1,101
A22.TXT,0.04,1.45,0.29,1.04,1.45,0.46,1.37,2.37,0.08,0,2.24,4.4,6.65,1.08,0.5,2.58,1.2,0.54,27.74,1,22,1,101
A23.TXT,0.12,1.33,0.41,0.75,0.91,0.41,1.2,1.99,0.12,0.17,2.07,3.56,4.85,0.66,0.5,2.07,1.41,0.54,23.07,1,23,1,101
A24.TXT,0,0.76,0.13,0.8,1.26,0.93,0.67,2.23,0,0,2.73,3.36,8.33,1.14,0.25,2.61,1.18,1.68,28.06,1,24,1,101
A25.TXT,0.29,1.66,0.17,1.08,1.04,0.5,1.04,1.71,0.21,0.08,1.54,4.33,4.87,1.16,0.42,2.37,1.33,0.96,24.76,1,25,1,101
A26.TXT,0,1.49,0.38,0.26,0.94,0.38,1.75,1.02,0.09,0.17,2.73,2.6,5.34,1.37,0.3,1.45,1.49,0.68,22.44,1,26,1,101
A27.TXT,0.3,1.94,0.42,1.56,1.69,0.38,2.28,2.28,0.38,0.21,2.28,4.48,3.25,0.68,0.17,2.16,1.14,0.8,26.4,1,27,1,101
A28.TXT,0.09,2.21,0.35,0.3,0.87,0.26,2.64,1.25,0.13,0,2.6,4.37,5.1,1.21,0.3,2.03,1.38,0.91,26,1,28,1,101
A29.TXT,0.3,1.27,1.27,0.46,1.35,0.25,1.43,1.81,0.42,0.3,2.24,4.35,8.82,1.1,0.51,1.18,1.27,0.89,29.22,1,29,1,101
A30.TXT,0.9,2.48,0.56,0.73,1.2,0.34,2.1,1.03,0.3,0.26,3.04,3.17,6.85,1.33,0.3,1.54,1.46,1.07,28.66,1,30,1,101
A31.TXT,0.04,1.37,0.58,0.25,1.91,0.29,1.29,1.66,0.17,0.33,3.12,2.66,7.15,1.08,0.58,0.79,1.16,0.75,25.18,1,31,1,101
A32.TXT,1.09,2.55,1.3,0.82,1.47,0.38,1.68,2.01,0.54,0.65,2.39,4.08,6.96,0.98,0.65,1.52,0.76,0.65,30.48,1,32,1,101
A33.TXT,0.39,1.89,0.82,0.43,1.29,0.56,1.55,2.24,0.13,0.09,2.88,4.73,7.44,1.64,0.39,2.8,1.51,0.86,31.64,1,33,1,101
A34.TXT,0.04,2.63,1.18,1.62,1.75,0.92,2.54,2.32,0.13,0.18,3.42,3.15,3.72,0.66,0.22,2.23,2.06,0.96,29.73,1,34,1,101
A35.TXT,0.14,4.32,0.68,1.62,1.04,0.41,4.14,4.73,0.27,0.23,3.42,3.47,4.01,0.54,0.14,0.81,1.26,0.45,31.68,1,35,1,101
A36.TXT,0.04,2.52,0.57,1.77,1.9,0.4,2.78,2.78,0.62,0.35,3.27,3.05,2.52,0.84,0.13,1.41,0.97,0.53,26.45,1,36,1,101
A37.TXT,0,1.93,0.47,2.01,1.93,0.51,1.63,1.97,0.09,0.21,2.23,4.11,4.37,1.41,0.21,2.44,1.37,0.77,27.66,1,37,1,101
A38.TXT,0.09,2.58,0.63,1.18,1.31,0.9,1.67,1.09,0.23,0.23,3.8,3.39,4.66,2.62,0.63,2.99,1.49,1.67,31.16,1,38,1,101
A39.TXT,0.65,1.96,1.1,0.82,0.94,0.45,2.73,0.86,0.33,0.61,1.92,4.81,6.07,1.51,0.65,2.04,0.98,0.73,29.16,1,39,1,101
A40.TXT,0.58,2.29,1.04,0.54,0.96,0.67,2,1.37,0.17,0.17,2.16,5.5,5.83,0.87,0.42,3.37,1.37,1.08,30.39,1,40,1,101
A41.TXT,0,2.81,0.55,1.62,0.94,0.72,2.17,2.42,0.26,0.17,1.87,3.49,3.57,0.77,0.3,2.68,1.36,0.89,26.59,1,41,1,101
A42.TXT,0.33,1.85,0.45,0.74,1.11,0.41,1.72,1.03,0.08,0.08,2.34,3.16,6.53,1.48,0.45,2.79,1.85,1.15,27.55,1,42,1,101
A43.TXT,0.04,2,0.55,0.77,1.62,0.64,2.34,1.66,0.26,0.13,2.76,2.89,4.25,1.32,0.51,1.4,1.7,0.94,25.78,1,43,1,101
A44.TXT,0.13,2.5,0.44,0.83,1.8,0.18,2.76,2.06,0.22,0.39,3.33,3.11,3.33,0.83,0.13,1.31,1.58,0.35,25.28,1,44,1,101
B01.TXT,0.04,2.82,0.76,1.88,1.39,0.63,2.64,3.27,0.13,0.09,3.04,2.51,4.07,0.89,0.4,1.52,1.61,0.89,28.58,2,45,1,102
B02.TXT,0,2.4,0.49,1.11,1.74,1.16,3.16,2.14,0.31,0.27,2.85,3.78,4.94,1.02,0.49,1.51,0.93,0.49,28.79,2,46,1,102
B03.TXT,0,2.49,0.84,1.78,1.02,0.71,3.73,3.11,0.13,0.44,2.75,4.75,5.02,1.2,0.44,1.95,1.33,0.8,32.49,2,47,1,102
