% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-cyyoung9302

@attribute Year {1993,1995,1996,1997,1998,1999,2000,2001,2002}
@attribute Pitcher {A._Alfonseca,A._Benes,A._Benitez,A._Pettitte,A._Sele,B.Colon,B._Koch,B._Radke,B._Zito,C._Schilling,D._Cone,D._Kile,D._Lowe,D._Neagle,D._Ward,D._Wells,E._Gagne,E._Guardado,G._Maddux,J._Brantley,J._Burkett,J._Lima,J._McDowell,J._Mesa,J._Montgomery,J._Moyer,J._Shaw,J._Smoltz,J._Wetteland,J._Wetteleand,K._Sasaki,K._Tapani,L._Smith,M._Hampton,M._Morris,M._Mulder,M._Mussina,M._Rivera,P._Hentgen,P._Martinez,P._Schourek,R._Beck,R._Clemens,R._Helling,R._Hernandez,R._Johnson,R._Myers,R._Nen,S._Estes,S._Reynolds,T._Glavine,T._Gordon,T._Henke,T._Hoffman,T._Hudson,T._Jones,T._Percival,T._Worrell,U._Urbina}
@attribute League {AL,NL}
@attribute Type {Reliever,Starter}
@attribute Wins INTEGER
@attribute Win_pct REAL
@attribute Saves INTEGER
@attribute ERA REAL
@attribute Strikeouts INTEGER
@attribute Innings_pitched REAL
@attribute Cy_Young {0,1}

@data
1993,P._Hentgen,AL,Starter,19,0.67857,0,3.87,215,216.3,0
1993,R._Johnson,AL,Starter,19,0.7037,1,3.24,185,255.3,0
1993,J._McDowell,AL,Starter,22,0.6875,0,3.37,261,256.7,1
1993,J._Montgomery,AL,Reliever,7,0.58333,45,2.27,65,87.3,0
1993,D._Ward,AL,Reliever,2,0.4,45,2.13,49,71.7,0
1993,J._Burkett,NL,Starter,22,0.75862,0,3.65,224,231.7,0
1993,T._Glavine,NL,Starter,22,0.78571,0,3.2,236,239.3,0
1993,G._Maddux,NL,Starter,20,0.66667,0,2.36,228,267,1
1993,R._Beck,NL,Reliever,3,0.75,48,2.16,57,79.3,0
1993,R._Myers,NL,Reliever,2,0.33333,53,3.11,65,75.3,0
1995,R._Johnson,AL,Starter,18,0.9,0,2.48,159,214.3,1
1995,M._Mussina,AL,Starter,19,0.67857,0,3.29,187,221.7,0
1995,J._Mesa,AL,Reliever,3,1,46,1.13,49,64,0
1995,L._Smith,AL,Reliever,0,0,37,3.47,42,49.3,0
1995,G._Maddux,NL,Starter,19,0.90476,0,1.63,147,209.7,1
1995,P._Schourek,NL,Starter,18,0.72,0,3.22,158,190.3,0
1995,T._Henke,NL,Reliever,1,0.5,36,1.82,42,54.3,0
1995,R._Myers,NL,Reliever,1,0.33333,38,3.88,49,55.7,0
1996,P._Hentgen,AL,Starter,20,0.66667,0,3.22,238,265.7,1
1996,A._Pettitte,AL,Starter,21,0.72414,0,3.87,229,221,0
1996,J._Mesa,AL,Reliever,2,0.22222,39,3.73,69,72.3,0
1996,J._Wetteland,AL,Reliever,2,0.4,43,2.83,54,63.7,1
1996,A._Benes,NL,Starter,18,0.64286,1,3.83,215,230.3,0
1996,J._Smoltz,NL,Starter,24,0.75,0,2.94,199,253.7,1
1996,J._Brantley,NL,Reliever,1,0.33333,44,2.41,54,71,0
1996,T._Worrell,NL,Reliever,4,0.4,44,3.03,70,65.3,0
