% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: none specific
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-devils

@attribute Goals {0,1,2,3,4,5,6,7,8,9}
@attribute Goals_against {0,1,2,3,4,5,7}

@data
4,1
5,7
1,0
2,2
3,2
4,1
1,2
1,3
2,1
4,2
3,5
3,2
1,3
3,3
2,1
5,1
2,4
2,2
3,1
2,1
2,4
3,4
3,2
7,4
2,4
2,1
4,0
1,3
7,1
2,1
5,4
3,5
3,2
1,4
3,3
4,1
5,4
2,2
4,3
3,1
6,3
4,3
6,5
2,3
4,1
5,2
4,1
4,0
3,2
3,4
1,3
3,1
4,1
2,2
4,1
3,1
4,2
5,5
2,4
2,3
2,3
1,3
3,0
2,1
0,5
2,4
2,2
9,0
2,4
3,2
2,3
1,3
5,2
0,5
8,2
3,5
2,3
6,0
4,1
2,5
0,5
2,1
