% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-dmft

@attribute DMFT.Begin {0,1,2,3,4,5,6,7,8}
@attribute DMFT.End {0,1,2,3,4,5,6}
@attribute Gender {Female,Male}
@attribute Ethnic {Black,Dark,White}
@attribute Prevention {All_methods,Diet_enrichment,Health_education,Mouthwash,None,Oral_hygiene}

@data
6,3,Male,Black,Health_education
2,1,Female,Black,Health_education
1,0,Male,Black,Health_education
7,2,Male,White,Health_education
3,3,Female,White,Health_education
0,0,Female,Black,Health_education
4,3,Male,White,Health_education
2,1,Male,White,Health_education
8,2,Female,Dark,Health_education
3,3,Male,White,Health_education
0,0,Female,Black,Health_education
5,2,Male,Dark,Health_education
2,2,Female,White,Health_education
5,2,Female,Dark,Health_education
3,2,Female,White,Health_education
3,1,Female,White,Health_education
2,1,Female,White,Health_education
2,3,Male,White,Health_education
2,1,Male,White,Health_education
0,0,Female,Dark,Health_education
8,1,Female,White,Health_education
2,2,Female,White,Health_education
5,1,Female,Dark,Health_education
3,3,Male,Dark,Health_education
5,1,Male,Black,Health_education
4,3,Male,Black,Health_education
6,4,Male,White,Health_education
2,1,Female,Dark,Health_education
8,1,Female,Dark,Health_education
5,2,Male,Dark,Health_education
4,3,Female,Dark,Health_education
4,0,Male,Dark,Health_education
1,1,Female,White,Health_education
1,1,Male,White,Health_education
6,5,Male,White,Health_education
4,4,Male,Dark,Health_education
6,4,Female,White,Health_education
0,0,Female,White,Health_education
7,0,Female,White,Health_education
5,2,Male,White,Health_education
0,1,Female,White,Health_education
0,2,Female,White,Health_education
8,5,Female,Dark,Health_education
6,4,Male,White,Health_education
7,5,Male,White,Health_education
5,4,Female,Black,Health_education
8,3,Male,White,Health_education
1,2,Female,White,Health_education
4,0,Male,White,Health_education
4,2,Female,Black,Health_education
4,1,Male,White,Health_education
5,4,Male,White,Health_education
4,3,Male,Black,Health_education
5,1,Male,Dark,Health_education
6,2,Male,Dark,Health_education
6,4,Male,Black,Health_education
2,1,Male,Black,Health_education
4,3,Female,White,Health_education
2,2,Female,Dark,Health_education
8,2,Female,White,Health_education
2,0,Male,White,Health_education
3,0,Female,Black,Health_education
3,3,Male,Black,Health_education
8,4,Female,White,Health_education
0,3,Female,White,Health_education
7,5,Male,White,Health_education
0,0,Female,White,Health_education
2,2,Male,White,Health_education
7,3,Female,White,Health_education
5,1,Male,Dark,Health_education
4,2,Male,Dark,Health_education
6,3,Female,White,Health_education
6,0,Male,Black,Health_education
0,0,Male,White,Health_education
4,2,Male,White,Health_education
2,4,Female,White,Health_education
7,5,Female,White,Health_education
0,0,Male,Dark,Health_education
6,0,Female,White,Health_education
6,2,Female,White,Health_education
2,3,Male,Black,Health_education
0,2,Male,Dark,Health_education
5,2,Female,Black,Health_education
4,3,Male,Black,Health_education
0,0,Female,White,Health_education
3,1,Female,Dark,Health_education
2,1,Female,White,Health_education
0,1,Female,Dark,Health_education
3,2,Female,Black,Health_education
7,5,Female,White,Health_education
7,2,Female,White,Health_education
6,3,Male,White,Health_education
6,2,Male,Black,Health_education
3,1,Female,White,Health_education
0,0,Female,White,Health_education
6,2,Female,White,Health_education
7,0,Male,White,Health_education
4,3,Male,White,Health_education
4,0,Male,Black,Health_education
1,1,Male,Black,Health_education
2,2,Female,White,Health_education
2,0,Female,White,Health_education
4,0,Female,White,Health_education
2,0,Male,White,Health_education
2,1,Female,Dark,Health_education
5,1,Male,Black,Health_education
1,2,Female,Black,Health_education
7,3,Female,White,Health_education
4,1,Female,White,Health_education
5,4,Male,Dark,Health_education
4,3,Male,White,Health_education
0,0,Female,White,Health_education
0,0,Female,White,Health_education
7,4,Female,White,Health_education
8,0,Male,White,Health_education
5,1,Male,Black,Health_education
6,4,Female,Dark,Health_education
4,0,Male,Dark,Health_education
8,0,Male,White,Health_education
4,2,Male,Black,Health_education
7,6,Male,Black,Health_education
4,1,Male,White,Health_education
6,1,Male,Dark,Health_education
4,0,Male,Dark,Health_education
3,4,Male,Dark,All_methods
6,2,Male,Dark,All_methods
0,0,Male,Black,All_methods
3,1,Female,White,All_methods
6,2,Female,Dark,All_methods
6,0,Female,Dark,All_methods
2,2,Male,Dark,All_methods
3,4,Female,White,All_methods
5,3,Female,Dark,All_methods
4,4,Male,White,All_methods
5,3,Male,White,All_methods
7,2,Male,Dark,All_methods
0,0,Male,White,All_methods
6,0,Female,White,All_methods
5,0,Female,White,All_methods
3,0,Male,White,All_methods
6,4,Female,White,All_methods
1,0,Male,Dark,All_methods
4,6,Female,Black,All_methods
2,0,Female,Dark,All_methods
8,4,Male,Dark,All_methods
4,3,Female,White,All_methods
2,1,Male,Black,All_methods
1,1,Female,Dark,All_methods
3,2,Female,White,All_methods
0,0,Male,White,All_methods
4,1,Male,Dark,All_methods
0,0,Male,Black,All_methods
3,4,Male,White,All_methods
2,1,Female,Dark,All_methods
5,4,Female,Dark,All_methods
1,0,Male,Black,All_methods
2,0,Female,White,All_methods
2,1,Male,White,All_methods
0,0,Male,White,All_methods
0,1,Female,White,All_methods
0,0,Female,Dark,All_methods
4,0,Male,Black,All_methods
8,0,Female,White,All_methods
4,1,Female,White,All_methods
6,1,Female,Dark,All_methods
4,0,Female,White,All_methods
1,0,Male,Dark,All_methods
0,0,Male,White,All_methods
7,3,Male,Black,All_methods
6,1,Male,Dark,All_methods
5,2,Female,Dark,All_methods
2,1,Male,White,All_methods
3,1,Female,Dark,All_methods
2,2,Female,Dark,All_methods
0,0,Female,White,All_methods
8,0,Female,White,All_methods
0,0,Female,Dark,All_methods
0,1,Male,Dark,All_methods
